begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,1.933628,B
1.933628,3.4661449999999996,B/7
3.4661449999999996,4.929002,G#:min
4.929002,6.449909,B/5
6.449909,7.994036,E
7.994036,9.480113000000001,A:7
9.480113000000001,12.487097,B
12.487097,13.938344,B
13.938344,15.412810999999998,B/7
15.412810999999998,16.910498,G#:min
16.910498,18.384965,B/5
18.384965,19.882653,E
19.882653,21.36873,A:7
21.36873,24.282834,B
24.282834,25.734081,C#:min
25.734081,27.185328000000002,G#:7
27.185328000000002,30.041383000000003,C#:min
30.041383000000003,31.44619,C#:min
31.44619,32.897437,G#:7
32.897437,37.158299,C#:min
37.158299,37.936167,F#:sus4
37.936167,38.725646000000005,F#
38.725646000000005,40.281383,B
40.281383,41.779070000000004,B/7
41.779070000000004,43.253537,G#:min
43.253537,44.751224,B/5
44.751224,46.248911,E
46.248911,47.723378000000004,A:7
47.723378000000004,50.753582,B
50.753582,52.181609,B
52.181609,53.632856999999994,B/7
53.632856999999994,55.107324,G#:min
55.107324,56.581791,B/5
56.581791,58.067868000000004,E
58.067868000000004,59.565555,A:7
59.565555,62.526099,B
62.526099,63.942517,C#:min
63.942517,65.347324,G#:7
65.347324,68.226598,C#:min
68.226598,69.619795,C#:min
69.619795,71.01299300000001,G#:7
71.01299300000001,75.32029399999999,C#:min
75.32029399999999,76.121383,F#:sus4
76.121383,76.864421,F#
76.864421,78.37371800000001,B
78.37371800000001,79.87140500000001,B/7
79.87140500000001,81.345873,G#:min
81.345873,82.82034,B/5
82.82034,84.283197,E
84.283197,85.780884,A:7
85.780884,88.764648,B
88.764648,90.239115,B
90.239115,91.748412,B/7
91.748412,93.15321899999999,G#:min
93.15321899999999,94.639297,B/5
94.639297,96.090544,E
96.090544,97.633669,A:7
97.633669,100.47911500000001,B
100.47911500000001,101.965192,C#:min
101.965192,103.35839,G#:7
103.35839,106.020323,C#:min
106.020323,107.619251,C#:min
107.619251,109.00083899999998,G#:7
109.00083899999998,113.34297,C#:min
113.34297,114.349534,F#:sus4
114.349534,116.857871,F#
116.857871,121.73061200000001,N
