begin,end,chord
0.0,3.3699800000000004,N
3.3699800000000004,4.385033999999999,A
4.385033999999999,6.18458,D
6.18458,7.9492970000000005,G:7/3
7.9492970000000005,9.760453,E:7
9.760453,13.440816,A:7
13.440816,15.251972,D
15.251972,17.175407,G:7
17.175407,20.824761,D
20.824761,24.574784,G:7
24.574784,28.313197,D
28.313197,30.170793,A
30.170793,32.074829,G:7
32.074829,33.978866,D
33.978866,35.813241999999995,A
35.813241999999995,37.705668,D
37.705668,39.540045,G:7
39.540045,43.266847999999996,D
43.266847999999996,47.04009,G:7
47.04009,50.766892999999996,D
50.766892999999996,52.61287900000001,A
52.61287900000001,54.470476,G:7
54.470476,56.715224,D
56.715224,58.255328000000006,A
58.255328000000006,60.112925,D
60.112925,62.005351,G:7
62.005351,65.697324,D
65.697324,69.424126,G:7
69.424126,73.116099,D
73.116099,75.077783,A
75.077783,76.866122,G:7
76.866122,78.712108,D
78.712108,80.581315,A
80.581315,82.462131,D
82.462131,84.440965,G:7
84.440965,88.08136,D
88.08136,91.819773,G:7
91.819773,95.558185,D
95.558185,99.296598,A
99.296598,101.137682,D
101.137682,102.988571,A
102.988571,104.89061399999999,D
104.89061399999999,106.692154,G:7
106.692154,110.45378600000001,D
110.45378600000001,114.16897900000001,G:7
114.16897900000001,117.90739199999999,D
117.90739199999999,119.753378,A
119.753378,121.59936499999999,G:7
121.59936499999999,123.482945,D
123.482945,125.302947,A
125.302947,127.183764,D
127.183764,129.09941,G:7
129.09941,132.791383,D
132.791383,136.599058,G:7
136.599058,140.313695,D
140.313695,142.13741399999998,A
142.13741399999998,144.053061,G:7
144.053061,145.00486,D
145.00486,145.943093,G
145.943093,146.76644,A:aug
146.76644,149.447105,D
149.447105,152.73795900000002,N
