begin,end,chord
0.0,0.4021,N
0.4021,1.9147610000000002,A:(1)
1.9147610000000002,11.411976,N
11.411976,13.326737,A:7
13.326737,17.271145,N
17.271145,20.698567999999998,"G:(1,5)"
20.698567999999998,27.475578000000002,A
27.475578000000002,27.963196999999997,G/2
27.963196999999997,28.450815999999996,D/5
28.450815999999996,32.351768,A
32.351768,34.290634000000004,D
34.290634000000004,36.229501,A
36.229501,40.095622999999996,A
40.095622999999996,42.011269,D
42.011269,43.926916,A
43.926916,47.804648,A:7
47.804648,49.755124,D
49.755124,50.765192,A
50.765192,51.206371000000004,G/2
51.206371000000004,51.69399,D/5
51.69399,55.548503000000004,A
55.548503000000004,57.475759,D
57.475759,59.368185,A
59.368185,63.350407999999995,A
63.350407999999995,65.266054,D
65.266054,66.276122,A
66.276122,66.76374100000001,G
66.76374100000001,67.23975,D
67.23975,71.094263,A
71.094263,73.021519,D
73.021519,74.008367,A
74.008367,74.484376,G/2
74.484376,74.995215,D/5
74.995215,78.884557,A:min7
78.884557,80.80020400000001,D
80.80020400000001,81.763832,A
81.763832,82.297891,G/2
82.297891,82.76229000000001,D/5
82.76229000000001,88.427959,A:7
88.427959,92.61916,D
92.61916,96.496893,A
96.496893,98.412539,D
98.412539,99.44582700000001,A
99.44582700000001,99.94505600000001,G/2
99.94505600000001,100.432675,D/5
100.432675,104.287188,A
104.287188,106.260884,D
106.260884,107.25934199999999,A
107.25934199999999,107.74696100000001,G/2
107.74696100000001,108.24618999999998,D/5
108.24618999999998,112.193582,A
112.193582,114.17888799999999,D
114.17888799999999,116.117755,A
116.117755,120.053537,A
120.053537,122.00401299999999,D
122.00401299999999,122.96764099999999,A
122.96764099999999,123.942879,G/2
123.942879,127.843832,A:7
127.843832,129.805918,D
129.805918,130.792766,A
130.792766,131.245555,G/2
131.245555,131.756394,D/5
131.756394,135.622517,A:7
135.622517,137.549773,D
137.549773,139.47702900000002,A
139.47702900000002,143.308321,A
143.308321,145.25879799999998,D
145.25879799999998,146.245646,A
146.245646,146.733265,G/2
146.733265,147.244104,D/5
147.244104,151.110226,A
151.110226,153.060702,D
153.060702,154.02433100000002,A
154.02433100000002,154.52356,G/2
154.52356,155.022789,D/5
155.022789,158.854081,A:7
158.854081,160.781337,D
160.781337,161.489546,A
161.489546,162.17453500000002,G/2
162.17453500000002,162.69698400000001,D/5
162.69698400000001,166.423786,A:7
166.423786,168.19261699999998,D
168.19261699999998,174.28155700000002,D:7
174.28155700000002,186.98449,N
