begin,end,chord
0.0,0.440395,N
0.440395,4.638751999999999,F:maj(9)/5
4.638751999999999,6.693718,C
6.693718,8.771904,F:maj(9)/5
8.771904,12.094553,G
12.094553,12.836818,C/5
12.836818,16.177011,G
16.177011,16.853782,C/5
16.853782,18.163660999999998,G
18.163660999999998,18.862264,C/5
18.862264,20.193974,G
20.193974,20.870746,C/5
20.870746,24.210938,G
24.210938,24.840113,C/5
24.840113,26.837028999999998,C
26.837028999999998,28.810725,D:min7(4)/5
28.810725,30.819251,E:min7
30.819251,32.816167,F:maj(9)/6
32.816167,34.847913,C
34.847913,36.78678,D:min7(4)/5
36.78678,38.806915999999994,E:min7
38.806915999999994,40.792221999999995,F:maj(9)
40.792221999999995,44.099274,G
44.099274,44.776045,C/5
44.776045,46.042262,G
46.042262,46.740864,C/5
46.740864,48.050744,G
48.050744,48.662021,C/5
48.662021,49.9719,G
49.9719,50.648671,C/5
50.648671,51.936719000000004,G
51.936719000000004,52.613490000000006,C/5
52.613490000000006,53.836043999999994,G
53.836043999999994,54.556478000000006,C/5
54.556478000000006,55.822694999999996,G
55.822694999999996,56.499466000000005,C/5
56.499466000000005,57.80934499999999,G
57.80934499999999,58.486116,C/5
58.486116,59.75233299999999,G
59.75233299999999,60.424693000000005,C/5
60.424693000000005,62.39839,C
62.39839,64.383696,D:min7(4)/b7
64.383696,66.28773199999999,E:min7
66.28773199999999,68.226598,F:maj(9)/6
68.226598,70.31639399999999,C
70.31639399999999,72.17399,D:min7(4)/b7
72.17399,74.12446700000001,E:min7
74.12446700000001,76.132993,F:maj(9)
76.132993,76.585782,F
76.585782,77.108231,C/3
77.108231,77.56102,F
77.56102,78.06481099999999,C/3
78.06481099999999,78.53625799999999,F
78.53625799999999,79.023877,C/3
79.023877,79.523106,F
79.523106,80.022335,C/4
80.022335,82.019251,C
82.019251,83.958117,D:min7(4)/b7
83.958117,85.908594,E:min7/b3
85.908594,87.85906999999999,F:maj(9)
87.85906999999999,89.809546,C
89.809546,91.806462,D:min7(4)/b7
91.806462,93.768548,E:min7/b3
93.768548,95.742244,F:maj(9)
95.742244,117.31358200000001,G
117.31358200000001,119.213027,C
119.213027,121.168095,D:min7(4)/b7
121.168095,123.153401,E:min7/b3
123.153401,125.069047,F:maj(9)
125.069047,127.054353,C
127.054353,128.99321899999998,D:min7(4)/b7
128.99321899999998,130.978526,E:min7/b3
130.978526,132.94061200000002,F:maj(9)
132.94061200000002,133.449451,F
133.449451,133.93753999999998,C/3
133.93753999999998,134.397083,F
134.397083,134.91406899999998,C/3
134.91406899999998,135.37123400000002,F
135.37123400000002,135.871449,C/5
135.871449,136.35394499999998,F/3
136.35394499999998,136.90542,G/3
136.90542,138.80365,C
138.80365,140.754126,D:min7(4)/b7
140.754126,142.704603,E:min7/b3
142.704603,144.678299,F:maj(9)
144.678299,146.651995,C
146.651995,148.660521,D:min7(4)/b7
148.660521,150.587777,E:min7/b3
150.587777,152.561473,F:maj(9)
152.561473,152.967823,F
152.967823,153.525102,C/3
153.525102,154.001111,F
154.001111,154.51195,C/3
154.51195,154.953129,F
154.953129,155.452358,C/3
155.452358,155.976441,F
155.976441,156.439206,G/3
156.439206,157.98694,C
157.98694,167.005465,G:(1)
167.005465,167.88898,N
