begin,end,chord
0.0,0.440395,N
0.440395,1.129709,N
1.129709,2.352018,C:min
2.352018,3.5942849999999997,G:7
3.5942849999999997,6.12526,C:min
6.12526,8.679455,F:min
8.679455,9.898503,Eb
9.898503,11.12916,G
11.12916,12.394648,C:min
12.394648,13.648526,G:7
13.648526,16.109841,C:min
16.109841,18.652426000000002,F:min
18.652426000000002,21.125351000000002,C:min
21.125351000000002,22.321179,Eb
22.321179,23.563446,G:min/5
23.563446,24.840544,F:min/5
24.840544,26.059591,Bb
26.059591,27.290249,Eb
27.290249,28.544126000000002,G:min/5
28.544126000000002,29.809614,F:min/5
29.809614,31.005442,Bb
31.005442,32.259319,C:min
32.259319,33.501587,G:7
33.501587,36.032562,C:min
36.032562,38.528707,F:min
38.528707,39.829024,Eb
39.829024,41.024852,G
41.024852,42.29034,C:min
42.29034,43.497777,G:7
43.497777,46.028752000000004,C:min
46.028752000000004,48.478458,F:min
48.478458,51.044263,C:min
51.044263,52.27492,Eb
52.27492,53.517188,G:min/5
53.517188,54.794284999999995,F:min/5
54.794284999999995,56.02494300000001,Bb
56.02494300000001,57.302040000000005,Eb
57.302040000000005,58.532697999999996,G:min/5
58.532697999999996,59.809794999999994,F:min/5
59.809794999999994,61.052063000000004,Bb
61.052063000000004,63.513378,F:min
63.513378,65.997913,C
65.997913,68.424399,F:min
68.424399,70.92054399999999,C
70.92054399999999,73.416689,F:min
73.416689,75.831564,C
75.831564,78.281269,F:min
78.281269,80.696145,Ab
80.696145,81.913481,Eb
81.913481,83.19229,G:min/5
83.19229,84.434557,F:min/5
84.434557,85.665215,Bb
85.665215,86.907482,Eb
86.907482,88.14975,G:min/5
88.14975,89.39201800000001,F:min/5
89.39201800000001,90.576235,Bb
90.576235,91.888163,C:min
91.888163,93.10721,G:7
93.10721,95.603356,C:min
95.603356,98.07628100000001,F:min
98.07628100000001,99.341768,Eb
99.341768,100.54920600000001,G
100.54920600000001,101.791473,C:min
101.791473,103.033741,G:7
103.033741,105.495056,C:min
105.495056,108.014421,F:min
108.014421,110.533786,C:min
110.533786,111.810884,Eb
111.810884,112.995102,G:min/5
112.995102,114.260589,F:min/5
114.260589,115.491247,Bb
115.491247,116.73351399999999,Eb
116.73351399999999,117.95256200000001,G:min/5
117.95256200000001,119.194829,F:min/5
119.194829,120.42548700000002,Bb
120.42548700000002,121.667755,C:min
121.667755,122.86358200000001,G:7
122.86358200000001,125.34811699999999,C:min
125.34811699999999,127.86748200000001,F:min
127.86748200000001,129.09814,Eb
129.09814,130.386848,G
130.386848,131.66394499999998,C:min
131.66394499999998,132.882993,G:7
132.882993,135.390748,C:min
135.390748,137.863673,F:min
137.863673,140.383038,C:min
140.383038,141.67174599999998,Eb
141.67174599999998,142.91401299999998,G:min/5
142.91401299999998,144.133061,F:min/5
144.133061,145.363718,Bb
145.363718,146.582766,Eb
146.582766,147.813424,G:min/5
147.813424,148.997641,F:min/5
148.997641,153.887347,N
