begin,end,chord
0.0,0.47076999999999997,N
0.47076999999999997,2.061337,G:maj7
2.061337,3.942154,C/5
3.942154,5.7417,G:maj7
5.7417,7.576077000000001,C/5
7.576077000000001,9.259523,G:maj7
9.259523,10.96619,C/5
10.96619,12.788955999999999,G:maj7
12.788955999999999,14.727823,C/5
14.727823,16.678299,G
16.678299,18.501065,B:min7
18.501065,20.381882,A:min7
20.381882,21.357120000000002,D:sus4
21.357120000000002,22.285918,D
22.285918,24.259614000000003,G
24.259614000000003,26.2217,B:min7
26.2217,27.974807000000002,A:min7
27.974807000000002,29.716303000000003,C/5
29.716303000000003,31.5739,B:min
31.5739,33.466326,A:min
33.466326,35.172993,C/5
35.172993,37.065419,D/3
37.065419,38.923015,G
38.923015,40.815442,B:min7
40.815442,44.542244000000004,A:min7
44.542244000000004,46.515941,B:min
46.515941,48.454807,A:min
48.454807,50.358843,C
50.358843,52.04229,D
52.04229,53.818616000000006,G:maj7
53.818616000000006,55.652993,C:maj(#4)/5
55.652993,57.406099,G:maj7
57.406099,59.182426,C:maj(#4)/5
59.182426,60.981972,G
60.981972,62.804739,C/5
62.804739,64.464965,G
64.464965,66.310952,C/5
66.310952,68.064058,G
68.064058,69.96809499999999,B:min7
69.96809499999999,71.639931,A:min7
71.639931,73.485918,C/5
73.485918,75.33190400000001,B:min
75.33190400000001,76.992131,A:min
76.992131,78.83811700000001,C/5
78.83811700000001,80.684104,D/3
80.684104,82.57653,G
82.57653,84.422517,B:min7
84.422517,88.01,A:min7
88.01,89.832766,B:min
89.832766,91.725192,A:min
91.725192,93.524739,C/5
93.524739,95.405555,D/3
95.405555,97.15866199999999,G:maj7
97.15866199999999,99.085918,C:maj(#4)/5
99.085918,100.80419499999999,G:maj7
100.80419499999999,102.59213100000001,C:maj(#4)/5
102.59213100000001,104.449727,G
104.449727,106.237664,C/5
106.237664,107.97916000000001,G
107.97916000000001,109.848367,C/5
109.848367,111.601473,G
111.601473,113.34297,A:min
113.34297,115.049637,A
115.049637,116.791133,D:min
116.791133,118.56746000000001,G
118.56746000000001,120.29734599999999,C/5
120.29734599999999,122.108503,D/3
122.108503,123.072131,C
123.072131,124.000929,D
124.000929,125.95140500000001,G
125.95140500000001,127.79739199999999,B:min7
127.79739199999999,129.50405800000001,A:min7
129.50405800000001,131.338435,C/5
131.338435,132.929002,B:min
132.929002,134.751768,A:min
134.751768,136.528095,C/5
136.528095,138.281201,D/3
138.281201,140.162018,G
140.162018,141.973174,B:min7
141.973174,145.537437,A:min7
145.537437,147.302154,B:min
147.302154,149.11331,A:min
149.11331,150.936077,C/5
150.936077,152.805283,D/3
152.805283,154.639659,G:maj7
154.639659,156.474036,C:maj(#4)/5
156.474036,158.203922,G:maj7
158.203922,160.177619,C:maj(#4)/5
160.177619,161.953945,G:maj7
161.953945,163.788321,C/5
163.788321,165.553038,G:maj7
165.553038,167.503514,C/5
167.503514,169.33789099999998,G
169.33789099999998,171.241927,B:min7
171.241927,173.250453,A:min7
173.250453,175.15448899999998,C/5
175.15448899999998,176.988866,G
176.988866,179.055442,B:min7
179.055442,181.13362800000002,A:min7
181.13362800000002,182.329455,D:sus4
182.329455,184.163832,D
184.163832,189.42731799999999,G
189.42731799999999,191.686531,N
