begin,end,chord
0.0,0.440395,N
0.440395,1.724648,G
1.724648,3.5040129999999996,F:maj(9)/9
3.5040129999999996,7.4831970000000005,G
7.4831970000000005,11.10551,G
11.10551,14.437573,F:maj(9)/9
14.437573,17.955396,G
17.955396,21.461609,F:maj(9)/9
21.461609,22.529726999999998,B:min
22.529726999999998,23.400476,B:min/7
23.400476,24.294444,B:min/b7
24.294444,25.153582,B:min/6
25.153582,26.001110999999998,B:min
26.001110999999998,26.871859000000004,B:min/7
26.871859000000004,27.765827,B:min/b7
27.765827,28.601746000000002,B:min/6
28.601746000000002,29.495714000000003,C
29.495714000000003,30.378071999999996,C/7
30.378071999999996,31.248820000000002,A:min
31.248820000000002,32.084739,D
32.084739,35.532902,G
35.532902,38.911405,G
38.911405,42.417619,F:maj(9)/9
42.417619,45.993491999999996,G
45.993491999999996,49.511315,F:maj(9)/9
49.511315,50.544603,B:min
50.544603,51.403741,B:min/7
51.403741,52.309319,B:min/b7
52.309319,52.982698,B:min/6
52.982698,54.062426,B:min
54.062426,54.956393999999996,B:min/7
54.956393999999996,55.850362,B:min/b7
55.850362,56.697891000000006,B:min/6
56.697891000000006,57.591859,C
57.591859,58.46260699999999,C/7
58.46260699999999,59.33335600000001,A:min
59.33335600000001,60.180884,D
60.180884,63.629047,G
63.629047,65.382154,G
65.382154,68.841927,C
68.841927,70.618253,D
70.618253,74.101247,G
74.101247,77.68873,G
77.68873,81.009183,F:maj(9)/9
81.009183,84.550226,G
84.550226,88.218979,F:maj(9)/9
88.218979,89.089727,B:min
89.089727,90.006916,B:min/7
90.006916,90.866054,B:min/b7
90.866054,91.748412,B:min/6
91.748412,92.61916,B:min
92.61916,93.489909,B:min/7
93.489909,94.37226700000001,B:min/b7
94.37226700000001,95.254625,B:min/6
95.254625,96.102154,C
96.102154,97.00773199999999,C/7
97.00773199999999,97.87848000000001,A:min
97.87848000000001,98.749229,D
98.749229,102.18578199999999,G
102.18578199999999,103.927278,G
103.927278,107.39866200000002,C
107.39866200000002,109.16337800000001,D
109.16337800000001,112.80891100000001,G
112.80891100000001,114.248548,G
114.248548,114.962258,F:maj/9
114.962258,115.53668600000002,C:sus4/4
115.53668600000002,116.034524,C/3
116.034524,118.198204,G
118.198204,121.644104,C
121.644104,123.40881999999999,D
123.40881999999999,126.810544,G
126.810544,131.60546399999998,G
131.60546399999998,133.79975,G:sus4(2)
133.79975,135.100068,G
135.100068,137.305963,G:sus4(2)
137.305963,139.07068,G
139.07068,140.777346,G:sus4(2)
140.777346,142.042834,G
142.042834,144.22551,G:sus4(2)
144.22551,146.153716,G
146.153716,150.64816299999998,N
