begin,end,chord
0.0,0.21062399999999998,N
0.21062399999999998,0.708462,E:(1)
0.708462,2.490907,A:min7
2.490907,4.185963,A:min6
4.185963,5.8926300000000005,E:min(9)
5.8926300000000005,7.610907000000001,E:min
7.610907000000001,9.282743,A:min7
9.282743,10.9778,A:min6
10.9778,12.638027000000001,E:min(9)
12.638027000000001,14.356303,E:min
14.356303,19.580793,D:min
19.580793,23.017346,A:min
23.017346,26.4539,D:min
26.4539,29.925283,A:min
29.925283,33.454716,D:min
33.454716,36.868049,A:min
36.868049,41.175351,D:min
41.175351,44.693174,A:min
44.693174,53.783786,A:7
53.783786,56.372811,C:7
56.372811,58.961836,A:min
58.961836,67.994399,A:7
67.994399,70.641473,C:7
70.641473,73.18217,A:min
73.18217,74.40310600000001,A
74.40310600000001,76.667052,C
76.667052,77.804829,A
77.804829,80.42868399999999,G
80.42868399999999,81.566462,A
81.566462,83.828242,C
83.828242,84.886916,A
84.886916,87.487551,G
87.487551,88.613718,A
88.613718,90.877664,C
90.877664,91.957392,A
91.957392,94.511587,G
94.511587,96.19503399999999,C
96.19503399999999,97.77399,A:min
97.77399,99.352947,F
99.352947,100.908684,G
100.908684,102.557301,C
102.557301,104.182698,A:min
104.182698,105.83131499999999,F
105.83131499999999,107.47993100000001,G
107.47993100000001,108.72013600000001,C
108.72013600000001,110.022517,A:min
110.022517,111.19512399999999,F
111.19512399999999,112.495442,G
112.495442,113.67965900000002,C
113.67965900000002,114.887097,A:min
114.887097,116.106145,F
116.106145,117.30197199999999,G
117.30197199999999,118.56746000000001,C
118.56746000000001,119.751678,A:min
119.751678,121.005555,F
121.005555,122.23621299999999,G
122.23621299999999,123.908049,C
123.908049,125.63793600000001,A:min
125.63793600000001,127.30977299999999,F
127.30977299999999,128.95838999999998,G
128.95838999999998,130.653446,C
130.653446,132.30206299999998,A:min
132.30206299999998,134.00873,F
134.00873,135.692176,G
135.692176,140.428581,F:min
140.428581,141.596585,N
141.596585,142.19016100000002,C:(1)
142.19016100000002,143.85398999999998,C
143.85398999999998,145.514217,A:min
145.514217,147.232494,F
147.232494,148.904331,G
148.904331,150.645827,C
150.645827,152.30605400000002,A:min
152.30605400000002,154.02433100000002,F
154.02433100000002,155.672947,G
155.672947,160.839934,C
160.839934,163.474286,N
