begin,end,chord
0.0,0.536133,N
0.536133,3.0597950000000003,F:maj6
3.0597950000000003,5.544331,C
5.544331,7.994036,G
7.994036,10.455351,A:min
10.455351,12.916666000000001,G
12.916666000000001,15.354760999999998,A:min
15.354760999999998,17.816077,G
17.816077,19.081564,G
19.081564,20.323832,D:min7/4
20.323832,21.542879,F:maj/9
21.542879,22.808367,C
22.808367,24.050634,C/7
24.050634,25.316122,A:min
25.316122,26.523559999999996,C/5
26.523559999999996,27.777437,F
27.777437,29.008095,Ab
29.008095,30.250362,C
30.250362,31.469409999999996,C/5
31.469409999999996,32.688458000000004,A:min
32.688458000000004,33.930725,C/5
33.930725,35.161383,F
35.161383,36.36882,Bb
36.36882,38.818526,C
38.818526,41.268231,F:maj6
41.268231,43.729546,C
43.729546,46.179251,G
46.179251,48.605736,A:min
48.605736,51.020612,G
51.020612,53.493536999999996,A:min
53.493536999999996,55.885192,G
55.885192,57.081019999999995,G
57.081019999999995,58.300068,D:min7/4
58.300068,59.553945,F:maj/9
59.553945,60.77451800000001,C
60.77451800000001,62.0617,C/7
62.0617,63.280747999999996,A:min
63.280747999999996,64.488185,C/5
64.488185,65.718843,F
65.718843,66.949501,Ab
66.949501,68.156938,C
68.156938,69.387596,C/7
69.387596,70.595034,A:min
70.595034,71.802471,C/5
71.802471,72.998299,F
72.998299,74.22895600000001,Bb
74.22895600000001,76.690272,C
76.690272,79.035487,F:maj6
79.035487,81.403922,C
81.403922,83.795578,G
83.795578,86.222063,A:min
86.222063,88.636938,G
88.636938,91.063424,A:min
91.063424,93.420249,G
93.420249,94.65090699999999,G
94.65090699999999,95.823514,D:min7/4
95.823514,97.054172,F:maj/9
97.054172,98.284829,C
98.284829,99.492267,C/7
99.492267,100.68809499999999,A:min
100.68809499999999,101.918752,C/5
101.918752,103.12619000000001,F
103.12619000000001,104.333628,Ab
104.333628,105.56428500000001,C
105.56428500000001,106.79494299999999,C/7
106.79494299999999,108.00238,A:min
108.00238,109.19820800000001,C/5
109.19820800000001,110.39403600000001,F
110.39403600000001,111.601473,Bb
111.601473,114.00473899999999,C
114.00473899999999,116.419614,F:maj6
116.419614,118.822879,C
118.822879,121.202925,G
121.202925,123.55975,A:min
123.55975,125.95140500000001,G
125.95140500000001,128.343061,A:min
128.343061,130.723106,G
130.723106,131.965374,G
131.965374,133.068321,D:min7/4
133.068321,134.28736899999998,F:maj/9
134.28736899999998,135.494807,C
135.494807,136.702244,C/7
136.702244,137.909682,A:min
137.909682,139.14033999999998,C/5
139.14033999999998,140.336167,F
140.336167,141.578435,Ab
141.578435,142.762653,C
142.762653,143.99331,C/7
143.99331,145.177528,A:min
145.177528,146.419795,C/5
146.419795,147.60401299999998,F
147.60401299999998,148.799841,Bb
148.799841,150.01888799999998,C
150.01888799999998,151.21471599999998,C/7
151.21471599999998,152.410544,A:min
152.410544,153.594761,C/5
153.594761,154.802199,F
154.802199,155.963197,Ab
155.963197,157.20546399999998,Ab
157.20546399999998,158.412902,Ab/7
158.412902,159.64356,Ab/b7
159.64356,160.83938700000002,F:7
160.83938700000002,165.634308,C
165.634308,205.530459,C
205.530459,211.48734700000003,N
