begin,end,chord
0.0,0.165431,N
0.165431,0.588571,"E:(1,5)"
0.588571,6.521269,"E:(1,b7)/b7"
6.521269,9.435374000000001,"C#:(1,b3)"
9.435374000000001,12.244988000000001,C
12.244988000000001,15.089432999999998,G
15.089432999999998,18.003536999999998,E
18.003536999999998,32.295419,E
32.295419,35.197913,G
35.197913,37.995917999999996,A
37.995917999999996,40.910022,E
40.910022,43.754467,A
43.754467,46.610521000000006,E
46.610521000000006,49.466575,A
49.466575,52.299409999999995,E
52.299409999999995,69.51700600000001,E
69.51700600000001,72.361451,G
72.361451,75.217505,A
75.217505,78.05034,E
78.05034,80.90639399999999,A
80.90639399999999,83.83210799999999,E
83.83210799999999,86.66494300000001,A
86.66494300000001,89.47455699999999,E
89.47455699999999,95.221496,E
95.221496,97.938231,A
97.938231,100.829115,E
100.829115,103.743219,A
103.743219,106.70376399999999,E
106.70376399999999,109.548208,E
109.548208,112.46231200000001,"C#:(1,b3)/b3"
112.46231200000001,115.28353700000001,C/3
115.28353700000001,118.116371,G
118.116371,132.71011299999998,E
132.71011299999998,135.56616699999998,G
135.56616699999998,138.364172,A
138.364172,141.301496,E
141.301496,144.28526000000002,A
144.28526000000002,147.036825,E
147.036825,149.916099,A
149.916099,152.72571399999998,E
152.72571399999998,179.65125700000002,E
179.65125700000002,181.753347,N
181.753347,191.665578,E:9
191.665578,220.17968199999999,E
220.17968199999999,224.45034700000002,N
224.45034700000002,262.24701899999997,E
262.24701899999997,269.688163,N
