begin,end,chord
0.0,0.36628099999999997,N
0.36628099999999997,3.605464,A
3.605464,5.463061,D
5.463061,7.262607000000001,E
7.262607000000001,10.96619,A
10.96619,12.591586999999999,D
12.591586999999999,14.704603,E
14.704603,18.326916,A
18.326916,20.172902,D
20.172902,21.995668,B
21.995668,23.853265,A
23.853265,24.480204,D:maj6
24.480204,25.165192,A:maj(9)/3
25.165192,25.838570999999998,B:min
25.838570999999998,26.50034,A
26.50034,26.987959000000004,E:sus4(b7)
26.987959000000004,27.452358,E:7
27.452358,31.202379999999998,A
31.202379999999998,33.059977,D
33.059977,34.929183,E
34.929183,38.655986,A
38.655986,40.525192,D
40.525192,42.382789,E
42.382789,46.132811,A
46.132811,48.036848,D
48.036848,49.906054,B
49.906054,51.76365,A
51.76365,52.437029,D:maj6
52.437029,53.11040799999999,A:maj(9)/3
53.11040799999999,53.830226,B:min
53.830226,54.491994999999996,A
54.491994999999996,55.002834,E:sus4(b7)
55.002834,55.46723299999999,E:7
55.46723299999999,57.324829,A
57.324829,59.124376,E
59.124376,62.874399,A
62.874399,64.743605,D
64.743605,66.636031,E
66.636031,70.374444,A
70.374444,72.25525999999999,D
72.25525999999999,74.136077,E
74.136077,77.932539,A
77.932539,79.790136,D
79.790136,81.670952,B
81.670952,83.493718,A
83.493718,84.213537,D:maj6
84.213537,84.898526,A:maj(9)/3
84.898526,85.595124,B:min
85.595124,86.280113,A
86.280113,86.75612199999999,E:sus4(b7)
86.75612199999999,87.243741,E:7
87.243741,89.089727,A
89.089727,90.726734,E
90.726734,91.36528299999999,C
91.36528299999999,92.073492,G
92.073492,92.74687,D/3
92.74687,93.211269,D
93.211269,95.022426,A
95.022426,96.589773,E
96.589773,97.274761,C
97.274761,97.92492,G
97.92492,98.62151899999999,D/3
98.62151899999999,99.109138,D
99.109138,100.908684,A
100.908684,102.464421,E
102.464421,103.12619000000001,C
103.12619000000001,103.822789,G
103.822789,104.507777,D/3
104.507777,104.98378600000001,D
104.98378600000001,106.80655300000001,A
106.80655300000001,108.33906999999999,E
108.33906999999999,109.02405800000001,C
109.02405800000001,109.69743700000001,G
109.69743700000001,110.39403600000001,D/3
110.39403600000001,110.846825,D
110.846825,112.681201,A
112.681201,114.236938,E
114.236938,114.91031699999999,C
114.91031699999999,115.54886599999999,G
115.54886599999999,116.24546399999998,D/3
116.24546399999998,116.70986299999998,D
116.70986299999998,118.55585,A
118.55585,120.076757,E
120.076757,120.72691599999999,C
120.72691599999999,121.435124,G
121.435124,122.108503,D/3
122.108503,122.561292,D
122.561292,124.418888,A
124.418888,126.206825,E
126.206825,127.809002,E:sus4
127.809002,129.620158,E
129.620158,131.62868400000002,E:7
131.62868400000002,135.41353700000002,A
135.41353700000002,137.259523,D
137.259523,139.10551,E
139.10551,142.843922,A
142.843922,144.724739,D
144.724739,146.593945,E
146.593945,150.332358,A
150.332358,152.236394,D
152.236394,154.1056,B
154.1056,155.974807,A
155.974807,156.659795,D:maj6
156.659795,157.391224,A:maj(9)/3
157.391224,158.041383,B:min
158.041383,158.691541,A
158.691541,159.17916,E:sus4(b7)
159.17916,159.65517,E:7
159.65517,163.370362,A
163.370362,165.18151899999998,D
165.18151899999998,167.120385,B
167.120385,169.012811,A
169.012811,169.63975,D:maj6
169.63975,170.359569,A:maj(9)/3
170.359569,171.044557,B:min
171.044557,171.75276599999998,A
171.75276599999998,172.205555,E:sus4(b7)
172.205555,172.68156399999998,E:7
172.68156399999998,174.55077,A
174.55077,175.247369,D:maj6
175.247369,175.955578,A:maj(9)/3
175.955578,176.66378600000002,B:min
176.66378600000002,177.302335,A
177.302335,177.766734,E:sus4(b7)
177.766734,178.254353,E:7
178.254353,178.985782,A:min7
178.985782,179.7056,G/2
179.7056,180.425419,D/5
180.425419,181.029138,D
181.029138,183.59108899999998,A
183.59108899999998,185.573878,N
