begin,end,chord
0.0,0.424331,N
0.424331,2.072947,G
2.072947,3.9635559999999996,B:min
3.9635559999999996,6.809817999999999,Bb
6.809817999999999,7.668956,A:sus4
7.668956,8.388775,A:min
8.388775,10.107052000000001,D
10.107052000000001,11.569908999999999,G
11.569908999999999,13.079206,A:min7
13.079206,14.565282999999999,G/3
14.565282999999999,16.064846,C
16.064846,17.500917,G
17.500917,18.936988,A:min7
18.936988,20.323832,G/3
20.323832,21.809909,C
21.809909,23.284376,F#:min
23.284376,24.689183,B:7
24.689183,26.12882,F#:min
26.12882,27.553413,B:7
27.553413,29.031315000000003,E:min
29.031315000000003,30.521292,A:min
30.521292,31.957363,A:min7
31.957363,33.350226,D:7
33.350226,34.925243,G
34.925243,36.264331,A:min7
36.264331,37.692358,G/3
37.692358,39.156865,C
39.156865,40.583242,G
40.583242,42.034489,A:min7
42.034489,43.520565999999995,G/3
43.520565999999995,44.948594,C
44.948594,46.388231,F#:min
46.388231,47.804648,B:7
47.804648,49.267505,F#:min
49.267505,50.718752,B:7
50.718752,52.13517,E:min
52.13517,53.598027,A:min
53.598027,55.060883999999994,A:min7
55.060883999999994,55.815287,D
55.815287,56.488911,F
56.488911,57.940158,Bb
57.940158,59.437844999999996,G:min
59.437844999999996,60.854263,C:min
60.854263,62.259069999999994,D:7
62.259069999999994,65.115124,G:min
65.115124,66.56637099999999,C:min
66.56637099999999,67.994399,D
67.994399,69.445646,G
69.445646,70.908503,A:min7
70.908503,72.37136,G/3
72.37136,73.787777,C
73.787777,75.204195,G
75.204195,76.64383199999999,A:min7
76.64383199999999,78.106689,G/3
78.106689,79.577472,C
79.577472,80.951133,F#:min
80.951133,82.39076999999999,B:7
82.39076999999999,83.83040799999999,F#:min
83.83040799999999,85.293265,B
85.293265,86.732902,E:min
86.732902,88.218979,A:min
88.218979,89.670226,A:min7
89.670226,90.355215,D
90.355215,91.08664300000001,F
91.08664300000001,92.52628100000001,Bb
92.52628100000001,94.014771,G:min
94.014771,95.475215,C:min
95.475215,96.903242,D:7
96.903242,99.805736,G:min
99.805736,101.222154,C:min
101.222154,102.638571,D:7
102.638571,104.101428,G
104.101428,105.552675,A:min7
105.552675,107.027142,G/3
107.027142,108.501609,C
108.501609,109.964467,G
109.964467,111.404104,A:min7
111.404104,112.89018100000001,G/3
112.89018100000001,114.32981799999999,C
114.32981799999999,115.792675,F#:min
115.792675,117.23231200000001,B:7
117.23231200000001,118.67195,F#:min
118.67195,120.181247,B:7
120.181247,121.586054,E:min
121.586054,123.048911,A:min
123.048911,124.53498799999998,A:min7
124.53498799999998,125.219977,D:7
125.219977,125.93979499999999,D
125.93979499999999,127.425873,G
127.425873,128.80746000000002,A:min7
128.80746000000002,130.328367,G/3
130.328367,131.791224,C
131.791224,133.300521,G
133.300521,134.728548,A:min7
134.728548,136.214625,G/3
136.214625,137.712312,C
137.712312,141.424256,G
141.424256,145.86775500000002,N
