begin,end,chord
0.0,0.440395,N
0.440395,2.1569279999999997,F
2.1569279999999997,3.840375,C
3.840375,5.5586519999999995,F
5.5586519999999995,7.265318,Bb
7.265318,9.030035,G
9.030035,10.806361,C
10.806361,12.547858,F
12.547858,14.266135,Bb
14.266135,16.007631,G
16.007631,17.737517999999998,C
17.737517999999998,19.513844,F
19.513844,21.278561,F:7
21.278561,22.996837,Bb
22.996837,24.761554,Bb:min
24.761554,26.514661,F
26.514661,28.302597,Bb:min
28.302597,30.067314,F
30.067314,31.7972,C
31.7972,33.561917,F
33.561917,35.291803,Bb
35.291803,37.044909999999994,G
37.044909999999994,38.821236999999996,C
38.821236999999996,40.585953,F
40.585953,42.339059999999996,Bb
42.339059999999996,44.092166,G
44.092166,45.856883,C
45.856883,47.633209,F
47.633209,49.397926,F:7
49.397926,51.174252,Bb
51.174252,52.915749,Bb:min
52.915749,54.703686,F
54.703686,56.503232,Bb:min
56.503232,58.256339000000004,F
58.256339000000004,60.021055000000004,Ab
60.021055000000004,61.762552,F
61.762552,63.562098,Ab
63.562098,65.326815,F
65.326815,67.068311,Bb
67.068311,68.80980799999999,G:min
68.80980799999999,70.562915,G
70.562915,72.281191,C
72.281191,73.99946800000001,F
73.99946800000001,75.810624,Bb
75.810624,77.540511,G
77.540511,79.31683699999999,C
79.31683699999999,81.104774,F
81.104774,82.881101,Bb
82.881101,84.64581700000001,G
84.64581700000001,86.410534,C
86.410534,88.21008,F
88.21008,89.986407,F:7
89.986407,91.75112299999999,Bb
91.75112299999999,93.52745,Bb:min
93.52745,95.303776,F
95.303776,97.103323,Bb:min
97.103323,98.89125899999999,F
98.89125899999999,100.67919599999999,Ab
100.67919599999999,102.420692,F
102.420692,104.220239,Ab
104.220239,106.008175,F
106.008175,107.73806200000001,Bb
107.73806200000001,109.502779,G:min
109.502779,111.267495,G
111.267495,112.93933200000001,C
112.93933200000001,114.715658,F
114.715658,116.49198500000001,Bb
116.49198500000001,118.26831100000001,G
118.26831100000001,120.04463799999999,C
120.04463799999999,121.832574,F
121.832574,123.608901,Bb
123.608901,125.327178,G
125.327178,127.11511399999999,C
127.11511399999999,128.92627099999999,F
128.92627099999999,130.690987,F:7
130.690987,132.478924,Bb
132.478924,134.24364,Bb:min
134.24364,136.04318700000002,F
136.04318700000002,137.865953,Bb:min
137.865953,139.71194,F
139.71194,141.523096,Ab
141.523096,143.38069199999998,F
143.38069199999998,145.58658799999998,Ab
145.58658799999998,149.03671,F
149.03671,152.581224,N
