begin,end,chord
0.0,0.45954300000000003,N
0.45954300000000003,4.733242,B
4.733242,6.149659,B
6.149659,7.577686999999999,A
7.577686999999999,8.959274,G
8.959274,10.387300999999999,F
10.387300999999999,13.301404999999999,E
13.301404999999999,16.02975,E:7
16.02975,18.920634,D
18.920634,21.788299,D:7
21.788299,23.216326000000002,A
23.216326000000002,24.644353,A/b7
24.644353,26.08399,C
26.08399,27.570068,D
27.570068,28.963265000000003,A
28.963265000000003,30.414512,A/b7
30.414512,33.317006,C
33.317006,36.173061,D
36.173061,39.029115000000004,A
39.029115000000004,40.422312,A
40.422312,41.86195,A/b7
41.86195,43.301587,F#:min7
43.301587,43.998185,F
43.998185,44.671564000000004,G
44.671564000000004,46.122811,A
46.122811,47.539229,A/b7
47.539229,50.348843,F
50.348843,55.93324200000001,B
55.93324200000001,58.777687,C
58.777687,61.598911,D
61.598911,64.373696,E
64.373696,65.790113,A
65.790113,67.22975,A/b7
67.22975,68.68099699999999,C
68.68099699999999,70.08580400000001,D
70.08580400000001,71.525442,A
71.525442,72.953469,A/b7
72.953469,75.774693,C
75.774693,78.630748,D
78.630748,81.451972,A
81.451972,87.094421,D:maj(11)
87.094421,89.915646,A
89.915646,92.74848,E
92.74848,95.569705,D
95.569705,97.02095200000001,A
97.02095200000001,98.414149,A/b7
98.414149,99.842176,F#:min7
99.842176,100.527165,F
100.527165,101.21427299999999,G
101.21427299999999,102.605351,A
102.605351,103.963718,A/b7
103.963718,106.796553,F
106.796553,112.27646200000001,B
112.27646200000001,115.09768700000001,C
115.09768700000001,117.86086100000001,D
117.86086100000001,120.612426,E
120.612426,123.57297,N
123.57297,124.826848,B
124.826848,126.243265,A
126.243265,127.63646200000001,G
127.63646200000001,128.983219,F
128.983219,131.850884,E
131.850884,133.232471,B
133.232471,134.660498,A
134.660498,136.007256,G
136.007256,137.37723300000002,F
137.37723300000002,138.80526,E
138.80526,140.186848,F
140.186848,145.67836699999998,B
145.67836699999998,148.441541,C
148.441541,151.111836,D
151.111836,153.82857099999998,E
153.82857099999998,156.533696,D
156.533696,157.950113,A
157.950113,159.35492,A/b7
159.35492,160.73650700000002,C
160.73650700000002,162.176145,D
162.176145,163.546122,A
163.546122,164.90448899999998,A/b7
164.90448899999998,167.72571399999998,C
167.72571399999998,170.465668,D
170.465668,173.240453,A
173.240453,174.70331000000002,A
174.70331000000002,176.01523799999998,A/b7
176.01523799999998,177.361995,F#:min7
177.361995,178.070204,F
178.070204,178.685532,G
178.685532,180.06712,A
180.06712,181.448707,A/b7
181.448707,184.16544199999998,F
184.16544199999998,189.552471,B
189.552471,192.327256,C
192.327256,195.0556,D
195.0556,197.749115,E
197.749115,200.38458,D
200.38458,203.101315,C
203.101315,205.73678,B
205.73678,208.407074,A
208.407074,211.088979,G
211.088979,213.75927400000003,F
213.75927400000003,216.441179,E:7
216.441179,219.08825299999998,D:maj(9)
219.08825299999998,221.793378,C:maj(#11)
221.793378,224.521723,G/3
224.521723,227.25006800000003,A
227.25006800000003,229.908752,G
229.908752,232.671927,F
232.671927,235.35383199999998,E:7
235.35383199999998,238.00090699999998,D:maj(9)
238.00090699999998,240.659591,C:maj(#11)
240.659591,243.29505600000002,G/3
243.29505600000002,245.930521,A
245.930521,248.554376,G
248.554376,251.166621,F
251.166621,253.79047599999998,E:7
253.79047599999998,256.50721,D:maj(9)
256.50721,259.247165,C:maj(#11)
259.247165,261.97551,G/3
261.97551,264.680634,A
264.680634,267.408979,G
267.408979,270.148934,F
270.148934,272.784399,E:7
272.784399,277.080816,N
