begin,end,chord
0.0,0.43713599999999997,N
0.43713599999999997,1.698959,G
1.698959,2.372338,G/b7
2.372338,3.010887,E:min7
3.010887,4.241544,D:sus4
4.241544,4.845263,F:maj9
4.845263,5.483812,C/3
5.483812,6.7260789999999995,D:7
6.7260789999999995,7.329797999999999,D/2
7.329797999999999,7.633093,A:min/6
7.633093,7.9683470000000005,A:min
7.9683470000000005,10.452882,G
10.452882,17.860048000000003,G
17.860048000000003,20.332973000000003,D
20.332973000000003,21.58685,E:min
21.58685,22.829117999999998,B
22.829117999999998,24.071385,A:min
24.071385,25.325263,D
25.325263,26.567531,G
26.567531,27.821408,F:maj7
27.821408,30.294333,G
30.294333,37.713109,G
37.713109,40.162814000000004,D
40.162814000000004,41.416692,E:min
41.416692,42.624128999999996,B
42.624128999999996,43.901227,A:min
43.901227,45.131884,D
45.131884,46.350932,G
46.350932,47.639639,F:maj7
47.639639,50.135784,G
50.135784,52.62031999999999,G
52.62031999999999,53.88580699999999,E:min
53.88580699999999,55.151295,A
55.151295,56.381952000000005,C
56.381952000000005,57.601,D
57.601,60.15519499999999,G
60.15519499999999,61.37424300000001,E:min
61.37424300000001,62.651340000000005,A
62.651340000000005,63.905218000000005,C
63.905218000000005,65.112655,D
65.112655,72.69397,G
72.69397,75.20172600000001,D:7(#9)
75.20172600000001,76.467213,E:min
76.467213,77.744311,B
77.744311,79.009798,A:min
79.009798,80.275286,D
80.275286,81.494333,G
81.494333,82.783041,F:maj7
82.783041,85.23274599999999,G
85.23274599999999,92.84889100000001,G
92.84889100000001,94.097348,D:9
94.097348,95.345036,D:7(#9)
95.345036,96.633744,E:min
96.633744,97.922451,B
97.922451,99.141499,A:min
99.141499,100.395376,D
100.395376,101.69569399999999,G
101.69569399999999,102.984401,F:maj7
102.984401,105.538596,G
105.538596,108.069571,G
108.069571,109.34666899999999,E:min
109.34666899999999,110.63537600000001,A
110.63537600000001,111.854424,C
111.854424,113.108301,D
113.108301,115.65088700000001,G
115.65088700000001,116.90476399999999,E:min
116.90476399999999,118.18186200000001,A
118.18186200000001,119.42412900000001,C
119.42412900000001,120.64317700000001,D
120.64317700000001,128.212882,G
128.212882,129.43915900000002,D:7(#9)
129.43915900000002,130.767077,D:9
130.767077,132.044175,E:min
132.044175,133.309662,B
133.309662,134.56354,A:min
134.56354,135.829027,D
135.829027,137.094515,G
137.094515,138.383222,F:maj7
138.383222,140.879367,G
140.879367,142.21451499999998,G
142.21451499999998,142.818432,G:7
142.818432,143.468392,E:min/b3
143.468392,144.71066000000002,D:7
144.71066000000002,145.337599,D:7
145.337599,146.034197,D:7
146.034197,147.299685,D
147.299685,147.938233,D
147.938233,148.553562,D:7
148.553562,151.63176299999998,G
151.63176299999998,156.18612199999998,N
