begin,end,chord
0.0,0.4021,N
0.4021,1.4227889999999999,A:min
1.4227889999999999,2.572176,A:min/b3
2.572176,4.638751999999999,D
4.638751999999999,5.67204,G
5.67204,6.716938000000001,E:7
6.716938000000001,7.773446000000001,A:min
7.773446000000001,8.841564,A:min/b3
8.841564,10.90814,D
10.90814,11.883378,G
11.883378,12.951496,E:7
12.951496,14.948412,A:min
14.948412,15.9817,A:min
15.9817,17.038207999999997,A:min/b3
17.038207999999997,19.046734,D
19.046734,20.045192,G
20.045192,21.03204,E:7
21.03204,23.121836,A:min
23.121836,25.141972,D:min
25.141972,27.115668,D:min/b3
27.115668,28.125736,E
28.125736,29.147414,F#:hdim7/b7
29.147414,31.109501,E:7
31.109501,32.107959,A:min
32.107959,33.152857,G#:aug
33.152857,34.151315000000004,C/5
34.151315000000004,35.161383,F#:hdim7
35.161383,39.004284999999996,F:maj7
39.004284999999996,46.399840999999995,A:min7
46.399840999999995,50.126643,D:min7
50.126643,53.795396,A:min7
53.795396,57.510589,E
57.510589,58.601927,A:min
58.601927,59.623605000000005,A:min/b3
59.623605000000005,61.678571,D
61.678571,62.60736899999999,G
62.60736899999999,63.59421700000001,E:7
63.59421700000001,65.54469300000001,A:min
65.54469300000001,66.519931,A:min
66.519931,67.47195,A:min/b3
67.47195,69.50369599999999,D
69.50369599999999,70.420884,G
70.420884,71.407732,E:7
71.407732,73.346598,A:min
73.346598,75.285464,D:min
75.285464,77.235941,D:min/b3
77.235941,78.18795899999999,E
78.18795899999999,79.174807,F#:hdim7/b7
79.174807,81.090453,E:7
81.090453,82.077301,A:min
82.077301,83.122199,G#:aug
83.122199,84.155487,C/5
84.155487,85.11911500000001,F#:hdim7
85.11911500000001,89.02006800000001,F:maj7
89.02006800000001,96.415623,A:min7
96.415623,100.119206,D:min7
100.119206,103.741519,A:min7
103.741519,107.503151,E
107.503151,108.571269,A:min
108.571269,109.62777700000001,A:min/b3
109.62777700000001,111.659523,D
111.659523,112.588321,G
112.588321,113.621609,E:7
113.621609,115.514036,A:min
115.514036,116.51249399999999,A:min
116.51249399999999,117.48773200000001,A:min/b3
117.48773200000001,119.438208,D
119.438208,120.40183600000002,G
120.40183600000002,121.411904,E:7
121.411904,123.35077,A:min
123.35077,125.231587,D:min
125.231587,127.240113,D:min/b3
127.240113,128.157301,E
128.157301,129.15575900000002,F#:hdim7/b7
129.15575900000002,131.04818500000002,E:7
131.04818500000002,132.011814,A:min
132.011814,133.09154099999998,G#:aug
133.09154099999998,134.06678,C/5
134.06678,134.972358,F#:hdim7
134.972358,144.258103,F:maj7
144.258103,145.737143,N
