begin,end,chord
0.0,0.47868999999999995,N
0.47868999999999995,0.861642,A
0.861642,2.5657799999999997,A:sus2
2.5657799999999997,3.101913,A:sus4
3.101913,3.9885940000000004,A
3.9885940000000004,5.67204,A
5.67204,7.276092,D
7.276092,7.754783,A
7.754783,8.98023,A:sus2
8.98023,9.573806,A:sus4
9.573806,10.96619,A
10.96619,12.696077,A
12.696077,14.226675,D
14.226675,14.705364999999999,A
14.705364999999999,15.911665,A:7
15.911665,16.371208,A:sus4
16.371208,17.839297,A
17.839297,19.638842999999998,F#:min
19.638842999999998,21.3339,C#:min
21.3339,23.087006,F#:min
23.087006,24.623828,B:min
24.623828,25.00678,A
25.00678,26.423703000000003,A:sus2
26.423703000000003,27.017279,A:sus4
27.017279,28.369546000000003,A
28.369546000000003,30.099433,A
30.099433,31.631853999999997,D
31.631853999999997,32.053101,A
32.053101,33.412582,A:sus2
33.412582,33.833828999999994,A:sus4
33.833828999999994,35.323921999999996,A
35.323921999999996,37.065419,A
37.065419,38.620732000000004,D
38.620732000000004,39.080275,A
39.080275,40.420607000000004,A:sus2
40.420607000000004,40.822707,A:sus4
40.822707,42.324739,A
42.324739,44.019795,F#:min
44.019795,45.761292,C#:min
45.761292,47.502789,F#:min
47.502789,49.13277,B:min
49.13277,49.573165,A
49.573165,50.894351,A:sus2
50.894351,51.315598,A:sus4
51.315598,52.750498,A
52.750498,54.526825,D
54.526825,56.291541,E
56.291541,59.809365,A
59.809365,61.516031000000005,D
61.516031000000005,63.29235799999999,E
63.29235799999999,65.103514,B
65.103514,68.586507,E
68.586507,70.397664,A
70.397664,71.937575,D
71.937575,72.358823,A
72.358823,73.77205699999999,A:sus2
73.77205699999999,74.181598,A:sus4
74.181598,75.69181400000001,A
75.69181400000001,77.47975,A
77.47975,79.027838,D
79.027838,79.437379,A
79.437379,80.761563,A:sus2
80.761563,81.185872,A:sus4
81.185872,82.72746,A
82.72746,84.445736,F#:min
84.445736,86.19884300000001,C#:min
86.19884300000001,87.97516999999999,F#:min
87.97516999999999,89.566703,B:min
89.566703,89.962593,A
89.962593,91.35325300000001,A:sus2
91.35325300000001,91.851091,A:sus4
91.851091,93.33897900000001,A
93.33897900000001,95.12691600000001,D
95.12691600000001,96.868412,E
96.868412,100.40945500000001,A
100.40945500000001,102.209002,D
102.209002,103.996938,E
103.996938,105.796485,B
105.796485,109.360748,E
109.360748,111.171904,A
111.171904,112.760397,D
112.760397,113.19724099999999,A
113.19724099999999,114.52186299999998,A:sus2
114.52186299999998,114.94311,A:sus4
114.94311,116.51249399999999,A
116.51249399999999,118.31204,A
118.31204,119.886417,D
119.886417,120.32326200000001,A
120.32326200000001,121.568184,A:sus2
121.568184,122.046874,A:sus4
122.046874,123.64102,A
123.64102,125.324467,F#:min
125.324467,127.216893,C#:min
127.216893,128.93517,F#:min
128.93517,130.548145,B:min
130.548145,130.95768600000002,A
130.95768600000002,132.418384,A:sus2
132.418384,132.882531,A:sus4
132.882531,134.333809,A
134.333809,137.781972,F#:min
137.781972,141.36945500000002,D
141.36945500000002,141.960389,A
141.960389,143.312185,A:sus2
143.312185,143.99331,A:sus4
143.99331,147.532344,A
147.532344,151.51020400000002,N
