begin,end,chord
0.0,2.6122669999999997,N
2.6122669999999997,11.45907,E
11.45907,12.921927,A
12.921927,17.443474,E
17.443474,20.410362,B
20.410362,21.908049,E
21.908049,23.370907,E:7/3
23.370907,24.856984,A
24.856984,26.343061,A:min/b3
26.343061,27.840747999999998,E
27.840747999999998,29.350045,B
29.350045,35.305963,E
35.305963,36.80365,A
36.80365,41.263102,E
41.263102,44.245646,B
44.245646,45.720113,E
45.720113,47.20619,E:7/3
47.20619,48.692267,A
48.692267,50.155124,A:min/b3
50.155124,51.652811,E
51.652811,53.138888,B
53.138888,56.111043,E
56.111043,65.13199499999999,A
65.13199499999999,68.150589,B
68.150589,71.192403,A
71.192403,74.199387,E
74.199387,75.697074,A
75.697074,80.236575,E
80.236575,83.20873,B
83.20873,86.221693,E
86.221693,87.736621,A
87.736621,89.25752800000001,A:min/b3
89.25752800000001,90.720385,E
90.720385,92.157453,B
92.157453,104.106689,E
104.106689,107.12528300000001,B
107.12528300000001,110.178707,E
110.178707,113.12408700000002,A
113.12408700000002,114.61371799999999,E
114.61371799999999,116.099795,B
116.099795,118.944961,E
118.944961,128.04646200000002,A
128.04646200000002,131.053446,B
131.053446,134.03721000000002,A
134.03721000000002,137.044195,E
137.044195,138.475524,A
138.475524,143.05816299999998,E
143.05816299999998,146.04192700000002,B
146.04192700000002,147.551224,E
147.551224,149.060521,E:7/3
149.060521,150.511768,A
150.511768,152.021065,A:min/b3
152.021065,153.53036200000003,E
153.53036200000003,155.062879,B
155.062879,159.532721,E
159.532721,161.065238,B
161.065238,165.581519,E
165.581519,167.114036,B
167.114036,168.646553,A
168.646553,169.737409,E
169.737409,171.687173,E:9
171.687173,175.804082,N
