begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,1.302038,G
1.302038,2.1775990000000003,D
2.1775990000000003,3.083177,G
3.083177,4.0003660000000005,D
4.0003660000000005,4.917554,G
4.917554,5.8463519999999995,D
5.8463519999999995,6.77515,G
6.77515,7.77393,D
7.77393,8.635572999999999,G
8.635572999999999,9.503495,D
9.503495,10.420683,G
10.420683,11.314651,D
11.314651,12.23184,G
12.23184,13.172248000000002,D
13.172248000000002,14.077826000000002,G
14.077826000000002,15.006623999999999,D
15.006623999999999,15.923812,G
15.923812,16.849898,D
16.849898,17.758189,E:min/b3
17.758189,18.675376999999997,E:min
18.675376999999997,20.507092,C
20.507092,22.34413,D
22.34413,23.261318,G
23.261318,24.178506,D
24.178506,25.107304,G
25.107304,26.047713,D
26.047713,26.918460999999997,G
26.918460999999997,27.812428999999998,D
27.812428999999998,28.741227000000002,G
28.741227000000002,29.658415,D
29.658415,30.563994,G
30.563994,31.516968,D
31.516968,32.378611,G
32.378611,33.292338,D
33.292338,34.186307,G
34.186307,35.135866,D
35.135866,35.996293,E:min/b3
35.996293,36.926261,E:min
36.926261,38.725808,C
38.725808,40.618234,B
40.618234,42.47583,E:min
42.47583,44.286986999999996,C
44.286986999999996,46.164891,G
46.164891,47.96735,B
47.96735,51.641107,E:min
51.641107,53.45886899999999,G
53.45886899999999,55.355743999999994,G:7
55.355743999999994,57.13923199999999,C
57.13923199999999,59.012938,D
59.012938,60.807984999999995,G
60.807984999999995,62.665581,E:min
62.665581,64.52745,C
64.52745,66.311114,D
66.311114,67.274742,G
67.274742,68.21515,D
68.21515,69.132338,G
69.132338,70.084357,D
70.084357,70.989935,G
70.989935,71.895513,D
71.895513,72.812701,G
72.812701,73.729889,D
73.729889,74.612248,G
74.612248,75.541046,D
75.541046,76.481454,G
76.481454,77.410252,D
77.410252,78.31583,G
78.31583,79.209799,D
79.209799,80.138597,E:min/b3
80.138597,81.06739499999999,E:min
81.06739499999999,82.878552,C
82.878552,84.701318,D
84.701318,85.61850600000001,G
85.61850600000001,86.558914,D
86.558914,87.487713,G
87.487713,88.404901,D
88.404901,89.333699,G
89.333699,90.21605699999999,D
90.21605699999999,91.133245,G
91.133245,92.038824,D
92.038824,92.944402,G
92.944402,93.8732,D
93.8732,94.813608,G
94.813608,95.707576,D
95.707576,96.659595,G
96.659595,97.565173,D
97.565173,98.506103,E:min/b3
98.506103,99.353109,E:min
99.353109,101.175876,C
101.175876,103.03329599999999,D
103.03329599999999,103.96226999999999,G
103.96226999999999,104.89106899999999,D
104.89106899999999,105.761817,G
105.761817,106.702225,D
106.702225,107.56136299999999,G
107.56136299999999,108.50177099999999,D
108.50177099999999,109.44218000000001,G
109.44218000000001,110.336148,D
110.336148,111.264946,G
111.264946,112.147304,D
112.147304,113.064493,G
113.064493,113.99329099999999,D
113.99329099999999,114.89886899999999,G
114.89886899999999,115.804447,D
115.804447,116.721635,E:min/b3
116.721635,117.638824,E:min
117.638824,119.50803,C
119.50803,121.35401599999999,B:7
121.35401599999999,123.176783,E:min
123.176783,124.98793899999998,C
124.98793899999998,126.833926,G
126.833926,128.679912,B
128.679912,130.572338,E:min
130.572338,132.360275,E:min
132.360275,134.229481,G
134.229481,136.052248,G:7
136.052248,137.909844,C
137.909844,139.77905,D
139.77905,141.60181699999998,G
141.60181699999998,143.424583,E:min
143.424583,145.3054,C
145.3054,147.174606,D
147.174606,148.091794,G
148.091794,149.055422,D
149.055422,149.97261,G
149.97261,150.924629,D
150.924629,151.830207,G
151.830207,152.793835,D
152.793835,153.711023,G
153.711023,154.636108,D
154.636108,155.53378999999998,G
155.53378999999998,156.474198,D
156.474198,157.379776,G
157.379776,158.343404,D
158.343404,159.283812,G
159.283812,160.21261,D
160.21261,164.101224,N
