begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,1.256247,N
1.256247,21.840737,E
21.840737,23.048174,F#
23.048174,24.290442000000002,B
24.290442000000002,25.47466,E
25.47466,26.682097,C#
26.682097,27.877925,F#
27.877925,29.073753000000004,B
29.073753000000004,29.372435999999997,E
29.372435999999997,31.546678000000004,D:maj/2
31.546678000000004,52.293707,E
52.293707,53.466315,F#
53.466315,54.720192000000004,B
54.720192000000004,55.939240000000005,E
55.939240000000005,57.158288,C#
57.158288,58.365725,F#
58.365725,59.584773,B
59.584773,59.893728,E
59.893728,62.022868,D:maj/2
62.022868,76.264935,E
76.264935,96.71348,E
96.71348,97.944138,F#
97.944138,99.163186,B
99.163186,100.393843,E
100.393843,101.578061,C#
101.578061,102.808719,F#
102.808719,103.969716,B
103.969716,104.277891,E
104.277891,106.454251,D:maj/2
106.454251,114.15805800000001,E
114.15805800000001,118.987755,N
