begin,end,chord
0.0,2.067942,A
2.067942,2.955306,D:sus4/5
2.955306,3.7337839999999995,D/5
3.7337839999999995,5.83458,A
5.83458,6.809817999999999,D:sus4/5
6.809817999999999,7.494807000000001,D/5
7.494807000000001,9.689092,A
9.689092,10.641111,D:sus4/5
10.641111,11.430589,D/5
11.430589,13.531995000000002,A
13.531995000000002,14.507233,D:sus4/5
14.507233,15.319931,D/5
15.319931,22.158208,A
22.158208,25.025873,B
25.025873,32.514308,E:maj(b9)
32.514308,34.453174,A
34.453174,35.393582,D:sus4/5
35.393582,36.078571000000004,D/5
36.078571000000004,42.905238,A
42.905238,45.738071999999995,B
45.738071999999995,53.238117,E:maj(b9)
53.238117,55.13054399999999,A
55.13054399999999,56.036122,D:sus4/5
56.036122,56.9417,D/5
56.9417,58.822517000000005,B:min
58.822517000000005,60.656893000000004,B:dim
60.656893000000004,62.572539,A
62.572539,64.453356,B
64.453356,66.392222,B:min
66.392222,68.214988,B:dim
68.214988,69.085736,A
69.085736,71.976621,A:sus4
71.976621,78.513038,A
78.513038,81.345873,B
81.345873,88.787868,E:maj(b9)
88.787868,90.69190400000001,A
90.69190400000001,91.574263,D:sus4/5
91.574263,92.52628100000001,D/5
92.52628100000001,94.383877,B:min
94.383877,96.299523,B:dim
96.299523,98.16873000000001,A
98.16873000000001,100.06115600000001,B
100.06115600000001,102.000022,B:min
102.000022,103.880839,B:dim
103.880839,104.65870699999999,A
104.65870699999999,107.619251,A:sus4
107.619251,114.17888799999999,A
114.17888799999999,117.00011299999998,B
117.00011299999998,124.50015800000001,E:maj(b9)
124.50015800000001,126.462244,A
126.462244,127.391043,D:sus4/5
127.391043,128.36628100000001,D/5
128.36628100000001,130.270317,A
130.270317,131.280385,D:sus4/5
131.280385,132.174353,D/5
132.174353,134.148049,A
134.148049,135.07684799999998,D:sus4/5
135.07684799999998,136.028866,D/5
136.028866,137.956122,A
137.956122,138.8617,D:sus4/5
138.8617,139.732448,D/5
139.732448,141.752585,A
141.752585,142.704603,D:sus4/5
142.704603,143.494081,D/5
143.494081,145.59548700000002,A
145.59548700000002,149.890612,N
