begin,end,chord
0.0,0.4021,N
0.4021,1.5272780000000001,D:min
1.5272780000000001,2.676666,D:min/2
2.676666,3.7447839999999997,D:min/b3
3.7447839999999997,4.44963,D:min/4
4.44963,4.789682,D:min/5
4.789682,7.007188,E:9
7.007188,9.317573,Bb:7
9.317573,13.531995000000002,A:aug
13.531995000000002,26.871859000000004,A:min
26.871859000000004,27.955512,A:min
27.955512,28.996484999999996,C
28.996484999999996,30.080896999999997,"D:min7(2,*b3,4)"
30.080896999999997,31.121111,F
31.121111,31.620340000000002,G
31.620340000000002,32.189229,G#:aug
32.189229,35.155014,A:min
35.155014,36.38043,A
36.38043,48.698615999999994,D:min
48.698615999999994,49.662244,D:min
49.662244,50.695532,F
50.695532,51.717209999999994,C
51.717209999999994,52.750498,Bb
52.750498,53.11040799999999,"D:(1,4)"
53.11040799999999,53.458707,"D#:(1,4)"
53.458707,53.818616000000006,"E:(1,4)"
53.818616000000006,65.707233,E:9
65.707233,78.037029,A:min
78.037029,79.047097,A:min
79.047097,80.068775,C
80.068775,81.090453,"D:min7(2,*b3,4)"
81.090453,82.135351,F
82.135351,82.58814,G
82.58814,83.087369,G#:aug
83.087369,85.991922,A:min
85.991922,87.185691,A
87.185691,99.44582700000001,D:min
99.44582700000001,100.47911500000001,D:min
100.47911500000001,101.47757299999999,F
101.47757299999999,102.522471,C
102.522471,103.567369,Bb
103.567369,103.880839,"D:(1,4)"
103.880839,104.182698,"D#:(1,4)"
104.182698,104.589047,"E:(1,4)"
104.589047,116.68664299999999,E:9
116.68664299999999,117.998571,D:min
117.998571,119.252448,D:min/2
119.252448,120.517936,D:min/b3
120.517936,121.368424,D:min/4
121.368424,121.806643,D:min/5
121.806643,124.30278899999999,E:9
124.30278899999999,126.74088400000001,Bb:7
126.74088400000001,129.237029,A:aug
129.237029,130.510118,D:min
130.510118,131.709954,D:min/2
131.709954,132.94061200000002,D:min/b3
132.94061200000002,133.77552,D:min/4
133.77552,134.171269,D:min/5
134.171269,136.620975,E:9
136.620975,139.0939,Bb:7
139.0939,144.219808,A:aug
144.219808,158.180702,A:min
158.180702,159.27204,A:min
159.27204,160.351768,C
160.351768,161.454716,"D:min7(2,*b3,4)"
161.454716,162.464784,F
162.464784,162.964013,G
162.964013,163.532902,G#:aug
163.532902,165.645918,A:min
165.645918,167.758934,A
167.758934,180.564739,D:min
180.564739,181.656077,D:min
181.656077,182.735804,F
182.735804,183.780702,C
183.780702,184.84882,Bb
184.84882,185.18551000000002,"D:(1,4)"
185.18551000000002,185.487369,"D#:(1,4)"
185.487369,185.870498,"E:(1,4)"
185.870498,198.216071,E:9
198.216071,199.489002,D:min
199.489002,200.800929,D:min/2
200.800929,202.031587,D:min/b3
202.031587,202.832675,D:min/4
202.832675,203.320294,D:min/5
203.320294,205.77,E:9
205.77,208.173265,Bb:7
208.173265,210.68102000000002,A:aug
210.68102000000002,211.969727,D:min
211.969727,213.15394500000002,D:min/2
213.15394500000002,214.43104300000002,D:min/b3
214.43104300000002,215.232131,D:min/4
215.232131,215.71975,D:min/5
215.71975,218.157845,E:9
218.157845,220.6656,Bb:7
220.6656,225.66950099999997,A:aug
225.66950099999997,238.034126,A:min
238.034126,239.067414,A:min
239.067414,240.089092,C
240.089092,241.11077000000003,"D:min7(2,*b3,4)"
241.11077000000003,242.15566800000002,F
242.15566800000002,242.65489700000003,G
242.65489700000003,243.16573599999998,G#:aug
243.16573599999998,247.206009,A:min
247.206009,259.535804,D:min
259.535804,260.545873,D:min
260.545873,261.60238,F
261.60238,262.682108,C
262.682108,263.680566,Bb
263.680566,264.028866,"D:(1,4)"
264.028866,264.330725,"D#:(1,4)"
264.330725,264.658282,"E:(1,4)"
264.658282,276.989344,E:9
276.989344,278.193038,D:min
278.193038,279.563015,D:min/2
279.563015,280.816893,D:min/b3
280.816893,282.05916,D:min/4
282.05916,283.745369,E:9
283.745369,284.124864,C:(1)
284.124864,284.520476,B:(1)
284.520476,286.970181,Bb:7
286.970181,289.454716,A:aug
289.454716,290.685374,D:min
290.685374,291.93925099999996,D:min/2
291.93925099999996,293.14668900000004,D:min/b3
293.14668900000004,294.02904700000005,D:min/4
294.02904700000005,294.481836,D:min/5
294.481836,296.13247,E:9
296.13247,296.521695,C:(1)
296.521695,296.908321,B:(1)
296.908321,299.41607700000003,Bb:7
299.41607700000003,301.923832,A:aug
301.923832,303.154489,D:min
303.154489,304.443197,D:min/2
304.443197,305.743514,D:min/b3
305.743514,306.579433,D:min/4
306.579433,307.009002,D:min/5
307.009002,308.67526000000004,E:9
308.67526000000004,309.07421600000004,C:(1)
309.07421600000004,309.505147,B:(1)
309.505147,311.96646200000004,Bb:7
311.96646200000004,314.474217,A:aug
314.474217,315.670045,D:min
315.670045,316.923922,D:min/2
316.923922,318.23585,D:min/b3
318.23585,319.025328,D:min/4
319.025328,319.431678,D:min/5
319.431678,321.08182200000005,E:9
321.08182200000005,321.480778,C:(1)
321.480778,321.881383,B:(1)
321.881383,324.389138,Bb:7
324.389138,326.89689300000003,A:aug
326.89689300000003,328.127551,D:min
328.127551,329.393038,D:min/2
329.393038,330.635306,D:min/b3
330.635306,331.436394,D:min/4
331.436394,331.924013,D:min/5
331.924013,333.595421,E:9
333.595421,333.984647,C:(1)
333.984647,334.373718,B:(1)
334.373718,336.904693,Bb:7
336.904693,339.458888,A:aug
339.458888,340.643106,D:min
340.643106,341.96664300000003,D:min/2
341.96664300000003,343.220521,D:min/b3
343.220521,344.033219,D:min/4
344.033219,344.48600899999997,D:min/5
344.48600899999997,346.157673,E:9
346.157673,346.546899,C:(1)
346.546899,346.970544,B:(1)
346.970544,349.501519,Bb:7
349.501519,352.090544,A:aug
352.090544,353.297981,D:min
353.297981,354.691179,D:min/2
354.691179,355.863786,D:min/b3
355.863786,356.68809500000003,D:min/4
356.68809500000003,357.082834,D:min/5
357.082834,358.69073399999996,E:9
358.69073399999996,359.109151,C:(1)
359.109151,359.497709,B:(1)
359.497709,362.005464,Bb:7
362.005464,364.54804900000005,A:aug
364.54804900000005,365.801927,D:min
365.801927,367.09063399999997,D:min/2
367.09063399999997,368.309682,D:min/b3
368.309682,369.13399,D:min/4
369.13399,369.56356,D:min/5
369.56356,371.25298599999996,E:9
371.25298599999996,371.63248,C:(1)
371.63248,372.059705,B:(1)
372.059705,374.53263,Bb:7
374.53263,377.168095,A:aug
377.168095,378.387142,D:min
378.387142,379.67585,D:min/2
379.67585,380.952947,D:min/b3
380.952947,381.754036,D:min/4
381.754036,382.241655,D:min/5
382.241655,383.951467,E:9
383.951467,384.379615,C:(1)
384.379615,384.79585,B:(1)
384.79585,387.29199500000004,Bb:7
387.29199500000004,389.78814,A:aug
389.78814,391.146507,D:min
391.146507,392.388775,D:min/2
392.388775,393.665873,D:min/b3
393.665873,394.53662099999997,D:min/4
394.53662099999997,395.01263,D:min/5
395.01263,396.62075600000003,E:9
396.62075600000003,397.068365,C:(1)
397.068365,397.439115,B:(1)
397.439115,399.92365,Bb:7
399.92365,402.501065,A:aug
402.501065,403.731723,D:min
403.731723,405.04365,D:min/2
405.04365,406.274308,D:min/b3
406.274308,407.135657,D:min/4
407.135657,407.516575,D:min/5
407.516575,409.270584,E:9
409.270584,409.66954,C:(1)
409.66954,410.05916,B:(1)
410.05916,412.636575,Bb:7
412.636575,415.20238,A:aug
415.20238,416.421428,D:min
416.421428,417.756575,D:min/2
417.756575,419.010453,D:min/b3
419.010453,419.89281100000005,D:min/4
419.89281100000005,420.3456,D:min/5
420.3456,422.08583200000004,E:9
422.08583200000004,422.50425,C:(1)
422.50425,422.911405,B:(1)
422.911405,425.44237999999996,Bb:7
425.44237999999996,428.01979500000004,A:aug
428.01979500000004,429.285283,D:min
429.285283,430.56237999999996,D:min/2
430.56237999999996,431.816258,D:min/b3
431.816258,432.59412599999996,D:min/4
432.59412599999996,433.03530599999993,D:min/5
433.03530599999993,434.784313,E:9
434.784313,435.20273099999997,C:(1)
435.20273099999997,435.624331,B:(1)
435.624331,438.201746,Bb:7
438.201746,440.697891,A:aug
440.697891,441.96337800000003,D:min
441.96337800000003,443.22886600000004,D:min/2
443.22886600000004,444.564013,D:min/b3
444.564013,445.365102,D:min/4
445.365102,445.81789100000003,D:min/5
445.81789100000003,447.45360199999993,E:9
447.45360199999993,447.920673,C:(1)
447.920673,448.360476,B:(1)
448.360476,450.856621,Bb:7
450.856621,453.445646,A:aug
453.445646,454.734353,D:min
454.734353,456.04628099999996,D:min/2
456.04628099999996,457.276938,D:min/b3
457.276938,458.147687,D:min/4
458.147687,458.623696,D:min/5
458.623696,460.327235,E:9
460.327235,460.71646,C:(1)
460.71646,461.13145099999997,B:(1)
461.13145099999997,463.650816,Bb:7
463.650816,464.089225,A
464.089225,467.173878,N
