begin,end,chord
0.0,0.497838,N
0.497838,0.7850520000000001,E:(1)
0.7850520000000001,2.250657,F
2.250657,3.446485,D:min
3.446485,4.619092,G:min7
4.619092,5.80331,C
5.80331,6.952698,F
6.952698,8.148525999999999,D:min
8.148525999999999,9.297913000000001,A:min
9.297913000000001,10.470521000000002,F:7
10.470521000000002,11.631519,Bb
11.631519,12.780907000000001,C
12.780907000000001,13.976734,D:min
13.976734,15.172562,F
15.172562,16.34517,Bb
16.34517,17.459726999999997,C
17.459726999999997,18.678775,F
18.678775,19.862993,D:min
19.862993,21.023989999999998,G:min7
21.023989999999998,22.173378,C:maj(4)
22.173378,23.357596,F
23.357596,24.495373999999998,D:min
24.495373999999998,25.679591000000002,G:min7
25.679591000000002,26.863809000000003,C
26.863809000000003,27.966757,F
27.966757,29.162584999999996,D:min
29.162584999999996,30.346802,A:min
30.346802,31.44975,F:7
31.44975,32.645578,Bb
32.645578,33.748526,C
33.748526,34.921133000000005,D:min
34.921133000000005,36.128571,F
36.128571,37.266349,Bb
37.266349,38.438956,C
38.438956,39.611564,F
39.611564,40.784172,F:7
40.784172,41.945170000000005,Bb
41.945170000000005,43.140997,A:min
43.140997,45.474603,D:min
45.474603,46.62399,G:min
46.62399,47.761768,C
47.761768,48.945986,F
48.945986,50.106984000000004,F:7
50.106984000000004,51.256371,Bb
51.256371,52.417369,A:min
52.417369,54.739365,D:min
54.739365,57.04975,G
57.04975,59.371745999999995,C
59.371745999999995,60.497913,F
60.497913,61.670520999999994,D:min
61.670520999999994,62.819908999999996,G:min7
62.819908999999996,63.969297,C
63.969297,65.141904,F
65.141904,66.291292,D:min
66.291292,67.45229,A:min
67.45229,68.613287,F:7
68.613287,69.739455,Bb
69.739455,70.923673,C
70.923673,71.492562,D:min
71.492562,72.10789100000001,Bb:min/b3
72.10789100000001,73.268888,F/5
73.268888,74.429886,Bb
74.429886,75.556054,C
75.556054,76.17138299999999,D:min
76.17138299999999,76.763492,Bb:min/b3
76.763492,77.92448900000001,F/5
77.92448900000001,79.062267,Bb
79.062267,80.21165500000001,C
80.21165500000001,80.815374,D:min
80.815374,81.442312,Bb:min/b3
81.442312,81.99959100000001,F/5
81.99959100000001,82.55686999999999,B:min7
82.55686999999999,83.71786800000001,G:min
83.71786800000001,84.86725600000001,C
84.86725600000001,89.534467,Db
89.534467,94.06235799999999,F
94.06235799999999,95.188526,Bb
95.188526,96.361133,A:min
96.361133,98.67151899999999,D:min
98.67151899999999,99.797687,G:min
99.797687,100.981904,C
100.981904,103.71516700000001,F
103.71516700000001,106.03102,N
