begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,1.148857,"F#:(1,4,b7)"
1.148857,4.997527,A
4.997527,7.053628,A:min
7.053628,8.899614,G
8.899614,10.87331,F
10.87331,12.742517,E
12.742517,16.538979,A
16.538979,18.477845000000002,A:min
18.477845000000002,20.347051999999998,G
20.347051999999998,22.251088,F
22.251088,24.143514,E
24.143514,27.974807000000002,A
27.974807000000002,31.771269,F#:min
31.771269,35.544512,B:min
35.544512,36.51975,E
36.51975,37.280398999999996,D
37.280398999999996,38.470226000000004,E
38.470226000000004,39.201655,D
39.201655,40.409092,E
40.409092,42.382789,A:min
42.382789,44.217165,G
44.217165,46.167640999999996,F
46.167640999999996,48.036848,E
48.036848,51.9378,A
51.9378,53.876666,A:min
53.876666,55.780702000000005,G
55.780702000000005,57.673129,F
57.673129,59.600384999999996,E
59.600384999999996,61.550861,A
61.550861,63.489727,A
63.489727,67.36746,B:min
67.36746,71.198752,C#:min
71.198752,73.137619,F#:min
73.137619,75.088095,B
75.088095,76.968911,D
76.968911,77.955759,E
77.955759,78.687188,D
78.687188,79.894625,E
79.894625,80.660884,D
80.660884,81.82188199999999,E
81.82188199999999,83.749138,A:min
83.749138,85.72283399999999,G
85.72283399999999,87.62687,F
87.62687,89.565736,E
89.565736,91.551043,A
91.551043,93.466689,A
93.466689,95.382335,A:min
95.382335,97.33281099999999,G
97.33281099999999,99.329727,F
99.329727,101.222154,E
101.222154,103.18424,A
103.18424,105.146326,A
105.146326,109.05888799999998,F#:min
109.05888799999998,112.948231,B:min
112.948231,113.911859,E
113.911859,114.64328700000002,D
114.64328700000002,115.827505,E
115.827505,116.640204,D
116.640204,117.81281100000001,E
117.81281100000001,119.774897,A:min
119.774897,121.71376399999998,G
121.71376399999998,123.68746000000002,F
123.68746000000002,125.57988600000002,E
125.57988600000002,131.268775,A
131.268775,135.21616699999998,A:min
135.21616699999998,139.0939,A
139.0939,140.43428600000001,N
