begin,end,chord
0.0,0.440395,N
0.440395,3.0249650000000003,G
3.0249650000000003,10.420521,G
10.420521,12.905056,D:7
12.905056,17.839297,C:7
17.839297,19.139614,G
19.139614,20.277392000000003,D
20.277392000000003,22.785147,G
22.785147,27.777437,G
27.777437,30.215532,G
30.215532,32.700068,D:7
32.700068,37.680748,C:7
37.680748,38.957845,G
38.957845,40.200113,D
40.200113,42.696258,G
42.696258,45.238843,B:min
45.238843,46.452104999999996,A
46.452104999999996,47.711768,A:7
47.711768,50.219522999999995,D
50.219522999999995,51.473401,E:min
51.473401,52.08873,A
52.08873,52.727278000000005,D
52.727278000000005,60.14605400000001,G
60.14605400000001,62.677029000000005,D:7
62.677029000000005,67.657709,C:7
67.657709,68.899977,G
68.899977,70.119024,D
70.119024,72.661609,G
72.661609,75.15775500000001,B:min
75.15775500000001,77.61907,A
77.61907,80.08038499999999,D
80.08038499999999,81.35748199999999,E:min
81.35748199999999,81.93798100000001,A
81.93798100000001,82.61135999999999,D
82.61135999999999,87.49916,G
87.49916,90.030136,G
90.030136,92.47984100000001,D:7
92.47984100000001,97.448911,C:7
97.448911,98.629345,G
98.629345,99.852176,D
99.852176,103.511986,G
103.511986,107.75510200000001,N
