begin,end,chord
0.0,0.44604099999999997,N
0.44604099999999997,1.32356,C
1.32356,2.252358,G
2.252358,3.1463259999999997,F
3.1463259999999997,4.075124,C
4.075124,5.805011,G
5.805011,7.534897,F:7
7.534897,9.334444,C
9.334444,11.064331,D
11.064331,11.946689,C
11.946689,12.852267,E:min/5
12.852267,13.723015,D
13.723015,14.593764000000002,G
14.593764000000002,15.522561999999999,C
15.522561999999999,16.39331,G
16.39331,17.298888,F
17.298888,18.204467,C
18.204467,20.027233,G
20.027233,21.78034,F:7
21.78034,23.591496,C
23.591496,25.356213,D
25.356213,26.203741,C
26.203741,27.144149,E:min/5
27.144149,28.049727,D
28.049727,28.908865999999996,G
28.908865999999996,30.731632,C
30.731632,32.566009,C:7
32.566009,34.365555,D:min
34.365555,36.199931,F:min
36.199931,37.987868,C
37.987868,39.740975,C:7
39.740975,41.552131,D:min
41.552131,43.351678,F:min
43.351678,45.139614,C
45.139614,46.962379999999996,D:min
46.962379999999996,48.773537,G
48.773537,50.538253000000005,F:7
50.538253000000005,52.36102,C
52.36102,54.102517000000006,D
54.102517000000006,55.019705,C
55.019705,55.913672999999996,E:min/5
55.913672999999996,56.830861,D
56.830861,57.748049,G
57.748049,58.676848,C
58.676848,59.570816,G
59.570816,60.464783999999995,F
60.464783999999995,61.381972,C
61.381972,63.181518999999994,G
63.181518999999994,64.95784499999999,F:7
64.95784499999999,66.74578199999999,C
66.74578199999999,68.498888,D
68.498888,69.427687,C
69.427687,70.321655,E:min/5
70.321655,71.215623,D
71.215623,72.097981,G
72.097981,73.932358,C
73.932358,75.743514,C:7
75.743514,77.566281,D:min
77.566281,79.38904699999999,F:min
79.38904699999999,81.188594,C
81.188594,82.95331,C:7
82.95331,84.776077,D:min
84.776077,86.598843,F:min
86.598843,88.41,C
88.41,90.244376,D:min
90.244376,92.032312,G
92.032312,93.843469,F:7
93.843469,95.666235,C
95.666235,97.419342,D
97.419342,98.3017,C
98.3017,99.218888,E:min/5
99.218888,100.089637,D
100.089637,100.995215,G
100.995215,101.924013,C
101.924013,102.82959100000001,G
102.82959100000001,103.72355999999999,F
103.72355999999999,106.53730900000001,C
106.53730900000001,111.046531,N
