begin,end,chord
0.0,0.38224600000000003,N
0.38224600000000003,2.1542169999999996,C#:min
2.1542169999999996,2.804376,F#:min
2.804376,3.826054,G#
3.826054,5.66043,C#:min
5.66043,6.298979,F#:min
6.298979,7.367097,G#
7.367097,9.189863,C#:min
9.189863,9.886462,F#:min
9.886462,10.9778,G#
10.9778,11.669116,A
11.669116,12.73091,B
12.73091,13.462335000000001,E:maj6
13.462335000000001,14.588503,B
14.588503,15.273492000000001,E
15.273492000000001,16.376439,G#:min
16.376439,17.061428,F#:min
17.061428,18.175985999999998,B
18.175985999999998,18.860975,E
18.860975,19.963922,G#:min
19.963922,20.614081,F#:min
20.614081,21.763469,B
21.763469,23.574625,A
23.574625,24.271224,E
24.271224,25.385782,C#:min
25.385782,26.08238,A
26.08238,27.196938,B:aug
27.196938,27.898069,E
27.898069,29.031315000000003,B
29.031315000000003,29.704693,E
29.704693,30.807640999999997,G#:min
30.807640999999997,31.504240000000003,F#:min
31.504240000000003,32.642018,B
32.642018,33.338615999999995,E
33.338615999999995,34.418344,G#:min
34.418344,35.114943,F#:min
35.114943,36.31077,B
36.31077,38.098707,A
38.098707,38.795306,E
38.795306,39.909863,C#:min
39.909863,40.652902000000005,A
40.652902000000005,41.744240000000005,B:aug
41.744240000000005,43.590226,E
43.590226,45.412993,C#:min
45.412993,46.109590999999995,F#:min
46.109590999999995,47.212539,G#
47.212539,49.012086,C#:min
49.012086,49.685464,F#:min
49.685464,50.823242,G#
50.823242,52.634399,C#:min
52.634399,53.319387,F#:min
53.319387,54.433944999999994,G#
54.433944999999994,55.327913,A
55.327913,56.245102,B
56.245102,56.91848,E:maj6
56.91848,58.067868000000004,B
58.067868000000004,58.718027,E
58.718027,59.867414000000004,G#:min
59.867414000000004,60.529182999999996,F#:min
60.529182999999996,61.678571,B
61.678571,62.35195,E
62.35195,63.478117000000005,G#:min
63.478117000000005,64.174716,F#:min
64.174716,65.289274,B
65.289274,67.10043,A
67.10043,67.773809,E
67.773809,68.94641700000001,C#:min
68.94641700000001,69.851995,A
69.851995,70.769183,B:aug
70.769183,72.52229,E
72.52229,74.345056,C#:min
74.345056,75.006825,F#:min
75.006825,76.202653,G#
76.202653,78.002199,C#:min
78.002199,78.698798,F#:min
78.698798,79.848185,G#
79.848185,81.64773199999999,C#:min
81.64773199999999,82.309501,F#:min
82.309501,83.47049799999999,G#
83.47049799999999,84.410907,A
84.410907,85.32809499999999,B
85.32809499999999,86.222063,E:maj6
86.222063,87.15086099999999,B
87.15086099999999,87.7778,E
87.7778,88.962018,G#:min
88.962018,89.623786,F#:min
89.623786,90.773174,B
90.773174,91.44655300000001,E
91.44655300000001,92.607551,G#:min
92.607551,93.246099,F#:min
93.246099,94.418707,B
94.418707,96.241473,A
96.241473,96.914852,E
96.914852,98.07585,C#:min
98.07585,98.760839,A
98.760839,99.887006,B:aug
99.887006,101.73299300000001,C#:min
101.73299300000001,102.441201,F#:min
102.441201,103.555759,G#
103.555759,104.310408,A
104.310408,105.401746,B
105.401746,107.27095200000001,C#:min
107.27095200000001,107.944331,F#:min
107.944331,109.082108,G#
109.082108,109.76709699999999,A
109.76709699999999,110.939705,B
110.939705,114.779927,E:maj6
114.779927,118.70040800000001,N
