begin,end,chord
0.0,0.172328,N
0.172328,1.515759,E
1.515759,3.3153059999999996,A
3.3153059999999996,5.130361,G#
5.130361,6.891178999999999,D
6.891178999999999,8.713944999999999,E
8.713944999999999,10.478662,A
10.478662,12.278208,F#:min
12.278208,14.066145,D
14.066145,15.849541,E
15.849541,17.574216,A
17.574216,19.29889,E:aug
19.29889,21.008910999999998,F#:min
21.008910999999998,24.538344,D:min
24.538344,26.256621000000003,A
26.256621000000003,28.090996999999998,G#
28.090996999999998,29.887082,D
29.887082,31.632040000000003,E
31.632040000000003,33.373537,A
33.373537,35.184692999999996,F#:min
35.184692999999996,36.868140000000004,D
36.868140000000004,38.644467,E
38.644467,40.385963000000004,A
40.385963000000004,42.02297,E:aug
42.02297,43.671587,F#:min
43.671587,47.01526,D:min
47.01526,53.714217000000005,A
53.714217000000005,60.239024,E
60.239024,63.507321,D
63.507321,67.077301,A
67.077301,68.818798,A
68.818798,70.525464,G#
70.525464,72.22052099999999,D
72.22052099999999,73.964525,E
73.964525,75.66736800000001,A
75.66736800000001,77.34838,F#:min
77.34838,79.02396800000001,D
79.02396800000001,80.777074,E
80.777074,82.460521,A
82.460521,84.155578,E:aug
84.155578,85.780975,F#:min
85.780975,87.499946,D:min7
87.499946,89.171088,D:min
89.171088,95.695895,A
95.695895,102.174263,E
102.174263,105.42505600000001,D
105.42505600000001,107.017149,A
107.017149,108.62941000000001,N
108.62941000000001,111.79820900000001,D
111.79820900000001,115.00328700000001,A
115.00328700000001,118.13798100000001,D
118.13798100000001,122.81277800000001,A
122.81277800000001,123.324082,N
