begin,end,chord
0.0,0.440395,N
0.440395,1.148857,D
1.148857,2.833846,A:min7
2.833846,5.008935,D
5.008935,6.9314350000000005,A:min7
6.9314350000000005,8.769606,D
8.769606,10.090791000000001,A:min
10.090791000000001,10.779093,F
10.779093,11.498911999999999,D
11.498911999999999,12.799228999999999,G
12.799228999999999,14.076327,D
14.076327,15.388254000000002,F
15.388254000000002,16.735012,G
16.735012,18.058549,G
18.058549,19.382087,D
19.382087,20.694014000000003,F
20.694014000000003,22.040771,G
22.040771,23.364309,G
23.364309,24.653016,D
24.653016,25.999774,F
25.999774,27.323311,G
27.323311,28.658458000000003,G
28.658458000000003,29.993606,D
29.993606,31.235872999999998,F
31.235872999999998,32.582631,G
32.582631,33.940998,A:min7
33.940998,35.276145,D
35.276145,36.611292999999996,A:min7
36.611292999999996,37.99288,D
37.99288,39.339638,G
39.339638,40.651565000000005,E:min
40.651565000000005,42.009932,A:min
42.009932,42.683310999999996,F
42.683310999999996,43.345079999999996,D
43.345079999999996,44.645396999999996,G
44.645396999999996,46.026984000000006,D
46.026984000000006,47.327302,F
47.327302,48.674059,G
48.674059,49.997597,G
49.997597,51.321134,D
51.321134,52.644672,F
52.644672,54.003039,G
54.003039,55.338186,G
55.338186,56.638504000000005,D
56.638504000000005,57.95043100000001,F
57.95043100000001,59.308799,G
59.308799,60.655556000000004,G
60.655556000000004,61.967482999999994,D
61.967482999999994,63.29102099999999,F
63.29102099999999,64.649388,G
64.649388,65.961316,A:min7
65.961316,67.284853,D
67.284853,68.62,A:min7
68.62,69.943538,D
69.943538,71.278685,G
71.278685,72.602223,E:min
72.602223,73.92576,A:min
73.92576,74.622359,F
74.622359,75.307347,D
75.307347,76.63088499999999,G
76.63088499999999,77.977642,D
77.977642,79.33600899999999,F
79.33600899999999,80.659547,G
80.659547,82.006304,G
82.006304,83.353062,D
83.353062,84.734649,F
84.734649,86.093016,G
86.093016,87.404944,A:min
87.404944,88.751701,D
88.751701,90.086848,A:min
90.086848,91.445216,D
91.445216,92.850023,G
92.850023,94.17356,E:min
94.17356,95.508708,A:min
95.508708,96.063565,F
96.063565,96.878685,D:7
96.878685,98.237053,G
98.237053,99.5722,D
99.5722,100.965397,F
100.965397,102.312155,G
102.312155,103.647302,G
103.647302,105.005669,D
105.005669,106.34081699999999,F
106.34081699999999,107.687574,G
107.687574,109.057551,G
109.057551,110.357869,D
110.357869,111.704626,F
111.704626,113.05138400000001,G
113.05138400000001,114.386531,G
114.386531,115.721678,D
115.721678,117.021996,F
117.021996,118.357143,G
118.357143,119.680681,A:min7
119.680681,121.004218,D
121.004218,122.31614499999999,A:min7
122.31614499999999,123.639683,D
123.639683,125.00966000000001,G
125.00966000000001,126.344808,E:min
126.344808,127.714785,A:min
127.714785,128.388164,F
128.388164,129.061542,D
129.061542,130.4083,G
130.4083,131.708617,D
131.708617,133.125034,F
133.125034,134.378912,G
134.378912,135.656009,G
135.656009,136.99115700000002,D
136.99115700000002,138.33791399999998,F
138.33791399999998,139.684672,G
139.684672,140.98498899999998,A:min
140.98498899999998,142.331746,D:maj6
142.331746,143.643674,A:min
143.643674,144.97882099999998,D:maj6
144.97882099999998,146.372019,G
146.372019,147.718776,E:min
147.718776,153.521633,N
