begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,1.922018,A
1.922018,3.338435,D/5
3.338435,4.824512,A
4.824512,6.206099,D/5
6.206099,7.703786,A
7.703786,9.224692999999998,D/5
9.224692999999998,10.687551,A
10.687551,12.162018,D/5
12.162018,13.590045000000002,A
13.590045000000002,15.064511999999999,D/5
15.064511999999999,16.527369,A
16.527369,17.943786,D/5
17.943786,19.441473000000002,A
19.441473000000002,20.904331,D/5
20.904331,22.367188,A
22.367188,23.876485,D/5
23.876485,25.350952,A
25.350952,26.813809000000003,D/5
26.813809000000003,28.265056,A
28.265056,29.658253000000002,D/5
29.658253000000002,32.607188,A:7
32.607188,33.327006,E
33.327006,34.058434999999996,G
34.058434999999996,35.532902,D
35.532902,37.030589,A
37.030589,38.447006,D
38.447006,39.921473,A
39.921473,41.314671000000004,D
41.314671000000004,42.847188,A
42.847188,44.298435,D/5
44.298435,45.703241999999996,A
45.703241999999996,47.235759,D/5
47.235759,48.628956,A
48.628956,50.080203999999995,D/5
50.080203999999995,51.543061,A
51.543061,52.959478000000004,D/5
52.959478000000004,54.445555000000006,A
54.445555000000006,55.850362,D/5
55.850362,57.25516999999999,A
57.25516999999999,58.75285699999999,D/5
58.75285699999999,60.180884,A
60.180884,61.585691000000004,D/5
61.585691000000004,63.00210799999999,A
63.00210799999999,64.383696,D/5
64.383696,67.2978,A:7
67.2978,67.994399,E
67.994399,68.725827,G
68.725827,70.211904,D
70.211904,71.628321,A
71.628321,73.067959,D
73.067959,74.495986,A
74.495986,75.93562299999999,D
75.93562299999999,78.849727,E
78.849727,81.740612,G
81.740612,82.46043,D
82.46043,83.180249,D/3
83.180249,83.91167800000001,G
83.91167800000001,84.619886,G#:dim7
84.619886,90.51775500000001,A
90.51775500000001,92.027052,A
92.027052,93.431859,D/5
93.431859,94.88310600000001,A
94.88310600000001,96.345963,D/5
96.345963,97.7856,A
97.7856,99.225238,D/5
99.225238,100.676485,A
100.676485,102.081292,D/5
102.081292,103.52092900000001,A
103.52092900000001,104.995396,D/5
104.995396,106.446643,A
106.446643,107.89789099999999,D/5
107.89789099999999,109.337528,A
109.337528,110.777165,D/5
110.777165,112.205192,A
112.205192,113.56356000000001,D/5
113.56356000000001,116.52410400000001,A:7
116.52410400000001,117.255532,E
117.255532,117.95213100000001,G
117.95213100000001,119.438208,D
119.438208,120.889455,A
120.889455,122.282653,D
122.282653,123.74551000000001,A
123.74551000000001,125.161927,D
125.161927,126.624784,A
126.624784,128.064421,D
128.064421,129.550498,A
129.550498,130.978526,D
130.978526,132.441383,A
132.441383,133.84618999999998,D
133.84618999999998,135.285827,A
135.285827,136.679024,D
136.679024,138.153492,A
138.153492,139.569909,D
139.569909,141.03276599999998,A
141.03276599999998,142.402743,D
142.402743,143.8656,A
143.8656,145.293628,D
145.293628,146.721655,A
146.721655,148.21934199999998,D
148.21934199999998,149.647369,A
149.647369,151.098616,D
151.098616,152.584693,A
152.584693,154.02433100000002,D
154.02433100000002,155.44074799999999,A:7
155.44074799999999,156.160566,A:dim7
156.160566,156.833945,B:hdim7/b7
156.833945,158.285192,A
158.285192,158.993401,B:hdim7/b7
158.993401,159.71321899999998,A:dim7
159.71321899999998,161.187687,A:7
161.187687,162.592494,D/5
162.592494,164.008911,A
164.008911,165.471768,D/5
165.471768,166.923015,A
166.923015,168.409092,D/5
168.409092,169.87195,A
169.87195,171.346417,D/5
171.346417,172.762834,A
172.762834,174.224114,D
174.224114,175.66532800000002,A
175.66532800000002,177.104965,D
177.104965,178.55621299999999,A
178.55621299999999,180.00746,D/5
180.00746,181.423877,A
181.423877,182.875124,D/5
182.875124,184.326371,A
184.326371,185.777619,D
185.777619,187.194036,A
187.194036,188.610453,D
188.610453,190.05008999999998,A
190.05008999999998,190.758299,A:dim7
190.758299,191.443287,B:hdim7/b7
191.443287,192.906145,A:7
192.906145,193.602743,A:dim7
193.602743,194.369002,B:hdim7/b7
194.369002,195.750589,A:7
195.750589,196.435578,B:hdim7/b7
196.435578,197.132176,A:dim7
197.132176,198.583424,A:7
198.583424,199.233582,A:dim7
199.233582,199.976621,B:hdim7/b7
199.976621,201.35820800000002,A:7
201.35820800000002,202.043197,B:hdim7/b7
202.043197,202.763015,A:dim7
202.763015,204.15621299999998,A:7
204.15621299999998,204.852811,A:dim7
204.852811,205.54941000000002,B:hdim7/b7
205.54941000000002,208.809171,A:7
208.809171,217.96571400000002,N
