begin,end,chord
0.0,0.440395,N
0.440395,1.4552180000000001,A
1.4552180000000001,5.57916,F#:min
5.57916,6.589229,D
6.589229,7.599297,G:maj6/5
7.599297,9.654263,D
9.654263,10.641111,E/5
10.641111,11.627958999999999,D/5
11.627958999999999,15.668231,A
15.668231,19.731723000000002,F#:min
19.731723000000002,21.798299,D
21.798299,22.761927,E
22.761927,23.783604999999998,A
23.783604999999998,27.765827,A
27.765827,31.759659000000003,F#:min
31.759659000000003,33.814625,D
33.814625,34.789863000000004,E
34.789863000000004,35.730272,A
35.730272,37.738797999999996,E
37.738797999999996,39.724104,D
39.724104,40.722561999999996,A
40.722561999999996,41.70941,D
41.70941,43.706326000000004,A
43.706326000000004,47.769818,A
47.769818,51.740429999999996,F#:min
51.740429999999996,53.783786,D
53.783786,54.685578,E
54.685578,55.711043000000004,A
55.711043000000004,57.707958999999995,E
57.707958999999995,59.704875,D
59.704875,60.656893000000004,A
60.656893000000004,61.655351,D
61.655351,63.617437,A
63.617437,67.622879,A
67.622879,71.593492,F#:min
71.593492,73.57879799999999,D
73.57879799999999,74.530816,E
74.530816,75.54088399999999,A
75.54088399999999,77.5378,E
77.5378,79.54632600000001,D
79.54632600000001,80.556394,A
80.556394,81.531632,D
81.531632,83.516938,A
83.516938,87.464331,A
87.464331,91.44655300000001,F#:min
91.44655300000001,93.466689,D
93.466689,94.48836700000001,E
94.48836700000001,95.451995,A
95.451995,97.425691,E
97.425691,99.44582700000001,D
99.44582700000001,100.421065,A
100.421065,101.44274300000001,D
101.44274300000001,103.381609,A
103.381609,105.343696,E
105.343696,107.363832,D
107.363832,108.36228999999999,A
108.36228999999999,109.34913799999998,D
109.34913799999998,111.29961399999999,A
111.29961399999999,113.27331000000001,E
113.27331000000001,115.247006,D
115.247006,116.280294,A
116.280294,118.236499,D
118.236499,119.275668,E
119.275668,123.17658300000001,A
123.17658300000001,127.19020400000001,N
