begin,end,chord
0.0,0.440395,N
0.440395,1.021603,N
1.021603,3.204279,Eb:min
3.204279,5.456615,D
5.456615,7.69734,Db
7.69734,9.914846,Bb:min
9.914846,12.178792,Eb:min
12.178792,14.477567,D
14.477567,16.671853,E:min7
16.671853,18.959018,A
18.959018,20.073576,D
20.073576,21.106864,E:min
21.106864,22.848360999999997,F#:min
22.848360999999997,23.3592,F:dim
23.3592,25.541875,E:min7
25.541875,27.724551,A
27.724551,28.873939,D
28.873939,29.907227000000002,E:min
29.907227000000002,31.567453999999998,F#:min
31.567453999999998,32.124733,F:dim
32.124733,34.307408,E:min7
34.307408,36.466864,A
36.466864,38.7192,D
38.7192,39.810538,G:min
39.810538,40.890265,A
40.890265,41.958383000000005,D
41.958383000000005,43.072941,E:min
43.072941,44.721558,F#:min
44.721558,45.290447,F:dim
45.290447,47.449903000000006,E:min7
47.449903000000006,49.609358,A
49.609358,50.770356,D
50.770356,51.826864,E:min
51.826864,53.440651,F#:min
53.440651,53.974709999999995,F:dim
53.974709999999995,56.215436,E:min7
56.215436,58.409721,A
58.409721,60.638837,D:9
60.638837,62.879563,D:9
62.879563,65.09706800000001,G
65.09706800000001,67.256524,G:min
67.256524,69.52046999999999,G:min
69.52046999999999,71.679925,D
71.679925,73.909041,A:7
73.909041,74.942329,D
74.942329,76.02205699999999,E:min
76.02205699999999,77.64745400000001,F#:min
77.64745400000001,78.21634300000001,F:dim
78.21634300000001,80.457068,E:min7
80.457068,82.651354,A
82.651354,83.765912,D
83.765912,84.89208,E:min
84.89208,86.52908599999999,F#:min
86.52908599999999,87.109585,F:dim
87.109585,89.269041,E:min7
89.269041,91.486547,A
91.486547,93.704052,D:9
93.704052,95.898338,D:9
95.898338,98.092624,G
98.092624,100.344959,G:min
100.344959,102.574075,G:min
102.574075,104.779971,D
104.779971,107.00908600000001,A:7
107.00908600000001,108.123644,D
108.123644,109.180152,E:min
109.180152,110.817159,F#:min
110.817159,111.397658,F:dim
111.397658,113.591943,E:min7
113.591943,115.844279,A
115.844279,116.99366699999999,D
116.99366699999999,118.06178500000001,E:min
118.06178500000001,119.768451,F#:min
119.768451,120.31411999999999,F:dim
120.31411999999999,122.554846,E:min7
122.554846,124.737522,A
124.737522,127.00146699999999,D
127.00146699999999,129.195753,G:min
129.195753,131.47130900000002,D
131.47130900000002,133.770084,G:min
133.770084,137.345815,D
137.345815,142.053878,N
