begin,end,chord
0.0,0.382952,N
0.382952,7.796666,A
7.796666,15.238662,A
15.238662,18.907414000000003,G:maj/9
18.907414000000003,30.018163,A
30.018163,33.686916,G:maj/9
33.686916,37.436938,A
37.436938,39.259705,E:min
39.259705,42.951678,F#
42.951678,44.855714,B:min
44.855714,46.724920000000004,E:min
46.724920000000004,48.617346000000005,F#
48.617346000000005,50.498163,B:min
50.498163,52.355759,E
52.355759,59.937073999999996,A
59.937073999999996,63.687096999999994,G:maj/9
63.687096999999994,67.43712,A
67.43712,74.960385,A
74.960385,78.698798,G:maj/9
78.698798,82.44882,A
82.44882,90.030136,A
90.030136,93.814988,G:maj/9
93.814988,97.611451,A
97.611451,99.515487,E:min
99.515487,103.31195,F#
103.31195,105.262426,B:min
105.262426,107.178072,E:min
107.178072,109.047278,F#
109.047278,110.962925,B:min
110.962925,112.90179099999999,E
112.90179099999999,120.57598600000001,A
120.57598600000001,124.38405800000001,G:maj/9
124.38405800000001,128.215351,A
128.215351,135.843106,A
135.843106,139.624381,A
139.624381,143.856327,N
