begin,end,chord
0.0,0.440395,N
0.440395,2.470042,A
2.470042,5.045102,E
5.045102,7.142059,A
7.142059,9.607823,E
9.607823,10.75721,A
10.75721,11.929818,E
11.929818,12.823786,F#:min
12.823786,14.275034,A:7
14.275034,15.436031,D
15.436031,16.585419,D:min
16.585419,18.895804000000002,A
18.895804000000002,20.068412,A
20.068412,21.241020000000002,E
21.241020000000002,22.076938000000002,F#:min
22.076938000000002,23.539795,A:7
23.539795,24.730593,D
24.730593,25.908231,D:min
25.908231,28.230226000000002,A
28.230226000000002,30.552221999999997,F#:min
30.552221999999997,32.885827,D
32.885827,35.172993,G
35.172993,37.483378,A
37.483378,39.816984000000005,F#:min
39.816984000000005,42.127369,B
42.127369,44.402925,D:min
44.402925,46.7017,A
46.7017,49.058526,A
49.058526,51.415351,E
51.415351,52.576349,A
52.576349,53.74895600000001,E
53.74895600000001,54.596484999999994,F#:min
54.596484999999994,56.059342,A:7
56.059342,57.23195,D
57.23195,58.439386999999996,D:min
58.439386999999996,60.842653000000006,A
60.842653000000006,61.980430000000005,A
61.980430000000005,63.164648,E
63.164648,63.98895600000001,F#:min
63.98895600000001,65.486643,A:7
65.486643,66.624421,D
66.624421,67.831859,D:min
67.831859,70.177074,A
70.177074,72.52229,F#:min
72.52229,74.78623499999999,D
74.78623499999999,77.096621,G
77.096621,79.383786,A
79.383786,81.763832,F#:min
81.763832,84.109047,B
84.109047,86.384603,D:min
86.384603,88.660158,A
88.660158,89.832766,A
89.832766,91.040204,E
91.040204,91.922562,F#:min
91.922562,93.362199,A:7
93.362199,94.534807,D
94.534807,95.707414,D:min
95.707414,98.02941,A
98.02941,99.167188,A
99.167188,100.339795,E
100.339795,101.198934,F#:min
101.198934,102.603741,A:7
102.603741,103.776349,D
103.776349,104.92573600000001,D:min
104.92573600000001,107.24773200000001,A
107.24773200000001,109.558117,F#:min
109.558117,111.833673,D
111.833673,114.144058,G
114.144058,116.431224,A
116.431224,118.776439,F#:min
118.776439,121.07521499999999,B
121.07521499999999,123.33916,D:min
123.33916,125.63793600000001,A
125.63793600000001,127.681292,A
127.681292,130.339977,E
130.339977,134.902698,D:min
134.902698,137.189863,A
137.189863,139.848548,E
139.848548,143.79856,A
143.79856,147.983673,N
