begin,end,chord
0.0,1.072266,N
1.072266,1.7732849999999998,F#
1.7732849999999998,5.216719,C#:min
5.216719,8.757762,E
8.757762,10.510869,C#:min
10.510869,11.404836999999999,A
11.404836999999999,12.263975,G:dim7
12.263975,14.017082,E
14.017082,15.770189000000002,E
15.770189000000002,17.488464999999998,E
17.488464999999998,19.253182000000002,C
19.253182000000002,21.041118,E
21.041118,22.829055,E
22.829055,24.616991,C
24.616991,26.370098,E
26.370098,28.158034000000004,E
28.158034000000004,31.687468,C#:min
31.687468,35.29817,E
35.29817,37.074496999999994,C#:min
37.074496999999994,37.980075,A
37.980075,38.839214,G:dim7
38.839214,42.415087,E
42.415087,44.203022999999995,E
44.203022999999995,45.96774,B:aug/3
45.96774,47.802116,B:min/b3
47.802116,49.601663,C#:7
49.601663,51.401209,A
51.401209,53.212366,B
53.212366,54.98869200000001,F#:min7
54.98869200000001,56.683749,B
56.683749,58.471685,E
58.471685,60.271232,C
60.271232,62.082388,E
62.082388,63.870325,E
63.870325,65.716311,C
65.716311,67.492638,E
67.492638,69.303794,E
69.303794,72.914497,C#:min
72.914497,76.51359000000001,E
76.51359000000001,78.30152700000001,C#:min
78.30152700000001,79.207105,A
79.207105,80.11268299999999,G:dim7
80.11268299999999,81.90061899999999,E
81.90061899999999,83.734996,E
83.734996,85.51132199999999,E
85.51132199999999,87.322479,B:aug/3
87.322479,89.180075,B:min/b3
89.180075,91.037672,C#:7
91.037672,92.802388,A
92.802388,94.625155,B
94.625155,96.424701,F#:min7
96.424701,98.13136800000001,B
98.13136800000001,99.930914,E
99.930914,101.718851,C
101.718851,103.530007,E
103.530007,105.34116399999999,E
105.34116399999999,107.17553999999998,C
107.17553999999998,108.97508700000002,E
108.97508700000002,110.797853,E
110.797853,114.420166,C#:min
114.420166,118.019259,E
118.019259,119.900075,C#:min
119.900075,120.948017,A
120.948017,122.996812,G:dim7
122.996812,124.07966699999999,E
124.07966699999999,124.79948600000002,G:7
124.79948600000002,125.751504,F#:7
125.751504,126.71513200000001,F:7
126.71513200000001,130.06228000000002,E:maj7
130.06228000000002,133.746939,N
