begin,end,chord
0.0,0.45954300000000003,N
0.45954300000000003,2.490907,C
2.490907,4.534263,A:min
4.534263,6.612448,C
6.612448,8.725464,A:min
8.725464,9.770361999999999,C
9.770361999999999,10.88492,E:min/5
10.88492,11.918208,Bb
11.918208,12.963106,F
12.963106,15.064511999999999,G
15.064511999999999,17.165917999999998,G:aug
17.165917999999998,18.280476,C
18.280476,19.325374,E:min/5
19.325374,20.416712,Bb
20.416712,21.496439000000002,F
21.496439000000002,23.563015,G
23.563015,25.687641,G:aug
25.687641,27.800657,F
27.800657,29.948503000000002,G
29.948503000000002,32.084739,C
32.084739,34.197755,A:min
34.197755,36.322379999999995,Bb
36.322379999999995,38.481836,G
38.481836,40.606462,C
40.606462,42.754308,A:min
42.754308,44.820884,Bb
44.820884,46.95712,G
46.95712,49.081746,F
49.081746,51.241201000000004,G
51.241201000000004,52.320929,C
52.320929,53.400656999999995,E:min/5
53.400656999999995,54.433944999999994,Bb
54.433944999999994,55.478843000000005,F
55.478843000000005,57.55702900000001,G
57.55702900000001,59.658435,G:aug
59.658435,60.738163,C
60.738163,61.806281000000006,E:min/5
61.806281000000006,62.874399,Bb
62.874399,63.919297,F
63.919297,66.032312,G
66.032312,68.156938,G:aug
68.156938,70.246734,F
70.246734,72.4178,G
72.4178,74.542426,C
74.542426,76.678662,A:min
76.678662,78.780068,Bb
78.780068,80.916303,G
80.916303,82.97126899999999,C
82.97126899999999,85.142335,A:min
85.142335,87.243741,Bb
87.243741,89.379977,G
89.379977,91.539433,F
91.539433,93.61761899999999,G
93.61761899999999,95.788684,F
95.788684,97.87848000000001,G
97.87848000000001,100.037936,C
100.037936,102.092902,A:min
102.092902,104.229138,C
104.229138,106.33054399999999,A:min
106.33054399999999,108.43195,C
108.43195,110.54496499999999,A:min
110.54496499999999,115.0197,C
115.0197,118.804898,N
