begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,2.247097,D
2.247097,4.046643,B:min7
4.046643,7.599297,F#:min
7.599297,9.329183,D
9.329183,11.047460000000001,B:min7
11.047460000000001,12.870225999999999,F#:min
12.870225999999999,14.600113,A
14.600113,16.469319,D
16.469319,18.187596,B:min7
18.187596,20.033582,A:min7
20.033582,21.740249,A:min9
21.740249,25.362562,B
25.362562,27.151313000000002,G:9
27.151313000000002,28.938435,G:min7
28.938435,30.714761,D
30.714761,32.506840999999994,B:min7
32.506840999999994,34.209365000000005,F#:min
34.209365000000005,36.043516,A
36.043516,37.808458,D
37.808458,39.608004,B:min7
39.608004,41.41916,A:min7
41.41916,43.207097,A:min9
43.207097,46.794579999999996,B
46.794579999999996,48.570907,G:9
48.570907,50.393673,G:min7
50.393673,52.158390000000004,D
52.158390000000004,53.888276,B:min7
53.888276,55.641383,F#:min
55.641383,57.464149,A
57.464149,59.27530600000001,D
59.27530600000001,61.040381000000004,D
61.040381000000004,64.534625,C#:min
64.534625,68.145328,D
68.145328,71.732811,B:min7
71.732811,73.527899,F#:min7
73.527899,75.273854,F#:min6
75.273854,77.026961,D/3
77.026961,78.756848,F#:min
78.756848,80.64491,D
80.64491,82.40238000000001,B:min7
82.40238000000001,84.290741,A:min7
84.290741,86.059078,A:min9
86.059078,89.57734599999999,B
89.57734599999999,91.37689300000001,G:7
91.37689300000001,93.09517,G:min7
93.09517,94.906326,D
94.906326,96.62460300000001,B:min7
96.62460300000001,98.400929,F#:min
98.400929,100.258526,A
100.258526,102.034852,D
102.034852,103.81117900000001,D
103.81117900000001,105.576282,D
105.576282,107.344619,B:min7
107.344619,110.89326499999999,F#:min
110.89326499999999,112.671462,D
112.671462,114.505293,B:min7
114.505293,116.315124,F#:min
116.315124,118.05662099999999,A
118.05662099999999,119.82133700000001,D
119.82133700000001,121.609274,B:min7
121.609274,123.40881999999999,A:min7
123.40881999999999,125.219977,A:min9
125.219977,128.826642,B
128.826642,130.572176,G:7
130.572176,132.348503,G:min7
132.348503,134.124829,D
134.124829,135.928892,B:min7
135.928892,137.747142,F#:min
137.747142,139.523469,A
139.523469,141.323015,D
141.323015,143.145782,B:min7
143.145782,144.945328,A:min7
144.945328,146.69843500000002,A:min9
146.69843500000002,150.297528,B
150.297528,152.085464,G:9
152.085464,153.88501100000002,G:min7
153.88501100000002,155.649727,D
155.649727,157.426054,B:min7
157.426054,159.20238,F#:min
159.20238,160.955487,D
160.955487,162.73181399999999,F#:min
162.73181399999999,164.48492,D
164.48492,166.182118,F#:min
166.182118,167.944693,A
167.944693,173.477357,D:maj7
173.477357,174.08,N
