begin,end,chord
0.0,0.439592,N
0.439592,1.108536,D
1.108536,2.8414189999999997,G:7
2.8414189999999997,4.606135,C:7
4.606135,6.599499000000001,G:7
6.599499000000001,6.812031,C
6.812031,7.102281,C#
7.102281,8.158789,D:7
8.158789,15.298925,G
15.298925,18.956067,C
18.956067,22.58999,G
22.58999,24.401147,D
24.401147,26.189083,C
26.189083,28.202,G
28.202,28.461467,C
28.461467,28.800769,C#
28.800769,29.788176,D
29.788176,37.079242,G
37.079242,40.713165000000004,C
40.713165000000004,44.370308,G
44.370308,46.169854,D
46.169854,47.981010999999995,C
47.981010999999995,50.094027000000004,G
50.094027000000004,50.268176000000004,C
50.268176000000004,50.593256,C#
50.593256,51.614934000000005,D:7
51.614934000000005,58.882779000000006,G
58.882779000000006,62.49348199999999,C
62.49348199999999,66.150625,G
66.150625,68.019832,D
68.019832,69.830988,C
69.830988,71.632681,G
71.632681,73.499741,D
73.499741,80.802417,G
80.802417,84.44795,C
84.44795,88.105092,G
88.105092,89.904639,D
89.904639,91.750625,C
91.750625,93.56756999999999,G
93.56756999999999,95.41937800000001,D:7
95.41937800000001,102.76849399999999,G
102.76849399999999,106.460467,C
106.460467,110.12921899999999,G
110.12921899999999,111.98681599999999,D
111.98681599999999,113.78636200000001,C
113.78636200000001,115.642172,G
115.642172,115.92159699999999,D
115.92159699999999,116.154798,C
116.154798,116.42182700000001,C#
116.42182700000001,117.35864199999999,D
117.35864199999999,124.723496,G
124.723496,128.426544,C
128.426544,132.106906,G
132.106906,133.918063,D
133.918063,135.729219,C
135.729219,137.57706100000001,G
137.57706100000001,137.868975,D
137.868975,138.088131,C
138.088131,138.364684,C#
138.364684,139.397972,D
139.397972,144.682448,G
144.682448,153.46938799999998,N
