begin,end,chord
0.0,0.175157,N
0.175157,1.8523580000000002,C
1.8523580000000002,3.454535,G
3.454535,4.720022,A:min
4.720022,5.126371,A:min/b7
5.126371,5.95068,F:maj7
5.95068,6.7749880000000005,F:maj6
6.7749880000000005,8.423605,C
8.423605,10.014172,G
10.014172,11.651178999999999,F
11.651178999999999,13.392675,C
13.392675,15.018072,C
15.018072,16.527369,G
16.527369,17.734807,A:min
17.734807,18.129545999999998,A:min/b7
18.129545999999998,18.919024,F:maj7
18.919024,19.662063,F:maj6
19.662063,21.26424,C
21.26424,22.796757,G
22.796757,24.398934,F
24.398934,26.035941,C
26.035941,27.591678,C
27.591678,29.217074,G
29.217074,30.424166999999997,A:min
30.424166999999997,30.812726,A:min/b7
30.812726,31.56229,F:maj7
31.56229,32.293718,F:maj6
32.293718,33.930725,C
33.930725,35.590952,G
35.590952,37.169909000000004,F
37.169909000000004,37.982607,C
37.982607,38.783696,C/7
38.783696,40.490362,A:min
40.490362,42.115759000000004,E:min/b3
42.115759000000004,43.752765999999994,F
43.752765999999994,45.424603000000005,C
45.424603000000005,47.084829,C
47.084829,48.721835999999996,G
48.721835999999996,50.312403,F
50.312403,52.007459999999995,C
52.007459999999995,53.632856999999994,C
53.632856999999994,55.223424,G
55.223424,56.444666000000005,A:min
56.444666000000005,56.820273,A:min/b7
56.820273,57.603469,F:maj7
57.603469,58.439386999999996,F:maj6
58.439386999999996,60.064783999999996,C
60.064783999999996,61.771451,G
61.771451,63.373628000000004,F
63.373628000000004,65.010634,C
65.010634,66.659251,C
66.659251,68.296258,G
68.296258,69.526151,A:min
69.526151,69.97970500000001,A:min/b7
69.97970500000001,70.850453,F:maj7
70.850453,71.628321,F:maj6/5
71.628321,73.334988,C
73.334988,75.030045,G
75.030045,76.74832099999999,F
76.74832099999999,78.385328,C
78.385328,80.208095,A:min
80.208095,81.891541,E:min/b3
81.891541,83.528548,F
83.528548,85.200385,C
85.200385,86.918662,C
86.918662,88.54405799999999,G
88.54405799999999,90.21589499999999,F
90.21589499999999,91.818072,C
91.818072,93.513129,A:min
93.513129,95.184965,E:min/b3
95.184965,96.83358199999999,F
96.83358199999999,98.540249,C
98.540249,100.200476,C
100.200476,101.849092,G
101.849092,103.52092900000001,F
103.52092900000001,105.19276599999999,C
105.19276599999999,106.93426299999999,F
106.93426299999999,108.664149,C
108.664149,109.476848,G
109.476848,110.382426,F
110.382426,112.158752,C
112.158752,113.96990900000002,F
113.96990900000002,115.688185,C
115.688185,116.489274,G
116.489274,117.360022,F
117.360022,119.14795900000001,C
119.14795900000001,120.831405,C
120.831405,122.58451200000002,G
122.58451200000002,123.89850200000001,A:min
123.89850200000001,124.291179,A:min/b7
124.291179,126.07911499999999,F
126.07911499999999,127.739342,C
127.739342,129.446009,G
129.446009,131.141065,F
131.141065,132.917392,C
132.917392,134.658888,C
134.658888,136.365555,G
136.365555,138.118662,A:min
138.118662,139.848548,F
139.848548,141.531995,C
141.531995,143.215442,G
143.215442,144.945328,F
144.945328,146.651995,C
146.651995,148.439931,A:min
148.439931,150.216258,E:min/b3
150.216258,151.980975,F
151.980975,153.792131,C
153.792131,155.54523799999998,C
155.54523799999998,157.33317399999999,G
157.33317399999999,159.086281,F
159.086281,160.874217,C
160.874217,162.650544,C
162.650544,164.38043000000002,G
164.38043000000002,165.720399,A:min
165.720399,166.13353700000002,A:min/b7
166.13353700000002,166.985094,F:maj7
166.985094,167.898253,F:maj6
167.898253,169.59331,C
169.59331,171.311587,G
171.311587,173.041473,F
173.041473,174.79458,C
174.79458,176.582517,C
176.582517,178.296758,G
178.296758,179.579002,A:min
179.579002,180.04228999999998,A:min/b7
180.04228999999998,180.913038,F:maj7
180.913038,181.725736,F:maj6
181.725736,183.46723300000002,C
183.46723300000002,185.22034,G
185.22034,186.961836,F
186.961836,188.645283,C
188.645283,190.36356,A:min
190.36356,192.151496,E:min/b3
192.151496,193.869773,F
193.869773,195.680929,C
195.680929,197.41081599999998,C
197.41081599999998,199.082653,G
199.082653,200.847369,F
200.847369,202.554036,C
202.554036,204.272312,A:min
204.272312,206.04863899999998,E:min/b3
206.04863899999998,207.79013600000002,F
207.79013600000002,209.531632,C
209.531632,211.273129,C
211.273129,213.014625,G
213.014625,214.74451200000001,F
214.74451200000001,216.497619,C
216.497619,218.181065,A:min
218.181065,219.969002,E:min/b3
219.969002,221.733718,F
221.733718,223.475215,C
223.475215,225.193492,C
225.193492,226.969818,G
226.969818,228.71131499999998,F
228.71131499999998,230.53408100000001,C
230.53408100000001,232.38006800000002,F
232.38006800000002,234.226054,C
234.226054,235.154852,G
235.154852,236.33907000000002,F
236.33907000000002,241.00728199999998,C
241.00728199999998,243.330612,N
