begin,end,chord
0.0,0.497838,N
0.497838,2.1062369999999997,E
2.1062369999999997,3.638524,A
3.638524,6.7267779999999995,E:9
6.7267779999999995,10.75544,E
10.75544,11.521699,A
11.521699,13.147096,E
13.147096,14.737663000000001,B
14.737663000000001,16.30501,A
16.30501,17.942016,F#:9
17.942016,19.532583,B
19.532583,23.526415,E
23.526415,24.304284,A
24.304284,25.860021,E
25.860021,27.485418,B
27.485418,29.064375,A
29.064375,29.888683,F#:9
29.888683,30.654940999999997,B
30.654940999999997,32.233897999999996,E
32.233897999999996,33.836075,E
33.836075,35.391812,B
35.391812,36.959159,E
36.959159,38.514896,E
38.514896,40.105463,F#
40.105463,41.73086,B
41.73086,45.713082,E
45.713082,46.490951,A
46.490951,48.081517,E
48.081517,49.672084000000005,B
49.672084000000005,51.262651,A
51.262651,52.086617,F#:9
52.086617,52.841607999999994,B
52.841607999999994,54.316075,E
54.316075,60.631903,E
60.631903,63.696937,A
63.696937,66.854851,E
66.854851,68.38736800000001,B
68.38736800000001,69.98954499999999,A
69.98954499999999,71.522062,F#
71.522062,73.089409,B
73.089409,74.66165,E
74.66165,76.282152,B
76.282152,79.558324,E
79.558324,81.08868299999999,F#
81.08868299999999,82.736828,B
82.736828,86.661472,E
86.661472,87.47417,A
87.47417,89.053127,E
89.053127,90.666914,B
90.666914,92.253191,A
92.253191,93.095686,F#
93.095686,93.842443,B
93.842443,94.570052,E
94.570052,95.412547,C#
95.412547,96.178451,F#
96.178451,96.901472,B
96.901472,97.734522,E
97.734522,98.503649,C#
98.503649,99.26633100000001,F#
99.26633100000001,100.094216,B
100.094216,100.836435,E
100.836435,101.684783,C#
101.684783,102.520701,F#
102.520701,103.26374,B
103.26374,104.417038,E
104.417038,108.016327,N
