begin,end,chord
0.0,0.41380500000000003,N
0.41380500000000003,1.946938,G:min
1.946938,3.560725,"G:(1,b3,4)/b3"
3.560725,5.139682,G:min
5.139682,6.869569,F
6.869569,10.073922,C
10.073922,11.699319000000001,Bb
11.699319000000001,13.394376000000001,A:min
13.394376000000001,14.566984,G:min
14.566984,15.124263000000001,C:9(*3)
15.124263000000001,16.749659,F
16.749659,18.409886,Bb
18.409886,20.058502999999998,F
20.058502999999998,21.811609,C
21.811609,23.506666,C/5
23.506666,25.255699,G:min
25.255699,26.989659000000003,G:min/5
26.989659000000003,28.603446,F
28.603446,30.194013,C
30.194013,31.919068,G:min
31.919068,33.723446,G:min/5
33.723446,35.395283,F
35.395283,38.843059999999994,C
38.843059999999994,42.02458,C:7
42.02458,43.731246999999996,Bb
43.731246999999996,45.345034000000005,A:min
45.345034000000005,47.07492,G:min(4)
47.07492,48.851247,F
48.851247,50.592743,Bb
50.592743,52.34585,F
52.34585,54.084559,C
54.084559,55.852063,C/5
55.852063,57.653456999999996,G:min
57.653456999999996,59.369886,G:min/5
59.369886,61.053332999999995,F
61.053332999999995,62.771609,C
62.771609,64.393417,G:min
64.393417,66.103673,G:min/5
66.103673,67.86839,F
67.86839,74.660226,C
74.660226,76.332063,Bb
76.332063,78.05034,F
78.05034,79.83827600000001,C
79.83827600000001,84.86539599999999,G:min
84.86539599999999,86.572063,Bb
86.572063,88.29034,F
88.29034,90.066666,C
90.066666,91.843648,G:min
91.843648,93.526439,Bb
93.526439,100.271836,C
100.271836,101.932063,Bb
101.932063,103.67356,A:min
103.67356,105.473106,G:min
105.473106,107.319092,F
107.319092,109.048979,Bb
109.048979,110.86013600000001,F
110.86013600000001,114.43600900000001,C
114.43600900000001,116.32173799999998,G:min
116.32173799999998,118.05832099999999,G:min/5
118.05832099999999,119.76498799999999,F
119.76498799999999,121.36716499999999,C
121.36716499999999,123.09999199999999,G:min
123.09999199999999,124.838548,G:min/5
124.838548,126.53360500000001,F
126.53360500000001,128.379591,C
128.379591,130.146313,G:min
130.146313,131.827755,G:min/5
131.827755,133.592471,F
133.592471,135.403628,C
135.403628,137.192634,G:min
137.192634,139.002721,G:min/5
139.002721,140.628117,F
140.628117,142.381224,C
142.381224,144.162365,G:min
144.162365,145.945487,G:min/5
145.945487,147.675374,F
147.675374,158.190121,C
158.190121,158.936878,C:(1)
158.936878,159.702782,"C:(1,5)"
159.702782,181.779978,C:sus4
181.779978,184.346122,N
