begin,end,chord
0.0,0.46595200000000003,N
0.46595200000000003,2.1032319999999998,G
2.1032319999999998,3.7054089999999995,C
3.7054089999999995,5.272755999999999,G
5.272755999999999,6.886543,C
6.886543,8.50033,G
8.50033,10.090897,C
10.090897,13.3533,G
13.3533,14.990307000000001,G
14.990307000000001,16.615704,C
16.615704,18.241101,G
18.241101,19.866497,C
19.866497,21.480284,G
21.480284,23.117291,C
23.117291,26.391305,C
26.391305,28.210155,C
28.210155,29.711758000000003,G
29.711758000000003,31.360375,C
31.360375,32.939332,G
32.939332,34.599559,C
34.599559,36.306225,G
36.306225,37.943232,C
37.943232,39.557019,G
39.557019,41.205636,C
41.205636,42.831033000000005,G
42.831033000000005,44.444819,C
44.444819,49.40228,C
49.40228,51.027677000000004,G
51.027677000000004,52.711123,C
52.711123,54.324909999999996,G
54.324909999999996,55.985137,G
55.985137,59.224320999999996,D
59.224320999999996,60.861327,C
60.861327,62.486724,G
62.486724,65.73751800000001,D
65.73751800000001,67.35130500000001,C
67.35130500000001,69.152241,G
69.152241,70.753028,G
70.753028,72.331985,C
72.331985,73.968992,G
73.968992,75.582779,C
75.582779,77.184956,G
77.184956,78.798742,C
78.798742,83.879075,C
83.879075,85.41642900000001,G
85.41642900000001,87.053436,C
87.053436,88.66722299999999,G
88.66722299999999,90.2694,G
90.2694,93.473754,D
93.473754,95.12236999999999,C
95.12236999999999,96.74776700000001,G
96.74776700000001,99.95212099999999,D
99.95212099999999,101.542688,C
101.542688,103.16808499999999,G
103.16808499999999,108.90513700000001,G
108.90513700000001,109.63484199999999,D
109.63484199999999,111.28345900000001,G
111.28345900000001,112.874026,C
112.874026,114.476203,G
114.476203,116.07838000000001,C
116.07838000000001,117.703776,G
117.703776,119.294343,C
119.294343,124.311508,G
124.311508,125.83076100000001,G
125.83076100000001,127.43293700000001,C
127.43293700000001,129.023504,G
129.023504,130.614071,C
130.614071,132.216248,G
132.216248,133.85325500000002,C
133.85325500000002,135.40899199999998,G
135.40899199999998,137.045999,C
137.045999,138.659785,G
138.659785,142.759184,N
