begin,end,chord
0.0,0.440395,N
0.440395,4.959231,N
4.959231,35.834761,C:min(*b3)
35.834761,58.265238000000004,C:min(*b3)
58.265238000000004,59.721399,Bb
59.721399,60.238385,C:min(*b3)
60.238385,61.608911,Bb
61.608911,62.14297,C:min(*b3)
62.14297,63.478117000000005,Bb
63.478117000000005,63.977346,C:min(*b3)
63.977346,65.370544,Bb
65.370544,88.277029,C:min(*b3)
88.277029,89.716666,Bb
89.716666,90.300134,C:min(*b3)
90.300134,91.609092,Bb
91.609092,92.143151,C:min(*b3)
92.143151,93.47829899999999,Bb
93.47829899999999,94.02396800000001,C:min(*b3)
94.02396800000001,95.370725,Bb
95.370725,114.90481499999999,C:min(*b3)
114.90481499999999,116.33834399999999,Bb
116.33834399999999,116.88401299999998,C:min(*b3)
116.88401299999998,118.25398999999999,Bb
118.25398999999999,118.799659,C:min(*b3)
118.799659,120.16963700000001,Bb
120.16963700000001,120.692086,C:min(*b3)
120.692086,122.00401299999999,Bb
122.00401299999999,144.717645,C:min(*b3)
144.717645,146.234036,Bb
146.234036,146.779705,C:min(*b3)
146.779705,148.103242,Bb
148.103242,148.614081,C:min(*b3)
148.614081,149.984058,Bb
149.984058,150.471678,C:min(*b3)
150.471678,151.899705,Bb
151.899705,176.59841799999998,C:min(*b3)
176.59841799999998,181.211429,N
