begin,end,chord
0.0,0.268067,N
0.268067,3.071405,B
3.071405,5.76492,A
5.76492,8.504875,E
8.504875,11.233219,B
11.233219,13.973173999999998,B
13.973173999999998,16.701519,A
16.701519,19.441473000000002,E
19.441473000000002,22.169818,B
22.169818,23.528185,E
23.528185,24.248004,D
24.248004,24.921383,A
24.921383,26.291359999999997,E
26.291359999999997,27.661337,B
27.661337,29.008095,C#:min
29.008095,30.424512,F#
30.424512,33.199296999999994,B
33.199296999999994,34.615714000000004,E
34.615714000000004,35.962471,A
35.962471,37.332448,D
37.332448,38.714036,G
38.714036,40.095622999999996,E
40.095622999999996,41.47721,B
41.47721,42.847188,E
42.847188,44.240384999999996,A
44.240384999999996,45.598752000000005,D
45.598752000000005,46.922290000000004,G
46.922290000000004,48.338707,E
48.338707,49.708684000000005,B
49.708684000000005,50.382063,E
50.382063,51.090272,C#:min
51.090272,51.76365,F#:min
51.76365,52.460249,B
52.460249,53.876666,E
53.876666,54.596484999999994,D
54.596484999999994,55.269863,A
55.269863,56.639841000000004,E
56.639841000000004,57.974988,B
57.974988,59.356575,C#:min
59.356575,60.714943000000005,F#
60.714943000000005,62.133998,B
62.133998,63.536167000000006,A/9
63.536167000000006,64.894535,E/5
64.894535,66.310952,B
66.310952,69.062517,A/9
69.062517,71.75603100000001,B
71.75603100000001,73.102789,E
73.102789,73.810997,D
73.810997,74.461156,A
74.461156,75.865963,E
75.865963,77.177891,B
77.177891,78.559478,C#:min
78.559478,79.94106500000001,F#
79.94106500000001,82.73907,B
82.73907,84.074217,E
84.074217,85.397755,A
85.397755,86.75612199999999,D
86.75612199999999,88.137709,G
88.137709,89.496077,E
89.496077,90.877664,B
90.877664,92.22442099999999,E
92.22442099999999,93.606009,A
93.606009,94.941156,D
94.941156,96.322743,G
96.322743,97.727551,E
97.727551,99.062698,B
99.062698,99.73607700000001,E
99.73607700000001,100.467505,C#:min
100.467505,101.140884,F#:min
101.140884,101.825873,B
101.825873,103.23068,E
103.23068,103.892448,D
103.892448,104.612267,A
104.612267,105.982244,E
105.982244,107.34061200000001,B
107.34061200000001,108.745419,C#:min
108.745419,110.068956,F#
110.068956,112.797301,B
112.797301,115.525646,A
115.525646,118.21916,E
118.21916,120.959115,B
120.959115,123.68746000000002,B
123.68746000000002,126.39258500000001,A
126.39258500000001,129.097709,E
129.097709,131.744784,B
131.744784,153.238332,"A:(1,2,4)"
153.238332,158.59866200000002,A:min7(*b3)
158.59866200000002,159.910589,D:min7(*b3)
159.910589,161.39521499999998,A:(1)
161.39521499999998,162.115918,N
