begin,end,chord
0.0,0.28721399999999997,N
0.28721399999999997,1.744648,A/5
1.744648,3.195895,A:7/b7
3.195895,4.7284120000000005,F#:min7
4.7284120000000005,6.144829,D:min/b3
6.144829,7.572857000000001,A
7.572857000000001,9.037672,A:7/b7
9.037672,10.463741,F#:min7
10.463741,11.856938000000001,F:aug
11.856938000000001,13.215306,A/5
13.215306,14.689773,A:7/b7
14.689773,16.106189999999998,F#:min7
16.106189999999998,18.788095000000002,F
18.788095000000002,20.204512,A
20.204512,21.562879000000002,A:7/b7
21.562879000000002,22.956077,F#:min7
22.956077,24.360884,F:aug
24.360884,25.684421,A
25.684421,27.077619,A:7/b7
27.077619,29.794353000000005,F#:min7
29.794353000000005,31.106281,D:min
31.106281,32.453038,D:min/b7
32.453038,35.111723,Bb
35.111723,37.712358,C:maj(9)
37.712358,40.289773,F:maj6
40.289773,42.820747999999995,Bb
42.820747999999995,45.282063,C:maj(9)
45.282063,47.720158000000005,G
47.720158000000005,50.506553000000004,D
50.506553000000004,51.85331,G
51.85331,53.176848,C
53.176848,55.719432999999995,D
55.719432999999995,57.05458,G
57.05458,58.331678000000004,C
58.331678000000004,60.804603,D
60.804603,62.093309999999995,G
62.093309999999995,63.382018,C
63.382018,65.901383,D
65.901383,68.46718800000001,D
68.46718800000001,69.860385,A
69.860385,71.14909200000001,A:7/b7
71.14909200000001,72.49585,F#:min7
72.49585,73.935487,F:aug
73.935487,75.270634,A/5
75.270634,76.570952,A:7/b7
76.570952,77.848049,F#:min7
77.848049,80.506734,F
80.506734,81.79544200000001,A
81.79544200000001,83.11897900000001,A:7/b7
83.11897900000001,84.500566,F#:min7
84.500566,85.75444399999999,F:aug
85.75444399999999,87.089591,A
87.089591,88.424739,A:7/b7
88.424739,91.025374,F#:min
91.025374,92.36052099999999,D:min
92.36052099999999,93.637619,D:min/b7
93.637619,96.19181400000001,Bb
96.19181400000001,98.676349,C:maj(9)
98.676349,101.102834,F:maj6
101.102834,103.506099,Bb
103.506099,105.932585,C:maj(9)
105.932585,108.34746000000001,G
108.34746000000001,111.064195,D
111.064195,112.341292,G
112.341292,113.68804899999999,C
113.68804899999999,116.23063400000001,D
116.23063400000001,117.530952,G
117.530952,118.808049,C
118.808049,121.36224399999999,D
121.36224399999999,122.616122,G
122.616122,123.88160900000001,C
123.88160900000001,126.400975,D
126.400975,128.93195,D
128.93195,130.371587,A
130.371587,131.660294,A:7/b7
131.660294,133.00705200000002,F#:min7
133.00705200000002,134.342199,F:aug
134.342199,135.72378600000002,A
135.72378600000002,137.07054399999998,A:7/b7
137.07054399999998,138.405691,F#:min
138.405691,140.936666,F
140.936666,142.283424,A/5
142.283424,143.548911,A:7/b7
143.548911,144.860839,F#:min7
144.860839,146.195986,F:aug
146.195986,147.507913,A/5
147.507913,148.819841,A:7/b7
148.819841,151.397256,F#:min
151.397256,153.951451,D:maj(*3)
153.951451,155.170498,G
155.170498,156.447596,C
156.447596,158.920521,D
158.920521,160.162789,G
160.162789,161.428276,C
161.428276,163.808321,D
163.808321,165.097029,G
165.097029,166.339297,C
166.339297,168.74256200000002,D
168.74256200000002,171.21548700000002,D
171.21548700000002,173.711632,A
173.711632,174.9539,G
174.9539,176.172947,C
176.172947,178.576213,D
178.576213,179.85331000000002,G
179.85331000000002,181.049138,C
181.049138,183.510453,D
183.510453,184.729501,G
184.729501,185.971768,C
185.971768,188.409863,D
188.409863,190.871179,D
190.871179,193.35571399999998,A
193.35571399999998,194.597981,G
194.597981,195.82863899999998,C
195.82863899999998,198.24351399999998,D
198.24351399999998,199.46256200000002,G
199.46256200000002,200.70482900000002,C
200.70482900000002,203.142925,D
203.142925,204.373582,G
204.373582,205.58102,C
205.58102,208.457143,N
