begin,end,chord
0.0,1.1105610000000001,N
1.1105610000000001,2.5849279999999997,D
2.5849279999999997,4.0209980000000005,A
4.0209980000000005,9.787233,E
9.787233,12.724557,E
12.724557,14.140975,G
14.140975,15.592222,A
15.592222,18.483106,E
18.483106,19.911133,G
19.911133,21.330439000000002,A
21.330439000000002,24.218435,E
24.218435,25.669682,G
25.669682,27.109319,A
27.109319,29.965374,E
29.965374,31.439840999999998,G
31.439840999999998,32.879478000000006,A
32.879478000000006,34.307505,D
34.307505,35.781971999999996,D/b7
35.781971999999996,37.291269,G/3
37.291269,38.719297,G:min(9)/b3
38.719297,40.182154,D/5
40.182154,41.645011,A
41.645011,44.443015,E
44.443015,45.824603,G
45.824603,47.229409999999994,A
47.229409999999994,50.050634,E
50.050634,51.443832,G
51.443832,52.88346899999999,A
52.88346899999999,55.716303,E
55.716303,57.21399,G
57.21399,58.618798,A
58.618798,61.416802000000004,E
61.416802000000004,62.902879000000006,G
62.902879000000006,64.31929699999999,A
64.31929699999999,65.81698399999999,D
65.81698399999999,67.279841,D/b7
67.279841,68.765918,G/3
68.765918,70.228775,G:min(9)/b3
70.228775,71.680022,D/5
71.680022,73.084829,A
73.084829,75.894444,B
75.894444,78.773718,F#:min7
78.773718,81.64138299999999,B
81.64138299999999,83.963378,F#:min7
83.963378,84.47421700000001,G#:(1)
84.47421700000001,85.809365,A
85.809365,87.272222,B
87.272222,91.324104,E
91.324104,93.1817,G
93.1817,95.016077,A
95.016077,98.60356,E
98.60356,100.449546,G
100.449546,102.22587299999999,A
102.22587299999999,105.790136,E
105.790136,107.612902,G
107.612902,109.389229,A
109.389229,113.104421,E
113.104421,114.892358,G
114.892358,116.738344,A
116.738344,118.70043000000001,D
118.70043000000001,120.697346,D/b7
120.697346,122.671043,G/3
122.671043,124.702789,Bb
124.702789,126.68809499999999,D/5
126.68809499999999,128.650181,A
128.650181,130.612267,D
130.612267,132.585963,D/b7
132.585963,134.49,G/3
134.49,136.394036,Bb
136.394036,138.344512,D/5
138.344512,140.26015800000002,A
140.26015800000002,147.970332,D
147.970332,166.420413,D:min
166.420413,171.833469,N
