begin,end,chord
0.0,0.344657,N
0.344657,2.9770060000000003,Eb
2.9770060000000003,3.615555,G:min/5
3.615555,4.265714,G:min
4.265714,4.915873,G:min/b7
4.915873,5.554421,C/3
5.554421,6.2394099999999995,C:7/3
6.2394099999999995,8.944535,F
8.944535,10.256461999999999,Bb
10.256461999999999,11.545169999999999,Ab:maj9
11.545169999999999,12.949977,Bb:7
12.949977,14.145804,Ab:maj7
14.145804,15.480951999999998,Bb:7
15.480951999999998,16.734829,Ab:maj7
16.734829,19.416733999999998,Bb:7
19.416733999999998,22.063809,Eb
22.063809,22.690748000000003,G:min/5
22.690748000000003,23.317687,G:min
23.317687,23.944625,G:min/b7
23.944625,24.606394,C/3
24.606394,25.268163,C:7/3
25.268163,27.938458,F
27.938458,29.296825,Bb
29.296825,30.608752000000003,Ab:maj9
30.608752000000003,31.932290000000002,Bb:7
31.932290000000002,33.197777,Ab:maj7
33.197777,34.509705,Bb:7
34.509705,35.728752,Ab:maj7
35.728752,38.387437,Bb:7
38.387437,41.080952,D:min7
41.080952,43.797686999999996,G:min7
43.797686999999996,49.231156,F:maj6
49.231156,50.577913,G:min/4
50.577913,51.924671000000004,C
51.924671000000004,53.283038,G:min/4
53.283038,53.968027,C
53.968027,54.641405000000006,A
54.641405000000006,57.38136,D:min
57.38136,60.051655000000004,G:min7
60.051655000000004,61.421631999999995,D:min
61.421631999999995,64.115147,G:9
64.115147,65.461904,D:min
65.461904,68.178639,G:9
68.178639,70.848934,C:7
70.848934,73.554058,Bb:maj7
73.554058,76.247573,D:min
76.247573,78.98573,G:min7
78.98573,80.334285,Eb
80.334285,83.09746,Eb
83.09746,83.782448,G:min/5
83.782448,84.455827,G:min
84.455827,85.140816,G:min/b7
85.140816,85.790975,C/3
85.790975,86.464353,C:7/3
86.464353,89.14625799999999,F
89.14625799999999,90.539455,Bb
90.539455,91.828163,Ab:maj9
91.828163,93.22136,Bb:7
93.22136,94.463628,Ab:maj7
94.463628,95.833605,Bb:7
95.833605,97.110702,Ab:maj7
97.110702,99.850657,Bb:7
99.850657,102.607222,D:min
102.607222,105.33056599999999,G:min7
105.33056599999999,110.881293,F:maj6
110.881293,112.23483600000002,G:min/4
112.23483600000002,113.57365,C
113.57365,114.98558200000001,G:min/4
114.98558200000001,115.662353,C
115.662353,116.31729299999999,A
116.31729299999999,119.06517,D:min
119.06517,121.79351399999999,G:min7
121.79351399999999,123.16349199999999,Eb
123.16349199999999,125.85700600000001,Eb
125.85700600000001,126.553605,G:min/5
126.553605,127.226984,G:min
127.226984,127.888752,G:min/b7
127.888752,128.527301,C/3
128.527301,129.24143700000002,C:7/3
129.24143700000002,131.952244,F
131.952244,133.299002,Bb
133.299002,134.634149,Ab:maj9
134.634149,135.93446699999998,Bb:7
135.93446699999998,137.24639399999998,Ab:maj7
137.24639399999998,138.569931,Bb:7
138.569931,139.823809,Ab:maj7
139.823809,142.54054399999998,Bb:7
142.54054399999998,147.857854,Eb
147.857854,148.741224,N
