begin,end,chord
0.0,0.382952,N
0.382952,1.329909,D
1.329909,2.270317,F#:min/5
2.270317,4.1395230000000005,B
4.1395230000000005,5.093265,E:min
5.093265,5.993201999999999,E:min/5
5.993201999999999,6.472388,E:min
6.472388,6.9314350000000005,E:min/b7
6.9314350000000005,7.37183,E:min/6
7.37183,7.831372999999999,E:min/5
7.831372999999999,8.749889999999999,A
8.749889999999999,9.693983,A/3
9.693983,10.560212,A/5
10.560212,11.500249,A
11.500249,12.39,D
12.39,12.866913,D/7
12.866913,13.311404999999999,D/6
13.311404999999999,14.239254,A
14.239254,14.716166000000001,A/2
14.716166000000001,15.163879999999999,A/3
15.163879999999999,16.074579999999997,D
16.074579999999997,16.956938,F#:min/5
16.956938,17.879363,B
17.879363,18.375742000000002,B/5
18.375742000000002,18.826145,B
18.826145,19.709151000000002,E:min
19.709151000000002,20.653244,E:min/5
20.653244,21.100958,E:min
21.100958,21.568138,E:min/b7
21.568138,22.045051,E:min/6
22.045051,22.502498000000003,E:min/5
22.502498000000003,23.368727,A
23.368727,24.283621,A/3
24.283621,25.237447,A/5
25.237447,25.675428,A/3
25.675428,26.15204,A/5
26.15204,27.057502000000003,D
27.057502000000003,27.514947999999997,D/7
27.514947999999997,27.974807000000002,D/6
27.974807000000002,29.820793,A/3
29.820793,33.477936,E:7
33.477936,35.729528,A
35.729528,36.196708,A/3
36.196708,36.624956,A/2
36.624956,37.077028999999996,A
37.077028999999996,37.997296999999996,D
37.997296999999996,38.902458,D/5
38.902458,40.294265,D
40.294265,40.734171999999994,D:maj(*1)/#1
40.734171999999994,41.627674,E:7
41.627674,42.562034000000004,E:7/5
42.562034000000004,44.344875,E:7
44.344875,45.277516999999996,A:7
45.277516999999996,46.153479,A:7/5
46.153479,47.993,A:7
47.993,48.872766,E:min
48.872766,49.778344,A
49.778344,51.613644,D
51.613644,52.587959,D
52.587959,53.540760999999996,F#/5
53.540760999999996,54.494587,B:min
54.494587,55.397573,D:7/5
55.397573,55.886393000000005,G
55.886393000000005,56.324374,G/2
56.324374,56.781820999999994,G/3
56.781820999999994,57.27839,G/#4
57.27839,59.031496,D
59.031496,59.960294,D
59.960294,60.87748199999999,F#:min/5
60.87748199999999,61.852669999999996,B
61.852669999999996,62.261452,B/5
62.261452,62.711859,B
62.711859,63.643526,E:min
63.643526,64.538954,E:min/5
64.538954,65.035333,E:min
65.035333,65.521979,E:min/b7
65.521979,65.940494,E:min/6
65.940494,66.407674,E:min/5
66.407674,67.273903,A
67.273903,68.149865,A/3
68.149865,69.084225,A/5
69.084225,69.512473,A/3
69.512473,70.002925,A/5
70.002925,70.923746,D
70.923746,71.361727,D/7
71.361727,71.79086099999999,D/6
71.79086099999999,73.181782,A
73.181782,73.636848,A/2
73.636848,74.542426,D
74.542426,75.47122399999999,F#:min/5
75.47122399999999,77.27077,B
77.27077,78.194233,E:min
78.194233,79.157791,E:min/5
79.157791,79.595772,E:min
79.595772,80.062952,E:min/b7
80.062952,80.530132,E:min/6
80.530132,80.997573,E:min/5
80.997573,81.93167199999999,A
81.93167199999999,82.84656600000001,A/3
82.84656600000001,83.76146,A/5
83.76146,84.218907,A/3
84.218907,84.677936,A/5
84.677936,85.571782,D
85.571782,86.01949599999999,D/7
86.01949599999999,86.512312,D/6
86.512312,88.33507900000001,A
88.33507900000001,91.992222,E:7
91.992222,94.224343,A
94.224343,94.652591,A/3
94.652591,95.080839,A/2
95.080839,95.533265,A
95.533265,96.433714,D
96.433714,97.368074,D/5
97.368074,98.69175,D
98.69175,99.19040799999999,D:maj(*1)/#1
99.19040799999999,100.064091,E:7
100.064091,100.978985,E:7/5
100.978985,102.743061,E:7
102.743061,103.636071,A:7
103.636071,104.531499,A:7/3
104.531499,105.417194,A:7/5
105.417194,106.365374,A:7/3
106.365374,107.266447,E:min
107.266447,108.17653,E:min/5
108.17653,109.95285700000001,A
109.95285700000001,110.87735900000001,D
110.87735900000001,111.753321,D/5
111.753321,113.13539499999999,D
113.13539499999999,113.57517,D:maj(*1)/#1
113.57517,114.498003,E:7
114.498003,115.40316399999999,E:7/5
115.40316399999999,117.17426299999998,E:7
117.17426299999998,118.13811299999999,A:7
118.13811299999999,118.99460900000001,A:7/5
118.99460900000001,120.843015,A:7
120.843015,121.760204,E:min
121.760204,122.654172,A
122.654172,124.51176799999999,D
124.51176799999999,125.44056599999999,D
125.44056599999999,126.36936499999999,F#/5
126.36936499999999,127.29816299999999,B:min
127.29816299999999,128.238571,D:7/5
128.238571,130.070665,G
130.070665,131.860884,G/5
131.860884,132.847732,D
132.847732,133.73009,F#:min/5
133.73009,134.635402,B
134.635402,135.102582,B/5
135.102582,135.55285700000002,B
135.55285700000002,136.504122,E:min
136.504122,137.39955,E:min/5
137.39955,137.837531,E:min
137.837531,138.27551200000002,E:min/b7
138.27551200000002,138.742692,E:min/6
138.742692,139.19839,E:min/5
139.19839,140.1053,A
140.1053,141.01046100000002,A/3
141.01046100000002,141.954554,A/5
141.954554,142.382802,A/3
142.382802,142.855532,A
142.855532,143.774609,D
143.774609,144.21258999999998,D/7
144.21258999999998,144.736349,D/6
144.736349,145.623862,A
145.623862,146.042378,A/3
146.042378,146.512675,A
146.512675,147.45308300000002,D
147.45308300000002,148.370272,F#:min/5
148.370272,150.193038,B
150.193038,151.07429399999998,E:min
151.07429399999998,152.01838700000002,E:min/5
152.01838700000002,152.44663500000001,E:min
152.44663500000001,152.913815,E:min/b7
152.913815,153.351796,E:min/6
153.351796,153.838571,E:min/5
153.838571,154.73387,A
154.73387,155.67796299999998,A/3
155.67796299999998,156.592857,A/5
156.592857,157.011372,A/3
157.011372,157.495714,A
157.495714,158.39344599999998,D
158.39344599999998,158.860626,D/7
158.860626,159.3417,D/6
159.3417,161.176077,A
161.176077,164.79838999999998,E:7
164.79838999999998,167.51318600000002,A
167.51318600000002,167.931702,A/b7
167.931702,168.385873,A/5
168.385873,169.284577,D
169.284577,170.218937,D/5
170.218937,171.59127800000002,D
171.59127800000002,172.043015,D:maj(*1)/#1
172.043015,175.560839,E:7
175.560839,176.457735,A:7
176.457735,177.37262900000002,A:7/5
177.37262900000002,179.13671200000002,A:7
179.13671200000002,180.039447,E:min
180.039447,180.99430800000002,E:min/5
180.99430800000002,182.782244,A
182.782244,183.62116,D
183.62116,184.574985,D/5
184.574985,185.857876,D
185.857876,186.32328700000002,D:maj(*1)/#1
186.32328700000002,187.193139,E:7
187.193139,188.0983,E:7/5
188.0983,189.817891,E:7
189.817891,193.39376399999998,A:7
193.39376399999998,194.287732,E:min
194.287732,195.19331,A
195.19331,197.050907,D
197.050907,197.944875,D
197.944875,198.86206299999998,F#/5
198.86206299999998,199.81408100000002,B:min
199.81408100000002,200.75448899999998,D:7/5
200.75448899999998,202.565646,G
202.565646,204.726259,D
204.726259,207.281633,N
