begin,end,chord
0.0,1.771088,E:maj6
1.771088,11.674399000000001,E
11.674399000000001,15.319931,B
15.319931,15.586960999999999,B
15.586960999999999,15.8656,C
15.8656,16.167460000000002,C#
16.167460000000002,20.033582,D
20.033582,20.335442,D
20.335442,20.625691,C#
20.625691,20.927551,C
20.927551,26.012721,B
26.012721,26.906689,E
26.906689,28.369546000000003,C
28.369546000000003,30.807640999999997,B
30.807640999999997,31.991859,E
31.991859,33.176077,C
33.176077,35.567732,B
35.567732,45.122743,E
45.122743,48.721835999999996,B
48.721835999999996,48.977256,B
48.977256,49.255895,C
49.255895,49.546145,C#
49.546145,53.354217000000006,D
53.354217000000006,53.656077,D
53.656077,53.946326,C#
53.946326,54.224965000000005,C
54.224965000000005,59.217256000000006,B
59.217256000000006,60.099614,E
60.099614,61.005192,C
61.005192,62.851179,B
62.851179,63.687096999999994,E
63.687096999999994,64.592675,C
64.592675,66.298776,B
