begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,1.415375,F:min/5
1.415375,2.374807,E:aug
2.374807,3.384875,F:min7
3.384875,4.371723,F:min6/5
4.371723,5.457069000000001,C#:maj7/3
5.457069000000001,5.916612000000001,Bb:min/5
5.916612000000001,6.438568,C#/3
6.438568,8.470044999999999,C
8.470044999999999,10.571451,F
10.571451,12.614807,Bb:min7
12.614807,14.681382999999999,Eb:maj6
14.681382999999999,16.736349,B:dim7
16.736349,17.769637,C
17.769637,18.802925,B:dim7
18.802925,20.869501,C
20.869501,22.996281,F
22.996281,24.991042999999998,Bb:min7
24.991042999999998,27.034399,Eb:maj6
27.034399,29.031315000000003,B:dim7
29.031315000000003,30.076213,C
30.076213,31.086281,B:dim7
31.086281,33.164467,C
33.164467,37.274399,F:min
37.274399,39.282925,Ab:7
39.282925,41.384331,Db
41.384331,43.358027,C
43.358027,45.378163,F:min
45.378163,46.388231,F:min/5
46.388231,47.375079,E:aug
47.375079,48.408367,F:min7
48.408367,49.406825,F:min6/5
49.406825,51.450181,C#:maj7/3
51.450181,53.563196999999995,C
53.563196999999995,55.513673,F
55.513673,57.591859,Bb:min7
57.591859,59.577165,Eb:maj6
59.577165,61.666961,B:dim7
61.666961,62.618979,C
62.618979,63.617437,B:dim7
63.617437,65.672403,C
65.672403,69.724285,F:min
69.724285,71.686371,Ab:7
71.686371,73.75294699999999,Db
73.75294699999999,75.749863,C
75.749863,77.793219,F:min
77.793219,78.803287,F:min/5
78.803287,79.801746,E:aug
79.801746,80.846643,F:min7
80.846643,81.833492,F:min6/5
81.833492,83.888458,C#:maj7/3
83.888458,85.908594,C
85.908594,87.90550999999999,F
87.90550999999999,89.94886600000001,Bb:min7
89.94886600000001,91.969002,Eb:maj6
91.969002,93.989138,B:dim7
93.989138,94.999206,C
94.999206,95.997664,B:dim7
95.997664,98.04101999999999,C
98.04101999999999,102.058072,F:min
102.058072,104.08981800000001,Ab:7
104.08981800000001,106.109954,Db
106.109954,108.18813999999999,C
108.18813999999999,110.208276,F:min
110.208276,111.228473,F:min/5
111.228473,112.216802,E:aug
112.216802,113.22686999999999,F:min7
113.22686999999999,114.190498,F:min6/5
114.190498,116.257074,C#:maj7/3
116.257074,118.37008999999999,C
118.37008999999999,120.413446,F
120.413446,122.596122,Bb:min7
122.596122,124.732358,Eb:maj6
124.732358,126.86859399999999,B:dim7
126.86859399999999,127.97154099999999,C
127.97154099999999,128.98160900000002,B:dim7
128.98160900000002,131.19911499999998,C
131.19911499999998,132.30206299999998,F:min/5
132.30206299999998,133.381791,E:aug
133.381791,134.507959,F:min7
134.507959,135.55285700000002,F:min6/5
135.55285700000002,137.700702,C#:maj7/3
137.700702,139.83693799999998,C
139.83693799999998,141.973174,F
141.973174,144.2139,Bb:min7
144.2139,146.431405,Eb:maj6
146.431405,148.614081,B:dim7
148.614081,149.728639,C
149.728639,150.808367,B:dim7
150.808367,153.025873,C
153.025873,155.17371799999998,F
155.17371799999998,157.368004,Bb:min7
157.368004,159.50423999999998,Eb:maj6
159.50423999999998,162.377143,N
