begin,end,chord
0.0,0.414179,N
0.414179,4.365655,F
4.365655,6.690592,G
6.690592,8.780606,C
8.780606,9.717289,A:min
9.717289,10.634761,G
10.634761,12.376258,C
12.376258,14.199024,F
14.199024,15.986960999999999,C
15.986960999999999,19.597664,F
19.597664,21.33916,G
21.33916,23.115486999999998,C
23.115486999999998,24.938253,A:min
24.938253,26.726190000000003,C
26.726190000000003,28.525736,F
28.525736,30.267233,C
30.267233,33.912766,F
33.912766,35.68953,G
35.68953,39.251474,C
39.251474,42.852447999999995,A:min
42.852447999999995,46.428321000000004,C
46.428321000000004,50.062244,A:min
50.062244,53.684557,G
53.684557,55.484104,C
55.484104,57.23721,F
57.23721,59.059977,C
59.059977,62.61263,F
62.61263,64.412176,G
64.412176,68.027392,C
68.027392,71.598752,A:min
71.598752,75.232675,C
75.232675,78.889818,A:min
78.889818,82.535351,G
82.535351,84.314205,C
84.314205,86.122834,F
86.122834,87.887551,C
87.887551,91.520928,F
91.520928,93.356062,G
93.356062,95.155396,C
95.155396,97.01299300000001,A:min
97.01299300000001,98.812539,C
98.812539,100.635306,A:min
100.635306,102.46968199999999,C
102.46968199999999,104.26922900000001,A:min
104.26922900000001,106.16165500000001,C
106.16165500000001,110.18449,N
