begin,end,chord
0.0,0.45954300000000003,N
0.45954300000000003,1.340333,E:min
1.340333,2.278566,A
2.278566,2.948732,E:min
2.948732,3.389127,A
3.389127,4.102040000000001,G
4.102040000000001,5.007619,E:min
5.007619,5.878367,A
5.878367,6.586575999999999,E:min
6.586575999999999,7.062585,A
7.062585,7.735963000000001,G
7.735963000000001,9.53551,B:7(#9)
9.53551,11.369886,A:7
11.369886,12.287074,E:min
12.287074,12.971571,A
12.971571,13.384179999999999,E:min
13.384179999999999,15.027029,B:7
15.027029,18.010793,E
18.010793,18.719002,A
18.719002,21.737596,E
21.737596,22.457415,E
22.457415,26.126167000000002,A:7
26.126167000000002,29.7717,E
29.7717,31.617687,B:7
31.617687,33.440453000000005,A:7
33.440453000000005,35.28644,E:7
35.28644,35.553469,E:7
35.553469,37.132426,B:7
37.132426,40.1278,E
40.1278,40.859229,A
40.859229,44.562810999999996,E
44.562810999999996,48.266394,A:7
48.266394,52.016417,E
52.016417,53.885622999999995,B:7
53.885622999999995,55.68516999999999,A:7
55.68516999999999,57.774966000000006,E:7
57.774966000000006,59.423581999999996,B:7
59.423581999999996,62.505413,E
62.505413,63.173605,A
63.173605,66.97006800000001,E
66.97006800000001,70.68526,A:7
70.68526,74.400453,E:7
74.400453,76.26966,B:7
76.26966,78.127256,A:7
78.127256,80.217052,E:7
80.217052,81.865669,B:7
81.865669,82.755976,E
82.755976,83.734875,A
83.734875,84.431474,E:min
84.431474,84.895873,A
84.895873,85.615691,G
85.615691,86.544489,E:min
86.544489,87.450068,A
87.450068,88.169886,E:min
88.169886,88.622675,A
88.622675,89.296054,G
89.296054,91.14204000000001,B:7(#9)
91.14204000000001,93.022857,A:7(#9)
93.022857,93.986485,E:min
93.986485,94.641413,A
94.641413,95.135873,E:min
95.135873,96.74965999999999,B:7
96.74965999999999,99.849523,E
99.849523,100.569342,A
100.569342,104.35419499999999,E
104.35419499999999,108.092607,A
108.092607,111.79619,E
111.79619,113.665396,B:7
113.665396,115.51138300000001,A:7
115.51138300000001,117.61278899999999,E:7
117.61278899999999,119.203356,B:7
119.203356,120.13211299999999,E
120.13211299999999,121.095782,A
121.095782,122.976598,E
122.976598,124.845805,E
124.845805,126.680181,E
126.680181,130.38376399999999,A
130.38376399999999,134.098957,E
134.098957,135.979773,B:7
135.979773,137.848979,A:7
137.848979,139.973605,E:7
139.973605,141.599002,B:7
141.599002,145.383855,E
145.383855,149.110657,E
149.110657,152.81423999999998,A
152.81423999999998,156.56426299999998,E
156.56426299999998,158.47990900000002,B:7
158.47990900000002,160.291065,A:7
160.291065,161.261181,E
161.261181,162.195102,A
162.195102,163.01941000000002,E/5
163.01941000000002,166.053618,E:7
166.053618,167.444898,N
