begin,end,chord
0.0,0.36380500000000005,N
0.36380500000000005,2.16368,B:min
2.16368,4.001851,D/5
4.001851,5.935759,G#:hdim7
5.935759,8.424949,E:9
8.424949,9.828412,D
9.828412,11.279658999999999,D:sus4
11.279658999999999,12.707687,D:maj(9)
12.707687,19.708503,D
19.708503,21.15975,D
21.15975,24.062244,G/5
24.062244,25.501882000000002,D
25.501882000000002,26.895079,B:min
26.895079,28.381156,D/5
28.381156,29.785963,G#:hdim7
29.785963,31.237209999999997,E:9
31.237209999999997,31.898978999999997,A
31.898978999999997,32.630408,D/5
32.630408,33.338615999999995,A
33.338615999999995,34.035215,D/5
34.035215,34.743424,A
34.743424,35.463242,D/5
35.463242,36.206281,A
36.206281,36.914489,D/5
36.914489,38.330907,D
38.330907,39.758934,F/6
39.758934,41.117301,G/5
41.117301,42.580158000000004,D
42.580158000000004,43.938526,D
43.938526,45.378163,F/6
45.378163,46.74814,G/5
46.74814,48.141337,D
48.141337,49.615804,D
49.615804,52.437029,G/5
52.437029,53.818616000000006,D
53.818616000000006,55.246643000000006,B:min
55.246643000000006,56.639841000000004,D/5
56.639841000000004,58.05625799999999,G#:hdim7
58.05625799999999,59.472675,E:9
59.472675,60.180884,A
60.180884,60.900702,D/5
60.900702,61.608911,A
61.608911,62.317119999999996,D/5
62.317119999999996,63.071768000000006,A
63.071768000000006,63.733537,D/5
63.733537,64.395306,A
64.395306,65.173174,D/5
65.173174,66.612811,D
66.612811,68.00600899999999,F/6
68.00600899999999,69.34115600000001,G/5
69.34115600000001,70.804013,D
70.804013,72.32491999999999,D
72.32491999999999,73.64845799999999,D:sus4(2)
73.64845799999999,75.030045,G/5
75.030045,76.46968199999999,D
76.46968199999999,77.886099,D
77.886099,79.279297,D:sus4(2)
79.279297,80.695714,G/5
80.695714,82.100521,D
82.100521,83.505328,D:maj7
83.505328,86.291723,D:7
86.291723,87.68491999999999,G/5
87.68491999999999,89.043287,G:min/5
89.043287,91.934172,D
91.934172,93.397029,D
93.397029,96.218253,G/5
96.218253,97.70433100000001,D
97.70433100000001,99.143968,B:min
99.143968,100.583605,D/5
100.583605,101.94197199999999,G#:hdim7
101.94197199999999,103.381609,E:9
103.381609,104.124648,A
104.124648,104.798027,D/5
104.798027,105.517845,A
105.517845,106.17961399999999,D/5
106.17961399999999,106.899433,A
106.899433,107.57281100000002,D/5
107.57281100000002,108.31585,A
108.31585,108.97761899999999,D/5
108.97761899999999,110.40564599999999,D
110.40564599999999,111.787233,F/6
111.787233,113.18043,G/5
113.18043,114.63167800000001,D
114.63167800000001,116.03648500000001,D
116.03648500000001,117.46451200000001,D:sus4(2)
117.46451200000001,118.88092900000001,G/5
118.88092900000001,120.28573600000001,D
120.28573600000001,121.70215400000001,D
121.70215400000001,123.060521,D:sus4(2)
123.060521,124.52337800000001,G/5
124.52337800000001,125.92818500000001,D
125.92818500000001,127.32138300000001,D:maj7
127.32138300000001,130.142607,D:7
130.142607,131.570634,G/5
131.570634,132.963832,G:min/5
132.963832,135.796666,D
135.796666,137.201473,D
137.201473,140.045918,G/5
140.045918,141.508775,D
141.508775,142.92519199999998,B:min
142.92519199999998,144.28356000000002,D/5
144.28356000000002,145.699977,G#:hdim7
145.699977,147.104784,E:9
147.104784,147.824603,A
147.824603,148.55603100000002,D/5
148.55603100000002,149.26424,A
149.26424,149.949229,D/5
149.949229,150.669047,A
150.669047,151.365646,D/5
151.365646,152.108684,A
152.108684,152.782063,D/5
152.782063,154.2217,D
154.2217,155.58006799999998,F/6
155.58006799999998,156.973265,G/5
156.973265,158.389682,D
158.389682,159.806099,D
159.806099,161.24573600000002,F/6
161.24573600000002,162.627324,G/5
162.627324,166.718251,D:7
166.718251,168.045714,N
