begin,end,chord
0.0,0.440395,N
0.440395,5.665302,F#
5.665302,6.569283,F#
6.569283,7.498081,F#:sus4
7.498081,8.355316,F#
8.355316,9.332457000000002,F#:sus4
9.332457000000002,10.296085,F#
10.296085,11.201664,F#:sus4
11.201664,12.130462,F#
12.130462,13.08248,F#:sus4
13.08248,14.011277999999999,F#
14.011277999999999,14.928466,F#:sus4
14.928466,15.880484,F#
15.880484,16.820892999999998,F#
16.820892999999998,20.547695,B
20.547695,21.522933,F#
21.522933,22.451732,F#:sus4
22.451732,23.3457,F#
23.3457,24.309328,F#:sus4
24.309328,31.832593,D#:min
31.832593,35.594226,B
35.594226,36.557854,F#
36.557854,37.486652,F#:sus4
37.486652,39.425518,F#
39.425518,43.163931,B
43.163931,45.021528,F#
45.021528,46.925564,D#:7
46.925564,48.80638,G#
48.80638,50.814906,C#:7
50.814906,51.790144,F#
51.790144,52.730552,F#:sus4
52.730552,53.682570999999996,F#
53.682570999999996,54.599759,F#:sus4
54.599759,55.586606999999994,F#
55.586606999999994,56.503795,F#:sus4
56.503795,57.502253,F#
57.502253,58.419441000000006,F#:sus4
58.419441000000006,59.38306899999999,F#
59.38306899999999,60.358307999999994,F#:sus4
60.358307999999994,61.298716000000006,F#
61.298716000000006,62.250733999999994,F#:sus4
62.250733999999994,63.179531999999995,F#
63.179531999999995,64.17799000000001,F#:sus4
64.17799000000001,65.106788,F#
65.106788,66.07041600000001,F#:sus4
66.07041600000001,67.022435,F#
67.022435,67.974453,F#:sus4
67.974453,69.948149,F#
69.948149,73.74461099999999,B
73.74461099999999,75.648648,F#
75.648648,77.587514,D#:7
77.587514,79.46833000000001,G#
79.46833000000001,81.47685600000001,C#:7
81.47685600000001,82.440484,F#
82.440484,83.380893,F#:sus4
83.380893,84.332911,F#
84.332911,85.284929,F#:sus4
85.284929,100.552049,F#
100.552049,102.46769499999999,B
102.46769499999999,104.336902,B
104.336902,106.24093799999999,F#
106.24093799999999,108.09853400000001,D#:7
108.09853400000001,110.037401,G#
110.037401,112.03431699999999,C#:7
112.03431699999999,112.974725,F#
112.974725,113.938353,F#:sus4
113.938353,114.901981,F#
114.901981,115.830779,F#:sus4
115.830779,116.782797,F#
116.782797,117.723206,F#:sus4
117.723206,118.675224,F#
118.675224,119.638852,F#:sus4
119.638852,120.56765,F#
120.56765,121.519668,F#:sus4
121.519668,122.460076,F#
122.460076,123.43531399999999,F#:sus4
123.43531399999999,124.39894299999999,F#
124.39894299999999,125.385791,F#:sus4
125.385791,126.30297900000001,F#
126.30297900000001,127.254997,F#:sus4
127.254997,128.218625,F#
128.218625,129.147423,F#:sus4
129.147423,131.086289,F#
131.086289,134.801482,B
134.801482,136.70551799999998,F#
136.70551799999998,138.609555,D#:7
138.609555,140.501981,G#
140.501981,142.52211699999998,C#:7
142.52211699999998,143.532185,F#
143.532185,144.449373,F#:sus4
144.449373,145.354952,F#
145.354952,146.35341,F#:sus4
146.35341,147.317038,F#
147.317038,148.269056,F#:sus4
148.269056,149.221074,F#
149.221074,150.18470200000002,F#:sus4
150.18470200000002,151.14833000000002,F#
151.14833000000002,152.158398,F#:sus4
152.158398,153.07558600000002,F#
153.07558600000002,157.204898,N
