begin,end,chord
0.0,1.1105610000000001,N
1.1105610000000001,2.359153,C
2.359153,4.231622,F
4.231622,6.213665,G
6.213665,10.033348,C:maj6
10.033348,11.995434,F
11.995434,13.911079999999998,G
13.911079999999998,17.520064,C:maj6
17.520064,19.4026,A:min
19.4026,21.295026,E:min
21.295026,23.129402,F:maj7
23.129402,25.300468,E:min
25.300468,27.250944,D:min
27.250944,29.166590000000003,G
29.166590000000003,33.032713,C:maj6
33.032713,34.936749,F
34.936749,36.852395,G
36.852395,40.706908,C:maj6
40.706908,42.680603999999995,F
42.680603999999995,44.556490999999994,G
44.556490999999994,48.172123,C:maj6
48.172123,50.029720000000005,A:min
50.029720000000005,51.956976,E:min
51.956976,53.814572,F:maj7
53.814572,55.915978,E:min
55.915978,57.843233999999995,F
57.843233999999995,59.782101000000004,G
59.782101000000004,63.706272999999996,C:maj6
63.706272999999996,65.62191899999999,C
65.62191899999999,67.514346,E
67.514346,71.36885799999999,A
71.36885799999999,73.261284,D:min
73.261284,75.188541,F
75.188541,78.985003,C
78.985003,80.900649,C
80.900649,82.793076,E
82.793076,86.624368,A
86.624368,88.551624,D:min
88.551624,90.444051,F
90.444051,94.298563,C
94.298563,96.260649,F
96.260649,98.18790600000001,G
98.18790600000001,102.065638,C:maj6
102.065638,103.99289399999999,F
103.99289399999999,105.943371,G
105.943371,109.577293,C:maj6
109.577293,111.4465,A:min
111.4465,113.327316,E:min
113.327316,115.231352,F:maj7
115.231352,117.34436799999999,E:min
117.34436799999999,119.341284,F
119.341284,121.21049099999999,G
121.21049099999999,124.84441399999999,C:maj6
124.84441399999999,126.73683999999999,A:min
126.73683999999999,128.629266,E:min
128.629266,130.428813,F:maj7
130.428813,133.363112,C:maj9
133.363112,137.848163,N
