begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,5.346961,E
5.346961,6.298979,D
6.298979,8.319115,E
8.319115,13.218526,E
13.218526,14.193764000000002,D
14.193764000000002,16.167460000000002,E
16.167460000000002,21.09009,E
21.09009,22.030498,D
22.030498,24.004195000000003,E
24.004195000000003,28.950045000000003,E
28.950045000000003,29.960113,D
29.960113,31.968639000000003,E
31.968639000000003,35.985690999999996,E:min
35.985690999999996,39.979523,A
39.979523,43.926916,E:min
43.926916,45.912222,F#:min
45.912222,47.885918,B
47.885918,52.959478000000004,E
52.959478000000004,53.992766,D
53.992766,55.966462,E
55.966462,61.040022,E
61.040022,62.00365,D
62.00365,64.093446,E
64.093446,69.167006,E
69.167006,70.130634,D
70.130634,72.16238,E
72.16238,77.27077,E
77.27077,78.26922900000001,D
78.26922900000001,80.32419499999999,E
80.32419499999999,84.445736,E:min
84.445736,88.474399,A
88.474399,92.52628100000001,E:min
92.52628100000001,94.534807,F#:min
94.534807,96.589773,B
96.589773,101.651723,E
101.651723,102.70823100000001,D
102.70823100000001,104.751587,E
104.751587,109.90641699999999,E
109.90641699999999,110.928095,D
110.928095,112.994671,E
112.994671,118.06823100000001,E
118.06823100000001,119.113129,D
119.113129,122.64045,E
122.64045,125.44,N
