begin,end,chord
0.0,0.45954300000000003,N
0.45954300000000003,2.307948,G
2.307948,4.135884,E:min
4.135884,6.034751,G
6.034751,7.834297,E:min
7.834297,9.738333,D
9.738333,11.60754,G
11.60754,13.534796,D
13.534796,15.380782,G
15.380782,17.261599,E:min
17.261599,19.188855,G
19.188855,21.046451,E:min
21.046451,22.973708,D
22.973708,24.831304,A:min
24.831304,26.75856,D
26.75856,28.639376000000002,A:min
28.639376000000002,30.531803000000004,B:min
30.531803000000004,32.412619,G
32.412619,34.339875,E:min
34.339875,36.267132000000004,A:min
36.267132000000004,38.124728000000005,F#:dim/b3
38.124728000000005,40.040374,B:min
40.040374,41.932801,D:7/5
41.932801,43.848447,E:min
43.848447,44.096949,E:min
44.096949,45.740873,N
45.740873,47.656519,A:min
47.656519,49.560556,B:min
49.560556,51.452982,G
51.452982,53.368628,E:min
53.368628,55.295883999999994,A:min
55.295883999999994,57.21153100000001,A:min
57.21153100000001,59.127177,B:min
59.127177,61.054432999999996,D:7/5
61.054432999999996,62.946858999999996,E:min
62.946858999999996,64.827676,N
64.827676,66.801372,G
66.801372,68.693798,E:min
68.693798,70.632664,G
70.632664,72.53670100000001,E:min
72.53670100000001,74.510397,D
74.510397,76.414433,G
76.414433,78.35329899999999,D
78.35329899999999,80.326996,G
80.326996,82.25425200000001,E:min
82.25425200000001,84.193118,G
84.193118,86.120374,E:min
86.120374,88.07085,D
88.07085,90.00971700000001,A:min
90.00971700000001,91.960193,D
91.960193,93.86422900000001,A:min
93.86422900000001,95.884365,B:min
95.884365,97.800011,G
97.800011,99.72726800000001,E:min
99.72726800000001,101.67774399999999,A:min
101.67774399999999,103.59339,A:min
103.59339,105.50903600000001,B:min
105.50903600000001,107.447903,D:7/5
107.447903,109.409989,E:min
109.409989,109.754107,E:min
109.754107,111.302415,N
111.302415,113.25289099999999,G
113.25289099999999,115.20336699999999,E:min
115.20336699999999,117.107404,G
117.107404,119.05788000000001,E:min
119.05788000000001,120.973526,G
120.973526,122.85434199999999,E:min
122.85434199999999,124.839649,G
124.839649,128.33959199999998,N
