begin,end,chord
0.0,0.440395,N
0.440395,2.537346,E
2.537346,4.511043,B
4.511043,6.507959,A
6.507959,8.504875,E
8.504875,10.664330999999999,A:maj6
10.664330999999999,12.672857,A:min
12.672857,16.655079,E
16.655079,18.628775,E
18.628775,20.660521,B
20.660521,22.610997,A
22.610997,24.573083,E
24.573083,26.57,A:maj6
26.57,28.520476000000002,A:min
28.520476000000002,32.444648,E
32.444648,34.383514,G#:min
34.383514,36.40365,A
36.40365,38.354126,G#:min
38.354126,40.351043,A
40.351043,42.371179,G#:min
42.371179,44.310045,A
44.310045,46.272131,A
46.272131,48.199387,B
48.199387,50.196303,E
50.196303,52.17,B
52.17,54.132086,A
54.132086,56.129002,E
56.129002,58.102698,A:maj6
58.102698,60.088004000000005,A:min
60.088004000000005,64.012176,E
64.012176,66.043922,E
66.043922,68.00600899999999,B
68.00600899999999,69.96809499999999,A
69.96809499999999,71.965011,E
71.965011,73.973537,A:maj6
73.973537,75.877573,A:min
75.877573,79.85979499999999,E
79.85979499999999,81.810272,G#:min
81.810272,83.783968,A
83.783968,85.757664,G#:min
85.757664,87.81263,A
87.81263,89.774716,G#:min
89.774716,91.771632,A
91.771632,93.780158,A
93.780158,95.68419499999999,B
95.68419499999999,97.657891,E
97.657891,99.65480699999999,B
99.65480699999999,101.593673,A
101.593673,103.59058900000001,E
103.59058900000001,105.552675,A:maj6
105.552675,107.561201,A:min
107.561201,111.520204,E
111.520204,113.44746,G#:min
113.44746,115.43276599999999,A
115.43276599999999,117.394852,G#:min
117.394852,119.426598,A
119.426598,121.40029399999999,G#:min
121.40029399999999,123.37398999999999,A
123.37398999999999,125.38251699999999,A
125.38251699999999,127.30977299999999,B
127.30977299999999,129.271859,E
129.271859,131.291995,B
131.291995,133.242471,A
133.242471,135.274217,E
135.274217,137.24791299999998,A:maj6
137.24791299999998,139.268049,A:min
139.268049,143.157392,E
143.157392,145.11947800000002,A:maj6
145.11947800000002,147.11639399999999,A:min
147.11639399999999,151.087006,E
151.087006,153.083922,A:maj6
153.083922,155.046009,A:min
155.046009,161.337772,E
161.337772,164.310204,N
