begin,end,chord
0.0,0.068255,N
0.068255,1.324154,F
1.324154,1.583525,A:min/5
1.583525,1.829649,A:dim/b5
1.829649,2.1313470000000003,D:(1)
2.1313470000000003,10.737551,Bb
10.737551,12.873786,Bb
12.873786,17.111428,F
17.111428,21.407120000000003,Bb
21.407120000000003,23.508526,Eb
23.508526,24.599863,Bb
24.599863,25.633151,F
25.633151,27.780996999999996,Bb
27.780996999999996,29.905623,Bb
29.905623,30.962131,F
30.962131,32.041859,G:min
32.041859,33.109977,Bb
33.109977,34.143265,F
34.143265,36.256281,Bb
36.256281,38.335045,Bb
38.335045,39.437414000000004,F
39.437414000000004,40.505532,G:min
40.505532,41.53882,Bb
41.53882,42.606938,F
42.606938,44.631763,Bb
44.631763,46.80975,Bb
46.80975,50.954512,F
50.954512,55.168934,Bb
55.168934,57.29356,Eb
57.29356,58.324936,Bb
58.324936,59.383356000000006,F
59.383356000000006,61.519591000000005,Bb
61.519591000000005,63.620996999999996,Bb
63.620996999999996,64.689115,F
64.689115,65.745623,G:min
65.745623,66.790521,Bb
66.790521,67.88185899999999,F
67.88185899999999,69.971655,Bb
69.971655,72.061451,Bb
72.061451,73.14117900000001,F
73.14117900000001,74.197687,G:min
74.197687,75.254195,Bb
75.254195,76.299092,F
76.299092,78.42371800000001,Bb
78.42371800000001,82.58009,Eb
82.58009,83.648208,Bb
83.648208,84.681496,Bb:sus4(9)
84.681496,85.74961400000001,Bb
85.74961400000001,86.794512,Bb:sus2(b7)
86.794512,91.032154,Eb
91.032154,93.13356,Bb/5
93.13356,95.234965,F
95.234965,97.347981,Bb
97.347981,101.597233,F
101.597233,105.82326499999999,Bb
105.82326499999999,107.93628100000001,Eb
107.93628100000001,109.00439899999999,Bb
109.00439899999999,110.060907,F
110.060907,112.197142,Bb
112.197142,114.32176799999999,Bb
114.32176799999999,115.362196,F
115.362196,116.43478400000001,G:min
116.43478400000001,117.49129199999999,Bb
117.49129199999999,118.55941000000001,F
118.55941000000001,120.684036,Bb
120.684036,122.80866200000001,Bb
122.80866200000001,123.87678000000001,F
123.87678000000001,124.910068,G:min
124.910068,126.024625,Bb
126.024625,127.04630300000001,F
127.04630300000001,129.15931899999998,Bb
129.15931899999998,133.431791,Eb
133.431791,134.499909,Bb
134.499909,135.510831,Bb:sus4(9)
135.510831,136.58137,Bb
136.58137,137.65191000000002,Bb:sus2(b7)
137.65191000000002,141.860634,Eb
141.860634,143.96204,Bb/5
143.96204,146.098276,F
146.098276,148.23451200000002,Bb
148.23451200000002,152.483747,F
152.483747,156.767845,Bb
156.767845,158.892471,Eb
158.892471,159.948979,Bb
159.948979,161.00548700000002,F
161.00548700000002,163.130113,Bb
163.130113,165.277959,Bb
165.277959,166.377034,F
166.377034,167.421707,G:min
167.421707,168.482312,Bb
168.482312,169.52721,F
169.52721,171.651836,Bb
171.651836,173.788072,Bb
173.788072,174.85619,F
174.85619,175.924308,G:min
175.924308,176.980816,Bb
176.980816,178.037324,F
178.037324,182.286575,G:min
182.286575,182.530385,F
182.530385,182.820634,F/b7
182.820634,183.076054,F/6
183.076054,183.37791299999998,F/5
183.37791299999998,187.31401200000002,Bb
187.31401200000002,188.83918400000002,N
