begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,1.945238,E
1.945238,2.235487,B:9
2.235487,4.441383,E
4.441383,4.754852,E/5
4.754852,5.045102,D
5.045102,5.393401,D#
5.393401,6.658888,E
6.658888,7.935986,C#:min
7.935986,9.201473,A
9.201473,10.501791,B
10.501791,12.498707000000001,E
12.498707000000001,13.148866,E/7
13.148866,15.122562,C#:min
15.122562,15.795941000000001,C#:min/b7
15.795941000000001,18.419795,A
18.419795,21.06687,B
21.06687,23.028956,E
23.028956,23.667505,E/7
23.667505,25.664421,C#:min
25.664421,26.31458,C#:min/b7
26.31458,28.938435,A
28.938435,31.5739,B
31.5739,36.125011,C#:min
36.125011,36.78678,C#:min/b7
36.78678,39.433854,A
39.433854,42.034489,B
42.034489,43.996575,E
43.996575,44.611903999999996,E/7
44.611903999999996,46.539159999999995,C#:min
46.539159999999995,47.177709,C#:min/b7
47.177709,48.524467,A
48.524467,49.778344,B
49.778344,52.460249,E
52.460249,54.387505000000004,E
54.387505000000004,55.026054,E/7
55.026054,57.034580000000005,C#:min
57.034580000000005,57.66151899999999,C#:min/b7
57.66151899999999,60.331814,A
60.331814,62.932448,B
62.932448,64.917755,E
64.917755,65.54469300000001,E/7
65.54469300000001,67.57191999999999,C#:min
67.57191999999999,68.18015799999999,C#:min/b7
68.18015799999999,70.804013,A
70.804013,73.36981800000001,B
73.36981800000001,77.955759,C#:min
77.955759,78.594308,C#:min/b7
78.594308,81.206553,A
81.206553,83.818798,B
83.818798,85.72283399999999,E
85.72283399999999,86.396213,E/7
86.396213,88.346689,C#:min
88.346689,88.962018,C#:min/b7
88.962018,90.308775,A
90.308775,91.551043,B
91.551043,94.174897,E
94.174897,96.787142,A
96.787142,99.341337,F#:min
99.341337,101.930362,D
101.930362,104.484557,E
104.484557,107.027142,A
107.027142,109.604557,F#:min
109.604557,110.89326499999999,D
110.89326499999999,112.193582,E
112.193582,113.48228999999999,A
113.48228999999999,114.747777,B
114.747777,117.360022,E
117.360022,119.634275,C#:min
119.634275,119.97226699999999,C#:min/b7
119.97226699999999,122.58451200000002,A
122.58451200000002,125.17353700000001,B
125.17353700000001,127.140138,E
127.140138,127.79739199999999,E/7
127.79739199999999,129.725066,C#:min
129.725066,130.386417,C#:min/b7
130.386417,132.975442,A
132.975442,135.599297,B
135.599297,140.115578,C#:min
140.115578,140.765736,C#:min/b7
140.765736,143.447641,A
143.447641,146.025056,B
146.025056,147.953592,E
147.953592,148.614081,E/7
148.614081,150.461929,C#:min
150.461929,151.20310600000002,C#:min/b7
151.20310600000002,152.468594,A
152.468594,153.734081,B
153.734081,155.631784,C#:min
155.631784,156.288276,C#:min/b7
156.288276,157.588594,A
157.588594,158.842471,B
158.842471,160.734897,C#:min
160.734897,161.373446,C#:min/b7
161.373446,162.66215400000002,A
162.66215400000002,163.939251,B
163.939251,165.576258,E
165.576258,165.95938700000002,B
165.95938700000002,168.307502,E
168.307502,171.180408,N
