begin,end,chord
0.0,0.440395,N
0.440395,2.7955509999999997,E:aug
2.7955509999999997,7.1803539999999995,A
7.1803539999999995,11.302878999999999,E
11.302878999999999,15.447641,F#:min
15.447641,19.627233,D
19.627233,21.670589,B:min
21.670589,23.795215,E
23.795215,25.850181,B:min
25.850181,28.009636999999998,E
28.009636999999998,29.925283,A
29.925283,31.898978999999997,D
31.898978999999997,33.826235,A
33.826235,35.962471,E
35.962471,40.142063,A
40.142063,44.286825,E
44.286825,48.466417,F#:min
48.466417,52.587959,D
52.587959,54.66614499999999,B:min
54.66614499999999,56.755941,E
56.755941,58.868956000000004,B:min
58.868956000000004,60.935531999999995,E
60.935531999999995,62.932448,A
62.932448,64.871315,D
64.871315,66.786961,A
66.786961,68.714217,A:7
68.714217,72.777709,D
72.777709,76.934081,F:7
76.934081,85.142335,A
85.142335,93.362199,B
93.362199,95.417165,E
95.417165,97.437301,F:7
97.437301,99.47184,E
99.47184,101.582063,E:aug
101.582063,105.912585,A
105.912585,110.12700600000001,E
110.12700600000001,114.34142800000001,F#:min
114.34142800000001,118.48619,D
118.48619,120.58759599999999,B:min
120.58759599999999,122.747052,E
122.747052,124.84845800000001,B:min
124.84845800000001,126.961473,E
126.961473,128.94678000000002,A
128.94678000000002,130.932086,D
130.932086,132.882562,A
132.882562,134.821428,A:7
134.821428,138.98941000000002,D
138.98941000000002,143.064512,F:7
143.064512,151.330816,A
151.330816,159.5739,B
159.5739,161.617256,E
161.617256,163.614172,F:7
163.614172,165.75040800000002,E
165.75040800000002,168.049183,E:aug
168.049183,172.263605,A
172.263605,176.48963700000002,E
176.48963700000002,180.62278899999998,F#:min
180.62278899999998,184.88365,D
184.88365,186.98505600000001,B:min
186.98505600000001,189.10968200000002,E
189.10968200000002,191.17625800000002,B:min
191.17625800000002,193.277664,E
193.277664,195.27458000000001,A
195.27458000000001,197.283106,D
197.283106,198.397664,A
198.397664,199.047823,Bb:7
199.047823,204.285864,A:7
204.285864,206.70693899999998,N
