begin,end,chord
0.0,0.433805,N
0.433805,1.4212690000000001,"B:(b3,5)"
1.4212690000000001,9.107074,B
9.107074,19.602494,B
19.602494,22.168298999999998,B
22.168298999999998,24.838594,E
24.838594,26.162131,B
26.162131,27.450839000000002,F#
27.450839000000002,30.028253000000003,B
30.028253000000003,40.546893,B
40.546893,43.252018,B
43.252018,45.875873,E
45.875873,47.21102,B
47.21102,48.488116999999995,F#
48.488116999999995,51.111971999999994,B
51.111971999999994,53.747437,E
53.747437,56.394512,B
56.394512,59.041587,C#
59.041587,61.688662,F#
61.688662,64.370566,E
64.370566,66.994421,B
66.994421,69.560226,C#
69.560226,70.906984,F#
70.906984,72.218911,F#:aug
72.218911,82.74916,B
82.74916,85.431065,B
85.431065,87.98526,E
87.98526,89.285578,B
89.285578,90.597505,F#
90.597505,93.12848000000001,B
93.12848000000001,106.247755,B
106.247755,108.883219,E
108.883219,110.21836699999999,B
110.21836699999999,111.530294,F#
111.530294,114.13092900000001,B
114.13092900000001,116.77800400000001,E
116.77800400000001,119.43668899999999,B
119.43668899999999,122.11859399999999,C#
122.11859399999999,124.754058,F#
124.754058,127.389523,E
127.389523,130.106258,B
130.106258,132.70689299999998,C#
132.70689299999998,135.330748,F#:aug
135.330748,146.058367,B
146.058367,148.635782,B
148.635782,151.259637,E
151.259637,152.58317399999999,B
152.58317399999999,153.929931,F#
153.929931,155.218639,B
155.218639,156.565396,F#
156.565396,157.900544,B
157.900544,159.15442099999999,F#
159.15442099999999,161.10141000000002,B
161.10141000000002,161.580907,F#:aug
161.580907,164.96922800000002,B
164.96922800000002,169.46891599999998,E
169.46891599999998,175.516735,N
