begin,end,chord
0.0,0.46506899999999995,N
0.46506899999999995,1.3979489999999999,G
1.3979489999999999,2.3383580000000004,C#:7
2.3383580000000004,4.114683,D
4.114683,4.973822,G
4.973822,5.84457,C#:7
5.84457,7.644117999999999,D
7.644117999999999,8.549696,G
8.549696,9.408833999999999,C#:7
9.408833999999999,11.219991,D
11.219991,12.113959,D
12.113959,12.996317,A
12.996317,14.772644,D
14.772644,16.560579,D
16.560579,18.302076,E:min
18.302076,20.066792,D
20.066792,21.866339,A
21.866339,23.689106,B:min
23.689106,25.453822,A
25.453822,28.147337,Bb
28.147337,28.611735999999997,Bb
28.611735999999997,29.052915000000002,C
29.052915000000002,32.582349,D
32.582349,34.405114000000005,D
34.405114000000005,36.146611,E:min
36.146611,37.934548,D
37.934548,39.757314,A
39.757314,41.545251,B:min
41.545251,43.309967,A
43.309967,46.003482,Bb
46.003482,46.491101,Bb
46.491101,46.93228,C
46.93228,50.461714,D
50.461714,52.238039,G
52.238039,54.037586,D
54.037586,55.860352,G
55.860352,57.636679,D
57.636679,59.436225,G
59.436225,61.200942000000005,D
61.200942000000005,62.11813000000001,D
62.11813000000001,63.046928,A
63.046928,64.788426,D
64.788426,66.646022,D
66.646022,68.375908,E:min
68.375908,70.163844,D
70.163844,71.998221,A
71.998221,73.751328,B:min
73.751328,75.527654,A
75.527654,78.22117,Bb
78.22117,78.662348,Bb
78.662348,79.126747,C
79.126747,82.656181,D
82.656181,84.455727,G
84.455727,86.255274,D
86.255274,88.0316,G
88.0316,89.796317,D
89.796317,91.572643,G
91.572643,93.348969,D
93.348969,94.22539499999999,D
94.22539499999999,95.148516,A
95.148516,96.971283,D
96.971283,98.782439,D
98.782439,100.570375,E:min
100.570375,102.311872,D
102.311872,104.157859,A
104.157859,105.945796,B:min
105.945796,107.687292,A
107.687292,110.427246,Bb
110.427246,110.868426,Bb
110.868426,111.332825,C
111.332825,113.98573,D
113.98573,114.479129,Bb
114.479129,114.908698,C
114.908698,117.590603,D
117.590603,118.06661100000001,Bb
118.06661100000001,118.54262,C
118.54262,121.75966000000001,D
121.75966000000001,125.753469,N
