begin,end,chord
0.0,0.440395,N
0.440395,1.689818,B
1.689818,2.209188,B/7
2.209188,2.746326,B/6
2.746326,3.280385,B/5
3.280385,3.849274,E:maj6
3.849274,4.406553,C#:min7
4.406553,4.940612000000001,F#:sus4
4.940612000000001,5.486281,F#
5.486281,6.02034,B
6.02034,6.577619,B/7
6.577619,7.1232869999999995,B/6
7.1232869999999995,7.634125999999999,B/5
7.634125999999999,9.747142,B:min
9.747142,11.871768,G#:hdim7
11.871768,14.008004000000001,G:maj7
14.008004000000001,15.052902,F#:sus4
15.052902,16.12102,F#
16.12102,17.189138,F#:sus4
17.189138,18.257255999999998,F#
18.257255999999998,18.802925,B
18.802925,19.348594,B/7
19.348594,19.882653,B/6
19.882653,20.451541,B/5
20.451541,20.99721,E:maj6
20.99721,21.531269,C#:min7
21.531269,22.053718,F#:sus4
22.053718,22.610997,F#
22.610997,23.133446,B
23.133446,23.655895,B/7
23.655895,24.155124,B/6
24.155124,24.689183,B/5
24.689183,26.837028999999998,B:min
26.837028999999998,28.891995,G#:hdim7
28.891995,31.005011,G:maj7
31.005011,32.038090999999994,F#:sus4
32.038090999999994,33.141247,F#
33.141247,35.323921999999996,E
35.323921999999996,37.425328,A
37.425328,39.491904,A/3
39.491904,43.659886,D
43.659886,45.772902,A
45.772902,47.851088,A/3
47.851088,49.940884000000004,D
49.940884000000004,52.10034,F#
52.10034,52.634399,B
52.634399,53.156848,B/7
53.156848,53.690906999999996,B/6
53.690906999999996,54.224965000000005,B/5
54.224965000000005,54.735804,E:maj6
54.735804,55.269863,C#:min7
55.269863,55.803922,F#:sus4
55.803922,56.326370999999995,F#
56.326370999999995,56.848819999999996,B
56.848819999999996,57.37126899999999,B/7
57.37126899999999,57.928548,B/6
57.928548,58.427777,B/5
58.427777,60.587233,B:min
60.587233,62.66541899999999,G#:hdim7
62.66541899999999,64.80165500000001,G:maj7
64.80165500000001,65.83494300000001,F#:sus4
65.83494300000001,66.926281,F#
66.926281,67.971179,F#:sus4
67.971179,69.03929699999999,F#
69.03929699999999,69.596575,B
69.596575,70.119024,B/7
70.119024,70.595034,B/6
70.595034,71.117482,B/5
71.117482,71.65154100000001,E:maj6
71.65154100000001,72.19721,C#:min7
72.19721,72.731269,F#:sus4
72.731269,73.276938,F#
73.276938,73.787777,B
73.787777,74.333446,B/7
74.333446,74.809455,B/6
74.809455,75.33190400000001,B/5
75.33190400000001,77.49136,B:min
77.49136,79.54632600000001,G#:hdim7
79.54632600000001,81.64773199999999,G:maj7
81.64773199999999,82.70424,F#:sus4
82.70424,83.807188,F#
83.807188,85.966643,E
85.966643,88.114489,A
88.114489,90.192675,A/3
90.192675,94.395487,D
94.395487,96.485283,A
96.485283,98.598299,A/3
98.598299,100.68809499999999,D
100.68809499999999,102.87077,F#
102.87077,103.416439,B
103.416439,103.91566800000001,B/7
103.91566800000001,104.438117,B/6
104.438117,104.94895600000001,B/5
104.94895600000001,105.483015,E:maj6
105.483015,106.017074,C#:min7
106.017074,106.597573,F#:sus4
106.597573,107.096802,F#
107.096802,107.619251,B
107.619251,108.1417,B/7
108.1417,108.68736899999999,B/6
108.68736899999999,109.19820800000001,B/5
109.19820800000001,111.33444399999999,B:min
111.33444399999999,113.42424,G#:hdim7
113.42424,115.525646,G:maj7
115.525646,116.582154,F#:sus4
116.582154,117.661882,F#
117.661882,118.74160900000001,F#:sus4
118.74160900000001,119.751678,F#
119.751678,120.29734599999999,B
120.29734599999999,120.843015,B/7
120.843015,121.377074,B/6
121.377074,121.87630300000001,B/5
121.87630300000001,122.410362,E:maj6
122.410362,122.95603100000001,C#:min7
122.95603100000001,123.47848,F#:sus4
123.47848,123.989319,F#
123.989319,124.51176799999999,B
124.51176799999999,125.02260700000001,B/7
125.02260700000001,125.55666599999999,B/6
125.55666599999999,126.07911499999999,B/5
126.07911499999999,128.238571,B:min
128.238571,130.29353700000001,G#:hdim7
130.29353700000001,132.441383,G:maj7
132.441383,133.463061,F#:sus4
133.463061,134.519569,F#
134.519569,136.66741399999998,E
136.66741399999998,138.78043,A
138.78043,140.905056,A/3
140.905056,145.096258,D
145.096258,147.27893400000002,A
147.27893400000002,149.34551000000002,A/3
149.34551000000002,151.499683,D
151.499683,153.61798100000001,F#
153.61798100000001,155.696167,B
155.696167,157.844013,B/3
157.844013,161.988775,E
161.988775,164.183061,B
164.183061,166.179977,B/3
166.179977,168.281383,E
168.281383,170.359569,E/5
170.359569,178.428418,B
178.428418,183.379592,N
